ĉada	ĉad'a
ĉitien	ĉi'tie'n
ĉition	ĉi'tio'n
ĉitiuj	ĉi'tiu'j
ĉitiujn	ĉi'tiu'jn
ĉitiun	ĉi'tiu'n
ĉivespera	ĉi'vesper'a
ĉivespere	ĉi'vesper'e
ĉivintre	ĉi'vintr'e
ĉial	ĉial
ĉiam	ĉiam
ĉiama	ĉiam'a
ĉiamaj	ĉiam'a'j
ĉiaman	ĉiam'a'n
ĉiame	ĉiam'e
ĉiamdaŭra	ĉiam'daŭr'a
ĉiamverda	ĉiam'verd'a
ĉiamverdaj	ĉiam'verd'a'j
ĉiĉeronis	ĉiĉeron'is
ĉiĉerono	ĉiĉeron'o
ĉiĉeronoj	ĉiĉeron'o'j
ĉiĉeronon	ĉiĉeron'o'n
ĉiĉeronado	ĉiĉeron'ad'o
ĉiĉio	ĉiĉi'o
ĉie	ĉie
ĉiea	ĉie'a
ĉieaj	ĉie'a'j
ĉieajn	ĉie'a'j'n
ĉiean	ĉie'a'n
ĉiee	ĉie'e
ĉien	ĉie'n
ĉieeco	ĉie'ec'o
ĉiel	ĉiel
ĉiela	ĉiel'a
ĉielaj	ĉiel'a'j
ĉielajn	ĉiel'a'j'n
ĉielan	ĉiel'a'n
ĉiele	ĉiel'e
ĉielen	ĉiel'e'n
ĉielo	ĉiel'o
ĉieloj	ĉiel'o'j
ĉielojn	ĉiel'o'j'n
ĉielon	ĉiel'o'n
ĉielarka	ĉiel'ark'a
ĉielarko	ĉiel'ark'o
ĉielarkoj	ĉiel'ark'o'j
ĉielarkon	ĉiel'ark'o'n
ĉielblua	ĉiel'blu'a
ĉieleniro	ĉiel'e'n'ir'o
ĉielenpreno	ĉiel'e'n'pren'o
ĉielenprenita	ĉiel'e'n'pren'it'a
ĉielhoko	ĉiel'hok'o
ĉieliro	ĉiel'ir'o
ĉieliron	ĉiel'ir'o'n
ĉielplonĝistoj	ĉiel'plonĝ'ist'o'j
ĉielskrapanto	ĉiel'skrap'ant'o
ĉielskrapantoj	ĉiel'skrap'ant'o'j
ĉies	ĉies
ĉiesa	ĉies'a
ĉiesaĵo	ĉies'aĵ'o
ĉiesulino	ĉies'ul'in'o
ĉifis	ĉif'is
ĉifita	ĉif'it'a
ĉifitaj	ĉif'it'a'j
ĉifrado	ĉif'rad'o
ĉifalo	ĉifal'o
ĉifona	ĉifon'a
ĉifonaj	ĉifon'a'j
ĉifone	ĉifon'e
ĉifono	ĉifon'o
ĉifonoj	ĉifon'o'j
ĉifonojn	ĉifon'o'j'n
ĉifonon	ĉifon'o'n
ĉifoneroj	ĉifon'er'o'j
ĉifonerojn	ĉifon'er'o'j'n
ĉifonkudraĵo	ĉifon'kudr'aĵ'o
ĉifonulo	ĉifon'ul'o
ĉifra	ĉifr'a
ĉifras	ĉifr'as
ĉifri	ĉifr'i
ĉifris	ĉifr'is
ĉifro	ĉifr'o
ĉifroj	ĉifr'o'j
ĉifron	ĉifr'o'n
ĉifradon	ĉifr'ad'o'n
ĉifranta	ĉifr'ant'a
ĉifrantaj	ĉifr'ant'a'j
ĉifrante	ĉifr'ant'e
ĉifrita	ĉifr'it'a
ĉifritaj	ĉifr'it'a'j
ĉifritajn	ĉifr'it'a'j'n
ĉifritan	ĉifr'it'a'n
ĉikaga	ĉikag'a
ĉikago	ĉikag'o
ĉikagon	ĉikag'o'n
ĉikagasunatempoj	ĉikag'a'suna'temp'o'j
ĉikanas	ĉikan'as
ĉikani	ĉikan'i
ĉikanis	ĉikan'is
ĉikano	ĉikan'o
ĉikanoj	ĉikan'o'j
ĉikanon	ĉikan'o'n
ĉikanado	ĉikan'ad'o
ĉikanadon	ĉikan'ad'o'n
ĉikananto	ĉikan'ant'o
ĉikanantoj	ĉikan'ant'o'j
ĉikanema	ĉikan'em'a
ĉikanita	ĉikan'it'a
ĉikanitaj	ĉikan'it'a'j
ĉilia	ĉili'a
ĉiliaj	ĉili'a'j
ĉilio	ĉili'o
ĉilion	ĉili'o'n
ĉiliano	ĉili'an'o
ĉimpanzo	ĉimpanz'o
ĉimpanzoj	ĉimpanz'o'j
ĉimpanzojn	ĉimpanz'o'j'n
ĉina	ĉin'a
ĉinaj	ĉin'a'j
ĉinajn	ĉin'a'j'n
ĉinan	ĉin'a'n
ĉine	ĉin'e
ĉino	ĉin'o
ĉinoj	ĉin'o'j
ĉinojn	ĉin'o'j'n
ĉinon	ĉin'o'n
ĉindevena	ĉin'de'ven'a
ĉindevenaj	ĉin'de'ven'a'j
ĉindevenuloj	ĉin'de'ven'ul'o'j
ĉinia	ĉin'i'a
ĉiniaj	ĉin'i'a'j
ĉinio	ĉin'i'o
ĉinion	ĉin'i'o'n
ĉinino	ĉin'in'o
ĉinjapana	ĉin'japan'a
ĉinkapitalaj	ĉin'kapital'a'j
ĉinlingva	ĉin'lingv'a
ĉinlingvaj	ĉin'lingv'a'j
ĉinlingvan	ĉin'lingv'a'n
ĉinlingve	ĉin'lingv'e
ĉinmedicina	ĉin'medicin'a
ĉinstila	ĉin'stil'a
ĉinstilaj	ĉin'stil'a'j
ĉinstilajn	ĉin'stil'a'j'n
ĉinujo	ĉin'uj'o
ĉinujon	ĉin'uj'o'n
ĉinuka	ĉinuk'a
ĉinukhelikoptero	ĉinuk'helikopter'o
ĉiom	ĉiom
ĉioma	ĉiom'a
ĉipsoj	ĉips'o'j
ĉiroj	ĉir'o'j
ĉirkaŭ	ĉirkaŭ
ĉirkaŭa	ĉirkaŭ'a
ĉirkaŭaj	ĉirkaŭ'a'j
ĉirkaŭajn	ĉirkaŭ'a'j'n
ĉirkaŭan	ĉirkaŭ'a'n
ĉirkaŭas	ĉirkaŭ'as
ĉirkaŭe	ĉirkaŭ'e
ĉirkaŭen	ĉirkaŭ'e'n
ĉirkaŭi	ĉirkaŭ'i
ĉirkaŭis	ĉirkaŭ'is
ĉirkaŭo	ĉirkaŭ'o
ĉirkaŭoj	ĉirkaŭ'o'j
ĉirkaŭon	ĉirkaŭ'o'n
ĉirkaŭado	ĉirkaŭ'ad'o
ĉirkaŭaĵo	ĉirkaŭ'aĵ'o
ĉirkaŭaĵoj	ĉirkaŭ'aĵ'o'j
ĉirkaŭaĵojn	ĉirkaŭ'aĵ'o'j'n
ĉirkaŭaĵon	ĉirkaŭ'aĵ'o'n
ĉirkaŭanta	ĉirkaŭ'ant'a
ĉirkaŭantaj	ĉirkaŭ'ant'a'j
ĉirkaŭantajn	ĉirkaŭ'ant'a'j'n
ĉirkaŭantan	ĉirkaŭ'ant'a'n
ĉirkaŭante	ĉirkaŭ'ant'e
ĉirkaŭantoj	ĉirkaŭ'ant'o'j
ĉirkaŭata	ĉirkaŭ'at'a
ĉirkaŭataj	ĉirkaŭ'at'a'j
ĉirkaŭate	ĉirkaŭ'at'e
ĉirkaŭbarado	ĉirkaŭ'bar'ad'o
ĉirkaŭbarilo	ĉirkaŭ'bar'il'o
ĉirkaŭbarilon	ĉirkaŭ'bar'il'o'n
ĉirkaŭbarita	ĉirkaŭ'bar'it'a
ĉirkaŭbrakas	ĉirkaŭ'brak'as
ĉirkaŭbraki	ĉirkaŭ'brak'i
ĉirkaŭbrakis	ĉirkaŭ'brak'is
ĉirkaŭbrako	ĉirkaŭ'brak'o
ĉirkaŭbrakumis	ĉirkaŭ'brak'um'is
ĉirkaŭejo	ĉirkaŭ'ej'o
ĉirkaŭflugis	ĉirkaŭ'flug'is
ĉirkaŭfosaĵo	ĉirkaŭ'fos'aĵ'o
ĉirkaŭigas	ĉirkaŭ'ig'as
ĉirkaŭigi	ĉirkaŭ'ig'i
ĉirkaŭigis	ĉirkaŭ'ig'is
ĉirkaŭigo	ĉirkaŭ'ig'o
ĉirkaŭiganta	ĉirkaŭ'ig'ant'a
ĉirkaŭigita	ĉirkaŭ'ig'it'a
ĉirkaŭiĝas	ĉirkaŭ'iĝ'as
ĉirkaŭiras	ĉirkaŭ'ir'as
ĉirkaŭiri	ĉirkaŭ'ir'i
ĉirkaŭiris	ĉirkaŭ'ir'is
ĉirkaŭiro	ĉirkaŭ'ir'o
ĉirkaŭirante	ĉirkaŭ'ir'ant'e
ĉirkaŭirejo	ĉirkaŭ'ir'ej'o
ĉirkaŭirinte	ĉirkaŭ'ir'int'e
ĉirkaŭita	ĉirkaŭ'it'a
ĉirkaŭitaj	ĉirkaŭ'it'a'j
ĉirkaŭitajn	ĉirkaŭ'it'a'j'n
ĉirkaŭitan	ĉirkaŭ'it'a'n
ĉirkaŭite	ĉirkaŭ'it'e
ĉirkaŭkalkuloj	ĉirkaŭ'kalkul'o'j
ĉirkaŭkaptis	ĉirkaŭ'kapt'is
ĉirkaŭkuris	ĉirkaŭ'kur'is
ĉirkaŭmonda	ĉirkaŭ'mond'a
ĉirkaŭmuro	ĉirkaŭ'mur'o
ĉirkaŭokula	ĉirkaŭ'okul'a
ĉirkaŭokule	ĉirkaŭ'okul'e
ĉirkaŭokulo	ĉirkaŭ'okul'o
ĉirkaŭpaŝas	ĉirkaŭ'paŝ'as
ĉirkaŭpaŝi	ĉirkaŭ'paŝ'i
ĉirkaŭpaŝis	ĉirkaŭ'paŝ'is
ĉirkaŭpaŝado	ĉirkaŭ'paŝ'ad'o
ĉirkaŭpaŝante	ĉirkaŭ'paŝ'ant'e
ĉirkaŭpolusa	ĉirkaŭ'polus'a
ĉirkaŭpremis	ĉirkaŭ'prem'is
ĉirkaŭprenas	ĉirkaŭ'pren'as
ĉirkaŭpreni	ĉirkaŭ'pren'i
ĉirkaŭprenis	ĉirkaŭ'pren'is
ĉirkaŭpreninte	ĉirkaŭ'pren'int'e
ĉirkaŭpromeni	ĉirkaŭ'promen'i
ĉirkaŭpromenis	ĉirkaŭ'promen'is
ĉirkaŭrigardas	ĉirkaŭ'rigard'as
ĉirkaŭrigardi	ĉirkaŭ'rigard'i
ĉirkaŭrigardis	ĉirkaŭ'rigard'is
ĉirkaŭrigardu	ĉirkaŭ'rigard'u
ĉirkaŭrigardadis	ĉirkaŭ'rigard'ad'is
ĉirkaŭrigardante	ĉirkaŭ'rigard'ant'e
ĉirkaŭrigardinte	ĉirkaŭ'rigard'int'e
ĉirkaŭskribita	ĉirkaŭ'skrib'it'a
ĉirkaŭstaris	ĉirkaŭ'star'is
ĉirkaŭteksto	ĉirkaŭ'tekst'o
ĉirkaŭurbo	ĉirkaŭ'urb'o
ĉirkaŭvagas	ĉirkaŭ'vag'as
ĉirkaŭvojo	ĉirkaŭ'voj'o
ĉirkaŭvojon	ĉirkaŭ'voj'o'n
ĉirkaŭvolvas	ĉirkaŭ'volv'as
ĉirkaŭvolvis	ĉirkaŭ'volv'is
ĉirkaŭvolvita	ĉirkaŭ'volv'it'a
ĉirpas	ĉirp'as
ĉirpado	ĉirp'ad'o
ĉirpetas	ĉirp'et'as
ĉiu	ĉiu
ĉiuj	ĉiu'j
ĉiujn	ĉiu'jn
ĉiun	ĉiu'n
ĉiuaĝaj	ĉiu'aĝ'a'j
ĉiudimanĉe	ĉiu'dimanĉ'e
ĉiudirekte	ĉiu'direkt'e
ĉiudirekten	ĉiu'direkt'e'n
ĉiuflanka	ĉiu'flank'a
ĉiuflankaj	ĉiu'flank'a'j
ĉiuflankajn	ĉiu'flank'a'j'n
ĉiuflankan	ĉiu'flank'a'n
ĉiuflanke	ĉiu'flank'e
ĉiuflanken	ĉiu'flank'e'n
ĉiuflankeco	ĉiu'flank'ec'o
ĉiuflankecon	ĉiu'flank'ec'o'n
ĉiufoje	ĉiu'foj'e
ĉiuhore	ĉiu'hor'e
ĉiujara	ĉiu'jar'a
ĉiujaraj	ĉiu'jar'a'j
ĉiujarajn	ĉiu'jar'a'j'n
ĉiujaran	ĉiu'jar'a'n
ĉiujare	ĉiu'jar'e
ĉiuĵaŭde	ĉiu'ĵaŭd'e
ĉiukaze	ĉiu'kaz'e
ĉiulandaj	ĉiu'land'a'j
ĉiulande	ĉiu'land'e
ĉiuloke	ĉiu'lok'e
ĉiulunde	ĉiu'lund'e
ĉiumaniere	ĉiu'manier'e
ĉiumatene	ĉiu'maten'e
ĉiumerkrede	ĉiu'merkred'e
ĉiuminute	ĉiu'minut'e
ĉiumomente	ĉiu'moment'e
ĉiumonata	ĉiu'monat'a
ĉiumonataj	ĉiu'monat'a'j
ĉiumonatajn	ĉiu'monat'a'j'n
ĉiumonatan	ĉiu'monat'a'n
ĉiumonate	ĉiu'monat'e
ĉiunokte	ĉiu'nokt'e
ĉiuokaze	ĉiu'okaz'e
ĉiupaŝe	ĉiu'paŝ'e
ĉiuprintempe	ĉiu'printemp'e
ĉiurilate	ĉiu'rilat'e
ĉiurimede	ĉiu'rimed'e
ĉiusabate	ĉiu'sabat'e
ĉiusekunde	ĉiu'sekund'e
ĉiusemajna	ĉiu'semajn'a
ĉiusemajnaj	ĉiu'semajn'a'j
ĉiusemajnan	ĉiu'semajn'a'n
ĉiusemajne	ĉiu'semajn'e
ĉiusezone	ĉiu'sezon'e
ĉiusomere	ĉiu'somer'e
ĉiuspeca	ĉiu'spec'a
ĉiuspecaj	ĉiu'spec'a'j
ĉiuspecajn	ĉiu'spec'a'j'n
ĉiuspecan	ĉiu'spec'a'n
ĉiutaga	ĉiu'tag'a
ĉiutagaj	ĉiu'tag'a'j
ĉiutagajn	ĉiu'tag'a'j'n
ĉiutagan	ĉiu'tag'a'n
ĉiutage	ĉiu'tag'e
ĉiutago	ĉiu'tag'o
ĉiutagaĵo	ĉiu'tag'aĵ'o
ĉiutagaĵoj	ĉiu'tag'aĵ'o'j
ĉiutageco	ĉiu'tag'ec'o
ĉiutempe	ĉiu'temp'e
ĉiuvendrede	ĉiu'vendred'e
ĉiuvespere	ĉiu'vesper'e
ĉiuvintre	ĉiu'vintr'e
ĉizas	ĉiz'as
ĉizi	ĉiz'i
ĉizis	ĉiz'is
ĉizado	ĉiz'ad'o
ĉizadoj	ĉiz'ad'o'j
ĉizilo	ĉiz'il'o
ĉiziloj	ĉiz'il'o'j
ĉizita	ĉiz'it'a
ĉizitaj	ĉiz'it'a'j
ĉizitajn	ĉiz'it'a'j'n
ĉizitan	ĉiz'it'a'n
ĉokolada	ĉokolad'a
ĉokoladaj	ĉokolad'a'j
ĉokoladajn	ĉokolad'a'j'n
ĉokoladan	ĉokolad'a'n
ĉokolado	ĉokolad'o
ĉokoladoj	ĉokolad'o'j
ĉokoladon	ĉokolad'o'n
ĉokoladejo	ĉokolad'ej'o
ĉu	ĉu
ĉudemandoj	ĉu'demand'o'j
ĉukĉa	ĉukĉ'a
ĉukĉoj	ĉukĉ'o'j
ĉuvaŝa	ĉuvaŝ'a
ĉuvaŝio	ĉuvaŝ'i'o
