kaba	kab'a
klerikoj	klerik'o'j
klerikojn	klerik'o'j'n
klerikaro	klerik'ar'o
klerikuloj	klerik'ul'o'j
klerikala	klerikal'a
klerikalaj	klerikal'a'j
klienta	klient'a
klientaj	klient'a'j
klientajn	klient'a'j'n
klientan	klient'a'n
kliento	klient'o
klientoj	klient'o'j
klientojn	klient'o'j'n
klienton	klient'o'n
klientaro	klient'ar'o
klientaron	klient'ar'o'n
klientbazo	klient'baz'o
klientino	klient'in'o
klientserva	klient'serv'a
klientservado	klient'serv'ad'o
klientservadon	klient'serv'ad'o'n
klientservila	klient'serv'il'a
klientservila	klient'servil'a
klifa	klif'a
klifo	klif'o
klifoj	klif'o'j
klifojn	klif'o'j'n
klifon	klif'o'n
kliko	klik'o
klikoj	klik'o'j
klikon	klik'o'n
klimakso	klimaks'o
klimata	klimat'a
klimataj	klimat'a'j
klimatajn	klimat'a'j'n
klimatan	klimat'a'n
klimate	klimat'e
klimato	klimat'o
klimatoj	klimat'o'j
klimatojn	klimat'o'j'n
klimaton	klimat'o'n
klimatcirkonstancoj	klimat'cirkonstanc'o'j
klimatinĝenieristiko	klimat'inĝenier'ist'ik'o
klimatizilo	klimat'iz'il'o
klimatiziloj	klimat'iz'il'o'j
klimatizilojn	klimat'iz'il'o'j'n
klimatizilon	klimat'iz'il'o'n
klimatizita	klimat'iz'it'a
klimatmodeloj	klimat'model'o'j
klimatologoj	klimat'olog'o'j
klimatologio	klimat'olog'i'o
klimatscienco	klimat'scienc'o
klimatsistemo	klimat'sistem'o
klimatŝanĝa	klimat'ŝanĝ'a
klimatŝanĝaj	klimat'ŝanĝ'a'j
klimatŝanĝo	klimat'ŝanĝ'o
klimatŝanĝiĝo	klimat'ŝanĝ'iĝ'o
klimatzono	klimat'zon'o
klimatzonoj	klimat'zon'o'j
klina	klin'a
klinas	klin'as
kline	klin'e
klini	klin'i
klinis	klin'is
klino	klin'o
klinon	klin'o'n
klinos	klin'os
klinu	klin'u
klinado	klin'ad'o
klinadoj	klin'ad'o'j
klinadon	klin'ad'o'n
klinangulo	klin'angul'o
klinante	klin'ant'e
klinata	klin'at'a
klineco	klin'ec'o
kliniĝas	klin'iĝ'as
kliniĝi	klin'iĝ'i
kliniĝis	klin'iĝ'is
kliniĝo	klin'iĝ'o
kliniĝon	klin'iĝ'o'n
kliniĝu	klin'iĝ'u
kliniĝadis	klin'iĝ'ad'is
kliniĝanta	klin'iĝ'ant'a
kliniĝante	klin'iĝ'ant'e
kliniĝinta	klin'iĝ'int'a
kliniĝintaj	klin'iĝ'int'a'j
kliniĝinte	klin'iĝ'int'e
klininte	klin'int'e
klinita	klin'it'a
klinitaj	klin'it'a'j
klinitan	klin'it'a'n
klinite	klin'it'e
kliniteco	klin'it'ec'o
klingo	kling'o
klingoj	kling'o'j
klingojn	kling'o'j'n
klingon	kling'o'n
klingona	klingon'a
klingonan	klingon'a'n
klingono	klingon'o
klingonoj	klingon'o'j
klinika	klinik'a
klinikaj	klinik'a'j
klinikajn	klinik'a'j'n
klinikan	klinik'a'n
klinike	klinik'e
kliniko	klinik'o
klinikoj	klinik'o'j
klinikojn	klinik'o'j'n
klinikon	klinik'o'n
klinikisto	klinik'ist'o
klinikistoj	klinik'ist'o'j
klinko	klink'o
klinkon	klink'o'n
kliŝa	kliŝ'a
kliŝaj	kliŝ'a'j
kliŝo	kliŝ'o
kliŝoj	kliŝ'o'j
kliŝojn	kliŝ'o'j'n
klitora	klitor'a
klitoro	klitor'o
klitoron	klitor'o'n
kloaka	kloak'a
kloako	kloak'o
kloakoj	kloak'o'j
kloakojn	kloak'o'j'n
kloakon	kloak'o'n
kloakaĵo	kloak'aĵ'o
kloakaĵon	kloak'aĵ'o'n
kloakigo	kloak'ig'o
kloakigon	kloak'ig'o'n
klona	klon'a
kloni	klon'i
klono	klon'o
klonoj	klon'o'j
klonojn	klon'o'j'n
klonon	klon'o'n
klonado	klon'ad'o
klonadon	klon'ad'o'n
klonita	klon'it'a
klonitaj	klon'it'a'j
klopoda	klopod'a
klopodas	klopod'as
klopode	klopod'e
klopodi	klopod'i
klopodis	klopod'is
klopodo	klopod'o
klopodoj	klopod'o'j
klopodojn	klopod'o'j'n
klopodon	klopod'o'n
klopodos	klopod'os
klopodu	klopod'u
klopodus	klopod'us
klopodadas	klopod'ad'as
klopodadi	klopod'ad'i
klopodadis	klopod'ad'is
klopodado	klopod'ad'o
klopodadon	klopod'ad'o'n
klopodanta	klopod'ant'a
klopodantaj	klopod'ant'a'j
klopodante	klopod'ant'e
klopodegis	klopod'eg'is
klopodita	klopod'it'a
klora	klor'a
kloro	klor'o
kloron	klor'o'n
klorato	klor'at'o
kloratomoj	klor'atom'o'j
klorida	klor'id'a
kloridan	klor'id'a'n
klorido	klor'id'o
kloridoj	klor'id'o'j
kloridon	klor'id'o'n
klorito	klor'it'o
kloroacetata	klor'o'acet'at'a
kloroacetato	klor'o'acet'at'o
kloroplasto	klor'o'plast'o
kloroplastoj	klor'o'plast'o'j
kloroplastojn	klor'o'plast'o'j'n
klorofilo	klorofil'o
klorofilon	klorofil'o'n
kloroformo	kloroform'o
klostra	klostr'a
klostro	klostr'o
klostroj	klostr'o'j
klostron	klostr'o'n
kloŝo	kloŝ'o
kloŝoj	kloŝ'o'j
kloŝon	kloŝ'o'n
kluba	klub'a
klubaj	klub'a'j
kluban	klub'a'n
klubo	klub'o
kluboj	klub'o'j
klubojn	klub'o'j'n
klubon	klub'o'n
klubano	klub'an'o
klubanoj	klub'an'o'j
klubanojn	klub'an'o'j'n
klubejo	klub'ej'o
klubkunvenoj	klub'kun'ven'o'j
kluĉilo	kluĉ'il'o
kluĉilon	kluĉ'il'o'n
klukado	kluk'ad'o
kluzo	kluz'o
kluzoj	kluz'o'j
kluzon	kluz'o'n
kluzinstalaĵo	kluz'instal'aĵ'o
kluzinstalaĵon	kluz'instal'aĵ'o'n
knaba	knab'a
knabaj	knab'a'j
knaban	knab'a'n
knabo	knab'o
knaboj	knab'o'j
knabojn	knab'o'j'n
knabon	knab'o'n
knabaĉo	knab'aĉ'o
knabaĝo	knab'aĝ'o
knabeca	knab'ec'a
knabeco	knab'ec'o
knabego	knab'eg'o
knabeto	knab'et'o
knabetoj	knab'et'o'j
knabeton	knab'et'o'n
knabina	knab'in'a
knabinaj	knab'in'a'j
knabinajn	knab'in'a'j'n
knabinan	knab'in'a'n
knabino	knab'in'o
knabinoj	knab'in'o'j
knabinojn	knab'in'o'j'n
knabinon	knab'in'o'n
knabinaĉo	knab'in'aĉ'o
knabineco	knab'in'ec'o
knabineto	knab'in'et'o
knabinetoj	knab'in'et'o'j
knabineton	knab'in'et'o'n
knalado	knal'ad'o
knaras	knar'as
knaris	knar'is
knaro	knar'o
knarado	knar'ad'o
knaranta	knar'ant'a
knartamburo	knar'tambur'o
knedas	kned'as
knedi	kned'i
knedis	kned'is
knedu	kned'u
knedado	kned'ad'o
knedita	kned'it'a
koaguliĝo	koagul'iĝ'o
koaguliĝon	koagul'iĝ'o'n
koalicia	koalici'a
koaliciaj	koalici'a'j
koalician	koalici'a'n
koalicio	koalici'o
koalicioj	koalici'o'j
koaliciojn	koalici'o'j'n
koalicion	koalici'o'n
kobajo	kobaj'o
kobajoj	kobaj'o'j
kobajojn	kobaj'o'j'n
kobajon	kobaj'o'n
kobalta	kobalt'a
kobalto	kobalt'o
koboldo	kobold'o
koboldoj	kobold'o'j
koboldeto	kobold'et'o
kobro	kobr'o
koĉero	koĉer'o
koda	kod'a
kodas	kod'as
kodo	kod'o
kodoj	kod'o'j
kodojn	kod'o'j'n
kodon	kod'o'n
kodigas	kod'ig'as
kodigi	kod'ig'i
kodigis	kod'ig'is
kodigo	kod'ig'o
kodigado	kod'ig'ad'o
kodigadoj	kod'ig'ad'o'j
kodigadon	kod'ig'ad'o'n
kodiganta	kod'ig'ant'a
kodigante	kod'ig'ant'e
kodigilo	kod'ig'il'o
kodigiloj	kod'ig'il'o'j
kodigita	kod'ig'it'a
kodigitaj	kod'ig'it'a'j
kodigitan	kod'ig'it'a'n
kodilo	kod'il'o
kodita	kod'it'a
koditaj	kod'it'a'j
kodnomo	kod'nom'o
kodrompado	kod'romp'ad'o
kodvorto	kod'vort'o
kodvortoj	kod'vort'o'j
kodekso	kodeks'o
kodeksoj	kodeks'o'j
kodeksojn	kodeks'o'j'n
kodekson	kodeks'o'n
kodono	kodon'o
kodonoj	kodon'o'j
koeficiento	koeficient'o
koeficientoj	koeficient'o'j
koeficienton	koeficient'o'n
kofro	kofr'o
kofroj	kofr'o'j
kofrojn	kofr'o'j'n
kofron	kofr'o'n
kofreton	kofr'et'o'n
kofrujo	kofr'uj'o
kohera	koher'a
koheraj	koher'a'j
koherajn	koher'a'j'n
koheran	koher'a'n
koheras	koher'as
kohere	koher'e
kohero	koher'o
koheron	koher'o'n
kohereco	koher'ec'o
koherecon	koher'ec'o'n
kohorto	kohort'o
kohortoj	kohort'o'j
koincida	koincid'a
koincidaj	koincid'a'j
koincidas	koincid'as
koincide	koincid'e
koincidi	koincid'i
koincidis	koincid'is
koincido	koincid'o
koincidoj	koincid'o'j
koincidon	koincid'o'n
koincidos	koincid'os
koincidu	koincid'u
koincidus	koincid'us
koincidanta	koincid'ant'a
koincidantaj	koincid'ant'a'j
koincidante	koincid'ant'e
koiti	koit'i
koito	koit'o
kojlo	kojl'o
kojna	kojn'a
kojno	kojn'o
kojnoj	kojn'o'j
kojnon	kojn'o'n
kojnforma	kojn'form'a
kojnodentoj	kojn'o'dent'o'j
kojnoforma	kojn'o'form'a
kojnoformaj	kojn'o'form'a'j
kojnoskribo	kojn'o'skrib'o
kojnea	kojne'a
kojneo	kojne'o
kojoto	kojot'o
kojotoj	kojot'o'j
koka	kok'a
koko	kok'o
kokoj	kok'o'j
kokojn	kok'o'j'n
kokon	kok'o'n
kokaĵo	kok'aĵ'o
kokaĵon	kok'aĵ'o'n
kokeca	kok'ec'a
kokejo	kok'ej'o
koketa	kok'et'a
kokido	kok'id'o
kokidoj	kok'id'o'j
kokidojn	kok'id'o'j'n
kokidon	kok'id'o'n
kokidaĵo	kok'id'aĵ'o
kokidaĵon	kok'id'aĵ'o'n
kokina	kok'in'a
kokino	kok'in'o
kokinoj	kok'in'o'j
kokinojn	kok'in'o'j'n
kokinon	kok'in'o'n
kokinejo	kok'in'ej'o
kokoformaj	kok'o'form'a'j
kokao	koka'o
kokaino	kokain'o
kokainon	kokain'o'n
kokcinelo	kokcinel'o
kokcineloj	kokcinel'o'j
kokeriko	kokerik'o
koketa	koket'a
koketas	koket'as
kokete	koket'e
koketi	koket'i
koketeco	koket'ec'o
kokono	kokon'o
kokonon	kokon'o'n
kokosa	kokos'a
kokosaj	kokos'a'j
kokosan	kokos'a'n
kokoso	kokos'o
kokosoj	kokos'o'j
kokosarboj	kokos'arb'o'j
kokosinsuloj	kokos'insul'o'j
kokosnuksojn	kokos'nuks'o'j'n
kokosoleo	kokos'ole'o
kokospalmoj	kokos'palm'o'j
kokosujoj	kokos'uj'o'j
kokosujojn	kokos'uj'o'j'n
kokrita	kokr'it'a
kokso	koks'o
koksoj	koks'o'j
koksojn	koks'o'j'n
koksoartiko	koks'o'artik'o
koktelo	koktel'o
koktelon	koktel'o'n
kola	kol'a
kolo	kol'o
koloj	kol'o'j
kolojn	kol'o'j'n
kolon	kol'o'n
kolĉeno	kol'ĉen'o
kolĉenoj	kol'ĉen'o'j
kolĉenojn	kol'ĉen'o'j'n
kolĉenon	kol'ĉen'o'n
kolflankoj	kol'flank'o'j
kolharaj	kol'har'a'j
kolhararo	kol'har'ar'o
kolhararoj	kol'har'ar'o'j
kolhararon	kol'har'ar'o'n
kolringo	kol'ring'o
kolringon	kol'ring'o'n
koltuko	kol'tuk'o
koltukoj	kol'tuk'o'j
koltukojn	kol'tuk'o'j'n
koltukon	kol'tuk'o'n
kolumo	kol'um'o
kolumoj	kol'um'o'j
kolumojn	kol'um'o'j'n
kolumon	kol'um'o'n
kolao	kola'o
kolaon	kola'o'n
kolageno	kolagen'o
kolapsa	kolaps'a
kolapsas	kolaps'as
kolapsi	kolaps'i
kolapsis	kolaps'is
kolapso	kolaps'o
kolapsoj	kolaps'o'j
kolapson	kolaps'o'n
kolapsos	kolaps'os
kolapsus	kolaps'us
kolapsado	kolaps'ad'o
kolapsigas	kolaps'ig'as
kolapsigi	kolaps'ig'i
kolapsigis	kolaps'ig'is
kolbe	kolb'e
kolbo	kolb'o
kolbaso	kolbas'o
kolbasoj	kolbas'o'j
kolbasojn	kolbas'o'j'n
kolbason	kolbas'o'n
kolbasetoj	kolbas'et'o'j
kolĉido	kolĉid'o
kolĉidon	kolĉid'o'n
kolega	koleg'a
kolegaj	koleg'a'j
kolegajn	koleg'a'j'n
kolego	koleg'o
kolegoj	koleg'o'j
kolegojn	koleg'o'j'n
kolegon	koleg'o'n
kolegaro	koleg'ar'o
kolegaroreviziita	koleg'ar'o'revizi'it'a
kolegaroreviziitaj	koleg'ar'o'revizi'it'a'j
kolegeco	koleg'ec'o
kolegino	koleg'in'o
koleginoj	koleg'in'o'j
kolegia	kolegi'a
kolegiaj	kolegi'a'j
kolegio	kolegi'o
kolegioj	kolegi'o'j
kolegiojn	kolegi'o'j'n
kolegion	kolegi'o'n
kolegiata	kolegi'at'a
kolegiato	kolegi'at'o
kolegiostudantoj	kolegi'o'stud'ant'o'j
kolekta	kolekt'a
kolektaj	kolekt'a'j
kolektas	kolekt'as
kolekti	kolekt'i
kolektis	kolekt'is
kolekto	kolekt'o
kolektoj	kolekt'o'j
kolektojn	kolekt'o'j'n
kolekton	kolekt'o'n
kolektos	kolekt'os
kolektu	kolekt'u
kolektus	kolekt'us
kolektadis	kolekt'ad'is
kolektado	kolekt'ad'o
kolektadon	kolekt'ad'o'n
kolektaĵo	kolekt'aĵ'o
kolektaĵoj	kolekt'aĵ'o'j
kolektanta	kolekt'ant'a
kolektantaj	kolekt'ant'a'j
kolektante	kolekt'ant'e
kolektanto	kolekt'ant'o
kolektantoj	kolekt'ant'o'j
kolektantojn	kolekt'ant'o'j'n
kolektanton	kolekt'ant'o'n
kolektata	kolekt'at'a
kolektataj	kolekt'at'a'j
kolektebla	kolekt'ebl'a
kolekteblaj	kolekt'ebl'a'j
kolektejo	kolekt'ej'o
kolektiĝas	kolekt'iĝ'as
kolektiĝi	kolekt'iĝ'i
kolektiĝis	kolekt'iĝ'is
kolektiĝo	kolekt'iĝ'o
kolektiĝos	kolekt'iĝ'os
kolektiĝu	kolekt'iĝ'u
kolektindaĵoj	kolekt'ind'aĵ'o'j
kolektinta	kolekt'int'a
kolektinte	kolekt'int'e
kolektisto	kolekt'ist'o
kolektistoj	kolekt'ist'o'j
kolektita	kolekt'it'a
kolektitaj	kolekt'it'a'j
kolektitajn	kolekt'it'a'j'n
kolektitan	kolekt'it'a'n
kolektite	kolekt'it'e
kolektujo	kolekt'uj'o
kolektujoj	kolekt'uj'o'j
kolektiva	kolektiv'a
kolektivaj	kolektiv'a'j
kolektivajn	kolektiv'a'j'n
kolektivan	kolektiv'a'n
kolektive	kolektiv'e
kolektivo	kolektiv'o
kolektivoj	kolektiv'o'j
kolektivon	kolektiv'o'n
kolektiveco	kolektiv'ec'o
kolektivigo	kolektiv'ig'o
kolektivismo	kolektiv'ism'o
kolektivismon	kolektiv'ism'o'n
kolektivumo	kolektiv'um'o
kolektivumoj	kolektiv'um'o'j
kolektoro	kolektor'o
koleopteroj	koleopter'o'j
kolera	koler'a
koleraj	koler'a'j
kolerajn	koler'a'j'n
koleran	koler'a'n
koleras	koler'as
kolere	koler'e
koleri	koler'i
koleris	koler'is
kolero	koler'o
koleron	koler'o'n
koleros	koler'os
koleru	koler'u
kolerus	koler'us
kolerante	koler'ant'e
kolerega	koler'eg'a
koleregaj	koler'eg'a'j
koleregas	koler'eg'as
kolerege	koler'eg'e
koleregis	koler'eg'is
kolerego	koler'eg'o
koleregon	koler'eg'o'n
kolereksplodo	koler'eksplod'o
kolerema	koler'em'a
koleremo	koler'em'o
kolereta	koler'et'a
koleretas	koler'et'as
kolerigas	koler'ig'as
kolerigi	koler'ig'i
kolerigis	koler'ig'is
kolerigos	koler'ig'os
kolerigu	koler'ig'u
kolerigus	koler'ig'us
kolerigita	koler'ig'it'a
kolerigitaj	koler'ig'it'a'j
koleriĝas	koler'iĝ'as
koleriĝi	koler'iĝ'i
koleriĝis	koler'iĝ'is
koleriĝo	koler'iĝ'o
koleriĝos	koler'iĝ'os
koleriĝu	koler'iĝ'u
koleriĝema	koler'iĝ'em'a
koleriĝinta	koler'iĝ'int'a
kolesterolo	kolesterol'o
kolesterolon	kolesterol'o'n
kolĥozo	kolĥoz'o
kolĥozoj	kolĥoz'o'j
kolibro	kolibr'o
kolibroj	kolibr'o'j
koliero	kolier'o
kolieron	kolier'o'n
kolimbo	kolimb'o
kolimboj	kolimb'o'j
kolino	kolin'o
kolizia	kolizi'a
koliziaj	kolizi'a'j
kolizias	kolizi'as
kolizii	kolizi'i
koliziis	kolizi'is
kolizio	kolizi'o
kolizioj	kolizi'o'j
koliziojn	kolizi'o'j'n
kolizion	kolizi'o'n
koliziado	kolizi'ad'o
kolizianta	kolizi'ant'a
koliziante	kolizi'ant'e
kolkato	kolkat'o
kolofono	kolofon'o
koloida	koloid'a
koloidaj	koloid'a'j
kolokvo	kolokv'o
kolomba	kolomb'a
kolombo	kolomb'o
kolomboj	kolomb'o'j
kolombojn	kolomb'o'j'n
kolombon	kolomb'o'n
kolombano	kolomb'an'o
kolombeto	kolomb'et'o
kolombetoj	kolomb'et'o'j
kolombino	kolomb'in'o
kolombia	kolombi'a
kolombiaj	kolombi'a'j
kolombian	kolombi'a'n
kolombio	kolombi'o
kolombion	kolombi'o'n
kolombianoj	kolombi'an'o'j
kolona	kolon'a
kolonaj	kolon'a'j
kolono	kolon'o
kolonoj	kolon'o'j
kolonojn	kolon'o'j'n
kolonon	kolon'o'n
kolonaro	kolon'ar'o
kolonetoj	kolon'et'o'j
kolonelo	kolonel'o
koloneloj	kolonel'o'j
kolonelon	kolonel'o'n
kolonia	koloni'a
koloniaj	koloni'a'j
koloniajn	koloni'a'j'n
kolonian	koloni'a'n
kolonie	koloni'e
kolonii	koloni'i
kolonio	koloni'o
kolonioj	koloni'o'j
koloniojn	koloni'o'j'n
kolonion	koloni'o'n
koloniado	koloni'ad'o
koloniadon	koloni'ad'o'n
koloniano	koloni'an'o
kolonianoj	koloni'an'o'j
kolonianojn	koloni'an'o'j'n
koloniantoj	koloni'ant'o'j
koloniigas	koloni'ig'as
koloniigi	koloni'ig'i
koloniigis	koloni'ig'is
koloniigo	koloni'ig'o
koloniigon	koloni'ig'o'n
koloniigado	koloni'ig'ad'o
koloniigistoj	koloni'ig'ist'o'j
koloniigita	koloni'ig'it'a
koloniigitaj	koloni'ig'it'a'j
koloniisma	koloni'ism'a
koloniismaj	koloni'ism'a'j
koloniisman	koloni'ism'a'n
koloniismo	koloni'ism'o
koloniismon	koloni'ism'o'n
koloniistoj	koloni'ist'o'j
koloniita	koloni'it'a
kolonja	kolonj'a
kolonjo	kolonj'o
kolora	kolor'a
koloraj	kolor'a'j
kolorajn	kolor'a'j'n
koloran	kolor'a'n
koloras	kolor'as
kolore	kolor'e
kolori	kolor'i
koloro	kolor'o
koloroj	kolor'o'j
kolorojn	kolor'o'j'n
koloron	kolor'o'n
kolorado	kolor'ad'o
koloraro	kolor'ar'o
kolorbildo	kolor'bild'o
kolorbildoj	kolor'bild'o'j
kolorblinda	kolor'blind'a
kolorblindeco	kolor'blind'ec'o
koloreco	kolor'ec'o
kolorecon	kolor'ec'o'n
kolorfilmo	kolor'film'o
kolorigas	kolor'ig'as
kolorigi	kolor'ig'i
kolorigis	kolor'ig'is
kolorigo	kolor'ig'o
kolorigon	kolor'ig'o'n
kolorigado	kolor'ig'ad'o
kolorigaĵo	kolor'ig'aĵ'o
kolorigaĵoj	kolor'ig'aĵ'o'j
kolorigiloj	kolor'ig'il'o'j
kolorigita	kolor'ig'it'a
kolorigitaj	kolor'ig'it'a'j
kolorigitajn	kolor'ig'it'a'j'n
kolorigitan	kolor'ig'it'a'n
koloriĝas	kolor'iĝ'as
kolorilo	kolor'il'o
kolorita	kolor'it'a
koloritaj	kolor'it'a'j
kolorkombino	kolor'kombin'o
kolorkrajonoj	kolor'krajon'o'j
kolornuanco	kolor'nuanc'o
kolornuancoj	kolor'nuanc'o'j
kolorriĉa	kolor'riĉ'a
kolorriĉaj	kolor'riĉ'a'j
kolorruĝeco	kolor'ruĝ'ec'o
kolorskemo	kolor'skem'o
kolorsona	kolor'son'a
kolorspacoj	kolor'spac'o'j
kolorŝanĝo	kolor'ŝanĝ'o
kolorvido	kolor'vid'o
kolorvidado	kolor'vid'ad'o
kolorado	kolorad'o
koloradio	kolorad'i'o
kolosa	kolos'a
kolosaj	kolos'a'j
kolosajn	kolos'a'j'n
kolosan	kolos'a'n
kolose	kolos'e
koloso	kolos'o
koloseo	kolose'o
koloseon	kolose'o'n
kolportas	kolport'as
kolporti	kolport'i
kolportado	kolport'ad'o
kolportisto	kolport'ist'o
kolportistoj	kolport'ist'o'j
kolumna	kolumn'a
kolumno	kolumn'o
kolumnoj	kolumn'o'j
kolumnojn	kolumn'o'j'n
kolumnon	kolumn'o'n
kolumnisto	kolumn'ist'o
kolumnistoj	kolumn'ist'o'j
kolzo	kolz'o
komo	kom'o
komoj	kom'o'j
komojn	kom'o'j'n
komon	kom'o'n
komanda	komand'a
komandan	komand'a'n
komandas	komand'as
komandi	komand'i
komandis	komand'is
komando	komand'o
komandoj	komand'o'j
komandojn	komand'o'j'n
komandon	komand'o'n
komandado	komand'ad'o
komandanta	komand'ant'a
komandante	komand'ant'e
komandanto	komand'ant'o
komandantoj	komand'ant'o'j
komandantojn	komand'ant'o'j'n
komandanton	komand'ant'o'n
komandantaro	komand'ant'ar'o
komandejo	komand'ej'o
komandita	komand'it'a
komandlinio	komand'lini'o
komandita	komandit'a
komandoro	komandor'o
komarko	komark'o
komarkoj	komark'o'j
komato	komat'o
komaton	komat'o'n
kombas	komb'as
kombi	komb'i
kombis	komb'is
kombu	komb'u
kombado	komb'ad'o
kombilo	komb'il'o
kombiloj	komb'il'o'j
kombilon	komb'il'o'n
kombita	komb'it'a
kombitaj	komb'it'a'j
kombina	kombin'a
kombinaj	kombin'a'j
kombinan	kombin'a'n
kombinas	kombin'as
kombine	kombin'e
kombini	kombin'i
kombinis	kombin'is
kombino	kombin'o
kombinoj	kombin'o'j
kombinojn	kombin'o'j'n
kombinon	kombin'o'n
kombinu	kombin'u
kombinus	kombin'us
kombinado	kombin'ad'o
kombinaĵo	kombin'aĵ'o
kombinaĵoj	kombin'aĵ'o'j
kombinaĵojn	kombin'aĵ'o'j'n
kombinaĵon	kombin'aĵ'o'n
kombinanta	kombin'ant'a
kombinantaj	kombin'ant'a'j
kombinantan	kombin'ant'a'n
kombinante	kombin'ant'e
kombinata	kombin'at'a
kombinataj	kombin'at'a'j
kombineca	kombin'ec'a
kombinecaj	kombin'ec'a'j
kombiniĝas	kombin'iĝ'as
kombiniĝis	kombin'iĝ'is
kombiniĝo	kombin'iĝ'o
kombinita	kombin'it'a
kombinitaj	kombin'it'a'j
kombinitajn	kombin'it'a'j'n
kombinitan	kombin'it'a'n
kombinite	kombin'it'e
kombinatoriko	kombinatorik'o
kombineo	kombine'o
komedia	komedi'a
komediaj	komedi'a'j
komedian	komedi'a'n
komedio	komedi'o
komedioj	komedi'o'j
komediojn	komedi'o'j'n
komedion	komedi'o'n
komediisto	komedi'ist'o
komenca	komenc'a
komencaj	komenc'a'j
komencajn	komenc'a'j'n
komencan	komenc'a'n
komencas	komenc'as
komence	komenc'e
komenci	komenc'i
komencis	komenc'is
komenco	komenc'o
komencoj	komenc'o'j
komencojn	komenc'o'j'n
komencon	komenc'o'n
komencos	komenc'os
komencu	komenc'u
komencus	komenc'us
komencadis	komenc'ad'is
komencado	komenc'ad'o
komencanta	komenc'ant'a
komencantaj	komenc'ant'a'j
komencantajn	komenc'ant'a'j'n
komencantan	komenc'ant'a'n
komencante	komenc'ant'e
komencanto	komenc'ant'o
komencantoj	komenc'ant'o'j
komencantojn	komenc'ant'o'j'n
komencantino	komenc'ant'in'o
komencigi	komenc'ig'i
komencigis	komenc'ig'is
komenciĝas	komenc'iĝ'as
komenciĝi	komenc'iĝ'i
komenciĝis	komenc'iĝ'is
komenciĝo	komenc'iĝ'o
komenciĝon	komenc'iĝ'o'n
komenciĝos	komenc'iĝ'os
komenciĝu	komenc'iĝ'u
komenciĝus	komenc'iĝ'us
komenciĝanta	komenc'iĝ'ant'a
komenciĝantaj	komenc'iĝ'ant'a'j
komenciĝantan	komenc'iĝ'ant'a'n
komenciĝante	komenc'iĝ'ant'e
komenciĝinta	komenc'iĝ'int'a
komenciĝonta	komenc'iĝ'ont'a
komencinta	komenc'int'a
komencinte	komenc'int'e
komencintoj	komenc'int'o'j
komencita	komenc'it'a
komencitaj	komenc'it'a'j
komencitan	komenc'it'a'n
komencite	komenc'it'e
komencliteroj	komenc'liter'o'j
komenio	komeni'o
komentas	koment'as
komenti	koment'i
komentis	koment'is
komento	koment'o
komentoj	koment'o'j
komentojn	koment'o'j'n
komenton	koment'o'n
komentos	koment'os
komentu	koment'u
komentado	koment'ad'o
komentadoj	koment'ad'o'j
komentadon	koment'ad'o'n
komentaĵo	koment'aĵ'o
komentaĵoj	koment'aĵ'o'j
komentaĵojn	koment'aĵ'o'j'n
komentaĵon	koment'aĵ'o'n
komentante	koment'ant'e
komentanto	koment'ant'o
komentantoj	koment'ant'o'j
komentaro	koment'ar'o
komentaroj	koment'ar'o'j
komentisto	koment'ist'o
komentistoj	koment'ist'o'j
komentistojn	koment'ist'o'j'n
komentita	koment'it'a
komentitaj	koment'it'a'j
komentarias	komentari'as
komentarii	komentari'i
komentariis	komentari'is
komentario	komentari'o
komentarioj	komentari'o'j
komentariojn	komentari'o'j'n
komentarion	komentari'o'n
komentariistoj	komentari'ist'o'j
komerca	komerc'a
komercaj	komerc'a'j
komercajn	komerc'a'j'n
komercan	komerc'a'n
komercas	komerc'as
komerce	komerc'e
komerci	komerc'i
komercis	komerc'is
komerco	komerc'o
komercoj	komerc'o'j
komercojn	komerc'o'j'n
komercon	komerc'o'n
komercado	komerc'ad'o
komercadon	komerc'ad'o'n
komercadministracio	komerc'administraci'o
komercaĵo	komerc'aĵ'o
komercaĵoj	komerc'aĵ'o'j
komercaĵojn	komerc'aĵ'o'j'n
komercaĵon	komerc'aĵ'o'n
komercaktivecoj	komerc'aktiv'ec'o'j
komercanta	komerc'ant'a
komercante	komerc'ant'e
komercanto	komerc'ant'o
komercantoj	komerc'ant'o'j
komercbilanco	komerc'bilanc'o
komerccentro	komerc'centr'o
komercdistrikto	komerc'distrikt'o
komerceblaj	komerc'ebl'a'j
komercejo	komerc'ej'o
komercejoj	komerc'ej'o'j
komercentrepreno	komerc'entrepren'o
komercentreprenoj	komerc'entrepren'o'j
komercfoiroj	komerc'foir'o'j
komercigi	komerc'ig'i
komercigo	komerc'ig'o
komercigon	komerc'ig'o'n
komercigita	komerc'ig'it'a
komercigitaj	komerc'ig'it'a'j
komercilo	komerc'il'o
komercimposto	komerc'impost'o
komercimpostoj	komerc'impost'o'j
komercimpostojn	komerc'impost'o'j'n
komercinterkonsentoj	komerc'inter'konsent'o'j
komercinteresoj	komerc'interes'o'j
komercista	komerc'ist'a
komercisto	komerc'ist'o
komercistoj	komerc'ist'o'j
komercistojn	komerc'ist'o'j'n
komerciston	komerc'ist'o'n
komercistaro	komerc'ist'ar'o
komercita	komerc'it'a
komercitaj	komerc'it'a'j
komercklientoj	komerc'klient'o'j
