ia	i'a
inflaciajn	inflaci'a'j'n
inflacio	inflaci'o
inflacion	inflaci'o'n
inflaciindico	inflaci'indic'o
inflama	inflam'a
inflamaj	inflam'a'j
inflaman	inflam'a'n
inflamo	inflam'o
inflamoj	inflam'o'j
inflamojn	inflam'o'j'n
inflamon	inflam'o'n
infloresko	infloresk'o
infloreskoj	infloresk'o'j
infloreskojn	infloresk'o'j'n
influa	influ'a
influaj	influ'a'j
influajn	influ'a'j'n
influan	influ'a'n
influas	influ'as
influe	influ'e
influi	influ'i
influis	influ'is
influo	influ'o
influoj	influ'o'j
influojn	influ'o'j'n
influon	influ'o'n
influos	influ'os
influu	influ'u
influus	influ'us
influado	influ'ad'o
influanta	influ'ant'a
influantaj	influ'ant'a'j
influantajn	influ'ant'a'j'n
influantan	influ'ant'a'n
influante	influ'ant'e
influata	influ'at'a
influataj	influ'at'a'j
influate	influ'at'e
influebla	influ'ebl'a
influeblaj	influ'ebl'a'j
influhava	influ'hav'a
influhavaj	influ'hav'a'j
influiĝis	influ'iĝ'is
influinta	influ'int'a
influita	influ'it'a
influitaj	influ'it'a'j
influitajn	influ'it'a'j'n
influitan	influ'it'a'n
influite	influ'it'e
influkampo	influ'kamp'o
influkampoj	influ'kamp'o'j
influkampon	influ'kamp'o'n
influsfero	influ'sfer'o
informa	inform'a
informaj	inform'a'j
informajn	inform'a'j'n
informan	inform'a'n
informas	inform'as
informi	inform'i
informis	inform'is
informo	inform'o
informoj	inform'o'j
informojn	inform'o'j'n
informon	inform'o'n
informos	inform'os
informu	inform'u
informus	inform'us
informada	inform'ad'a
informadi	inform'ad'i
informado	inform'ad'o
informadon	inform'ad'o'n
informadika	inform'ad'ik'a
informadikaj	inform'ad'ik'a'j
informadikan	inform'ad'ik'a'n
informadiko	inform'ad'ik'o
informadikon	inform'ad'ik'o'n
informadikisto	inform'ad'ik'ist'o
informagentejo	inform'agent'ej'o
informagentejoj	inform'agent'ej'o'j
informaĵo	inform'aĵ'o
informaĵoj	inform'aĵ'o'j
informaĵon	inform'aĵ'o'n
informante	inform'ant'e
informanto	inform'ant'o
informantoj	inform'ant'o'j
informantojn	inform'ant'o'j'n
informaro	inform'ar'o
informaron	inform'ar'o'n
informata	inform'at'a
informataj	inform'at'a'j
informatiko	inform'at'ik'o
informcentro	inform'centr'o
informejo	inform'ej'o
informejon	inform'ej'o'n
informenhavo	inform'en'hav'o
informero	inform'er'o
informeroj	inform'er'o'j
informfluo	inform'flu'o
informfluon	inform'flu'o'n
informfonto	inform'font'o
informfontoj	inform'font'o'j
informiĝas	inform'iĝ'as
informiĝi	inform'iĝ'i
informiĝis	inform'iĝ'is
informiĝo	inform'iĝ'o
informiĝos	inform'iĝ'os
informiĝu	inform'iĝ'u
informiĝinte	inform'iĝ'int'e
informilo	inform'il'o
informiloj	inform'il'o'j
informilojn	inform'il'o'j'n
informilon	inform'il'o'n
informinterŝanĝo	inform'inter'ŝanĝ'o
informisto	inform'ist'o
informita	inform'it'a
informitaj	inform'it'a'j
informite	inform'it'e
informiteco	inform'it'ec'o
informkampanjo	inform'kampanj'o
informkanaloj	inform'kanal'o'j
informkesto	inform'kest'o
informkestoreferencoj	inform'kest'o'referenc'o'j
informkvanto	inform'kvant'o
informkvanton	inform'kvant'o'n
informmaterialo	inform'material'o
informofontoj	inform'o'font'o'j
informpetoj	inform'pet'o'j
informpetojn	inform'pet'o'j'n
informpretigo	inform'pret'ig'o
informriĉa	inform'riĉ'a
informserĉado	inform'serĉ'ad'o
informservo	inform'serv'o
informservoj	inform'serv'o'j
informsistemo	inform'sistem'o
informsistemoj	inform'sistem'o'j
informsistemojn	inform'sistem'o'j'n
informsocio	inform'soci'o
informstandon	inform'stand'o'n
informtabuloj	inform'tabul'o'j
informteknologia	inform'teknologi'a
informteknologiaj	inform'teknologi'a'j
informteknologioepoko	inform'teknologi'o'epok'o
informacio	informaci'o
informacion	informaci'o'n
infrastruktura	infra'struktur'a
infrastrukturaj	infra'struktur'a'j
infrastrukturajn	infra'struktur'a'j'n
infrastrukturo	infra'struktur'o
infrastrukturoj	infra'struktur'o'j
infrastrukturojn	infra'struktur'o'j'n
infrastrukturon	infra'struktur'o'n
infrastrukturevoluo	infra'struktur'evolu'o
infrastrukturprojektoj	infra'struktur'projekt'o'j
infuzas	infuz'as
infuzi	infuz'i
infuzis	infuz'is
infuzo	infuz'o
infuzaĵo	infuz'aĵ'o
infuzaĵon	infuz'aĵ'o'n
infuzita	infuz'it'a
inge	ing'e
ingo	ing'o
ingoj	ing'o'j
ingojn	ing'o'j'n
ingon	ing'o'n
inĝenia	inĝeni'a
inĝeniaj	inĝeni'a'j
inĝenie	inĝeni'e
inĝeniera	inĝenier'a
inĝenieraj	inĝenier'a'j
inĝenieran	inĝenier'a'n
inĝeniero	inĝenier'o
ingheniero	inĝenier'o
inĝenieroj	inĝenier'o'j
inĝenierojn	inĝenier'o'j'n
inĝenieron	inĝenier'o'n
inĝenierado	inĝenier'ad'o
inĝenieradon	inĝenier'ad'o'n
inĝenierarto	inĝenier'art'o
inĝenierio	inĝenier'i'o
inĝenieriaĵo	inĝenier'i'aĵ'o
inĝenieriaĵoj	inĝenier'i'aĵ'o'j
inĝenieriaĵon	inĝenier'i'aĵ'o'n
inĝenierino	inĝenier'in'o
inĝenieristika	inĝenier'ist'ik'a
inĝenieristikaj	inĝenier'ist'ik'a'j
inĝenieristiko	inĝenier'ist'ik'o
inĝenieristikon	inĝenier'ist'ik'o'n
inĝenieristikaplikoj	inĝenier'ist'ik'aplik'o'j
ingesto	ingest'o
ingestado	ingest'ad'o
ingestita	ingest'it'a
ingoto	ingot'o
ingredienco	ingredienc'o
ingrediencoj	ingredienc'o'j
ingrediencojn	ingredienc'o'j'n
ingrediencon	ingredienc'o'n
ingvena	ingven'a
ingveno	ingven'o
inhalado	inhal'ad'o
inhalita	inhal'it'a
inhibas	inhib'as
inhibado	inhib'ad'o
inhibanto	inhib'ant'o
inhibicia	inhibici'a
inhibiciaj	inhibici'a'j
inhibicias	inhibici'as
inhibicii	inhibici'i
inhibicio	inhibici'o
inhibicion	inhibici'o'n
inhibiciante	inhibici'ant'e
inhibiciita	inhibici'it'a
inhibiciitaj	inhibici'it'a'j
inica	inic'a
inicis	inic'is
inico	inic'o
inicon	inic'o'n
inicado	inic'ad'o
inicitaj	inic'it'a'j
inicitoj	inic'it'o'j
inicialo	inicial'o
inicialoj	inicial'o'j
inicialojn	inicial'o'j'n
inicialigo	inicial'ig'o
iniciata	iniciat'a
iniciatas	iniciat'as
iniciate	iniciat'e
iniciati	iniciat'i
iniciatis	iniciat'is
iniciato	iniciat'o
iniciatoj	iniciat'o'j
iniciatojn	iniciat'o'j'n
iniciaton	iniciat'o'n
iniciatos	iniciat'os
iniciatado	iniciat'ad'o
iniciatante	iniciat'ant'e
iniciatema	iniciat'em'a
iniciatemaj	iniciat'em'a'j
iniciateme	iniciat'em'e
iniciatemo	iniciat'em'o
iniciatemon	iniciat'em'o'n
iniciatinto	iniciat'int'o
iniciatintoj	iniciat'int'o'j
iniciatinton	iniciat'int'o'n
iniciatita	iniciat'it'a
iniciatitaj	iniciat'it'a'j
iniciatitan	iniciat'it'a'n
iniciatite	iniciat'it'e
iniciative	iniciativ'e
iniciativo	iniciativ'o
iniciativoj	iniciativ'o'j
iniciativon	iniciativ'o'n
iniciatoro	iniciator'o
injektas	injekt'as
injekti	injekt'i
injektis	injekt'is
injekto	injekt'o
injektoj	injekt'o'j
injektojn	injekt'o'j'n
injekton	injekt'o'n
injektado	injekt'ad'o
injektilo	injekt'il'o
injektiloj	injekt'il'o'j
injektilon	injekt'il'o'n
injektita	injekt'it'a
injektitaj	injekt'it'a'j
inka	ink'a
inkaj	ink'a'j
inko	ink'o
inkoj	ink'o'j
inkojn	ink'o'j'n
inkon	ink'o'n
inkŝprucaj	ink'ŝpruc'a'j
inkujo	ink'uj'o
inkujon	ink'uj'o'n
inkaa	inka'a
inkaaj	inka'a'j
inkao	inka'o
inkaoj	inka'o'j
inkandeska	inkandesk'a
inkandeskaj	inkandesk'a'j
inklina	inklin'a
inklinaj	inklin'a'j
inklinajn	inklin'a'j'n
inklinan	inklin'a'n
inklinas	inklin'as
inklinis	inklin'is
inklino	inklin'o
inklinoj	inklin'o'j
inklinojn	inklin'o'j'n
inklinon	inklin'o'n
inkludas	inklud'as
inklude	inklud'e
inkludi	inklud'i
inkludis	inklud'is
inkludo	inklud'o
inkludon	inklud'o'n
inkludos	inklud'os
inkludu	inklud'u
inkludus	inklud'us
inkludado	inklud'ad'o
inkludante	inklud'ant'e
inkludata	inklud'at'a
inkludataj	inklud'at'a'j
inkludintus	inklud'int'us
inkludita	inklud'it'a
inkluditaj	inklud'it'a'j
inkluditajn	inklud'it'a'j'n
inkludite	inklud'it'e
inkluziva	inkluziv'a
inkluzivaj	inkluziv'a'j
inkluzivan	inkluziv'a'n
inkluzivas	inkluziv'as
inkluzive	inkluziv'e
inkluzivi	inkluziv'i
inkluzivis	inkluziv'is
inkluzivo	inkluziv'o
inkluzivos	inkluziv'os
inkluzivu	inkluziv'u
inkluzivus	inkluziv'us
inkluzivanta	inkluziv'ant'a
inkluzivante	inkluziv'ant'e
inkluziveco	inkluziv'ec'o
inkluzivema	inkluziv'em'a
inkluzivita	inkluziv'it'a
inkluzivitaj	inkluziv'it'a'j
inkrustita	inkrust'it'a
inkrustitaj	inkrust'it'a'j
inkubo	inkub'o
inkubsonĝojn	inkub'sonĝ'o'j'n
inkubacio	inkubaci'o
inkubatoro	inkubator'o
inkvizicia	inkvizici'a
inkvizicio	inkvizici'o
inkvizicion	inkvizici'o'n
inocento	inocent'o
inokulado	inokul'ad'o
inokulita	inokul'it'a
inokulitaj	inokul'it'a'j
insekta	insekt'a
insektaj	insekt'a'j
insekto	insekt'o
insektoj	insekt'o'j
insektojn	insekt'o'j'n
insekton	insekt'o'n
insektetoj	insekt'et'o'j
insektnesto	insekt'nest'o
insektovora	insekt'o'vor'a
insektovoraj	insekt'o'vor'a'j
insekticido	insekticid'o
insekticidoj	insekticid'o'j
insekticidojn	insekticid'o'j'n
insekticidon	insekticid'o'n
insida	insid'a
insidaj	insid'a'j
insidas	insid'as
inside	insid'e
insidoj	insid'o'j
insidema	insid'em'a
insidmurdisto	insid'murd'ist'o
insidmurdistoj	insid'murd'ist'o'j
insigno	insign'o
insignoj	insign'o'j
insignojn	insign'o'j'n
insignon	insign'o'n
insinuas	insinu'as
insinuis	insinu'is
insista	insist'a
insistaj	insist'a'j
insistas	insist'as
insiste	insist'e
insisti	insist'i
insistis	insist'is
insisto	insist'o
insistoj	insist'o'j
insistos	insist'os
insistu	insist'u
insistus	insist'us
insistado	insist'ad'o
insistante	insist'ant'e
inspekta	inspekt'a
inspektas	inspekt'as
inspekti	inspekt'i
inspektis	inspekt'is
inspekto	inspekt'o
inspekton	inspekt'o'n
inspektos	inspekt'os
inspektu	inspekt'u
inspektado	inspekt'ad'o
inspektadoj	inspekt'ad'o'j
inspektadojn	inspekt'ad'o'j'n
inspektadon	inspekt'ad'o'n
inspektante	inspekt'ant'e
inspektisto	inspekt'ist'o
inspektistoj	inspekt'ist'o'j
inspektistojn	inspekt'ist'o'j'n
inspektita	inspekt'it'a
inspektitaj	inspekt'it'a'j
inspektoro	inspektor'o
inspektoroj	inspektor'o'j
inspektoron	inspektor'o'n
inspira	inspir'a
inspiraj	inspir'a'j
inspirajn	inspir'a'j'n
inspiran	inspir'a'n
inspiras	inspir'as
inspire	inspir'e
inspiri	inspir'i
inspiris	inspir'is
inspiro	inspir'o
inspiroj	inspir'o'j
inspirojn	inspir'o'j'n
inspiron	inspir'o'n
inspiros	inspir'os
inspiru	inspir'u
inspirus	inspir'us
inspirado	inspir'ad'o
inspirante	inspir'ant'e
inspiranto	inspir'ant'o
inspirata	inspir'at'a
inspirataj	inspir'at'a'j
inspiriĝas	inspir'iĝ'as
inspiriĝi	inspir'iĝ'i
inspiriĝis	inspir'iĝ'is
inspirita	inspir'it'a
inspiritaj	inspir'it'a'j
inspiritajn	inspir'it'a'j'n
inspiritan	inspir'it'a'n
inspirite	inspir'it'e
instalas	instal'as
instali	instal'i
instalis	instal'is
instalo	instal'o
instalon	instal'o'n
instalos	instal'os
instalu	instal'u
instalado	instal'ad'o
instaladoj	instal'ad'o'j
instaladon	instal'ad'o'n
instalaĵo	instal'aĵ'o
instalaĵoj	instal'aĵ'o'j
instalaĵojn	instal'aĵ'o'j'n
instalaĵon	instal'aĵ'o'n
instalante	instal'ant'e
instaliĝas	instal'iĝ'as
instaliĝi	instal'iĝ'i
instaliĝis	instal'iĝ'is
instalilo	instal'il'o
instalita	instal'it'a
instalitaj	instal'it'a'j
instalitajn	instal'it'a'j'n
instalitan	instal'it'a'n
instalite	instal'it'e
instalota	instal'ot'a
instanco	instanc'o
instancoj	instanc'o'j
instancojn	instanc'o'j'n
instancon	instanc'o'n
instiga	instig'a
instigaj	instig'a'j
instigas	instig'as
instige	instig'e
instigi	instig'i
instigis	instig'is
instigo	instig'o
instigoj	instig'o'j
instigojn	instig'o'j'n
instigon	instig'o'n
instigos	instig'os
instigu	instig'u
instigus	instig'us
instigado	instig'ad'o
instiganta	instig'ant'a
instigantaj	instig'ant'a'j
instigantan	instig'ant'a'n
instigante	instig'ant'e
instiganto	instig'ant'o
instigantoj	instig'ant'o'j
instigata	instig'at'a
instigataj	instig'at'a'j
instigilo	instig'il'o
instigita	instig'it'a
instigitaj	instig'it'a'j
instigitan	instig'it'a'n
instigite	instig'it'e
instinkta	instinkt'a
instinktan	instinkt'a'n
instinkte	instinkt'e
instinkto	instinkt'o
instinktoj	instinkt'o'j
instinktojn	instinkt'o'j'n
instinkton	instinkt'o'n
institucia	instituci'a
instituciaj	instituci'a'j
instituciajn	instituci'a'j'n
institucian	instituci'a'n
institucie	instituci'e
institucio	instituci'o
institucioj	instituci'o'j
instituciojn	instituci'o'j'n
institucion	instituci'o'n
instituciigis	instituci'ig'is
instituciigo	instituci'ig'o
instituciigita	instituci'ig'it'a
instituciigitaj	instituci'ig'it'a'j
instituta	institut'a
institute	institut'e
instituto	institut'o
institutoj	institut'o'j
institutojn	institut'o'j'n
instituton	institut'o'n
instrua	instru'a
instruaj	instru'a'j
instruajn	instru'a'j'n
instruan	instru'a'n
instruas	instru'as
instrue	instru'e
instrui	instru'i
instruis	instru'is
instruo	instru'o
instruoj	instru'o'j
instruojn	instru'o'j'n
instruon	instru'o'n
instruos	instru'os
instruu	instru'u
instruus	instru'us
instruadi	instru'ad'i
instruadis	instru'ad'is
instruado	instru'ad'o
instruadoj	instru'ad'o'j
instruadon	instru'ad'o'n
instruadlingvo	instru'ad'lingv'o
instruaĵoj	instru'aĵ'o'j
instruaĵojn	instru'aĵ'o'j'n
instruanta	instru'ant'a
instruantaj	instru'ant'a'j
instruantan	instru'ant'a'n
instruante	instru'ant'e
instruanto	instru'ant'o
instruantoj	instru'ant'o'j
instruata	instru'at'a
instruataj	instru'at'a'j
instrudepagoj	instru'de'pag'o'j
instruejo	instru'ej'o
instruejoj	instru'ej'o'j
instruejojn	instru'ej'o'j'n
instruhoroj	instru'hor'o'j
instruiĝas	instru'iĝ'as
instruiĝi	instru'iĝ'i
instruiĝo	instru'iĝ'o
instruilo	instru'il'o
instruiloj	instru'il'o'j
instruista	instru'ist'a
instruistaj	instru'ist'a'j
instruistajn	instru'ist'a'j'n
instruistan	instru'ist'a'n
instruisto	instru'ist'o
instruistoj	instru'ist'o'j
instruistojn	instru'ist'o'j'n
instruiston	instru'ist'o'n
instruistaro	instru'ist'ar'o
instruistino	instru'ist'in'o
instruistinoj	instru'ist'in'o'j
instruistinon	instru'ist'in'o'n
instruita	instru'it'a
instruitaj	instru'it'a'j
instruitajn	instru'it'a'j'n
instruite	instru'it'e
instruitoj	instru'it'o'j
instruiteco	instru'it'ec'o
instruitecon	instru'it'ec'o'n
instruitulo	instru'it'ul'o
instruituloj	instru'it'ul'o'j
instrukotizo	instru'kotiz'o
instrukotizon	instru'kotiz'o'n
instrulingvo	instru'lingv'o
instrumaterialo	instru'material'o
instrumaterialoj	instru'material'o'j
instrumetodo	instru'metod'o
instrumetodoj	instru'metod'o'j
instrumetodojn	instru'metod'o'j'n
instrumetodon	instru'metod'o'n
instruplano	instru'plan'o
instruplanoj	instru'plan'o'j
instruplanojn	instru'plan'o'j'n
instruplanon	instru'plan'o'n
instruprogramo	instru'program'o
instruprogramoj	instru'program'o'j
instruprogramojn	instru'program'o'j'n
instruprogramon	instru'program'o'n
instrukcias	instrukci'as
instrukcii	instrukci'i
instrukciis	instrukci'is
instrukcio	instrukci'o
instrukcioj	instrukci'o'j
instrukciojn	instrukci'o'j'n
instrukcion	instrukci'o'n
instrukciaĵo	instrukci'aĵ'o
instrukciaĵon	instrukci'aĵ'o'n
instrukciante	instrukci'ant'e
instrukciisto	instrukci'ist'o
instrukciistoj	instrukci'ist'o'j
instrukciita	instrukci'it'a
instrukciitaj	instrukci'it'a'j
instrukciserio	instrukci'seri'o
instrumenta	instrument'a
instrumentaj	instrument'a'j
instrumentajn	instrument'a'j'n
instrumentan	instrument'a'n
instrumento	instrument'o
instrumentoj	instrument'o'j
instrumentojn	instrument'o'j'n
instrumenton	instrument'o'n
instrumentado	instrument'ad'o
instrumentadon	instrument'ad'o'n
instrumentaro	instrument'ar'o
instrumentistoj	instrument'ist'o'j
instrumentpanelo	instrument'panel'o
instrumentalo	instrumental'o
insula	insul'a
insulaj	insul'a'j
insulan	insul'a'n
insulo	insul'o
insuloj	insul'o'j
insulojn	insul'o'j'n
insulon	insul'o'n
insulanoj	insul'an'o'j
insulanojn	insul'an'o'j'n
insularo	insul'ar'o
insularoj	insul'ar'o'j
insularon	insul'ar'o'n
insulestro	insul'estr'o
insuleto	insul'et'o
insuletoj	insul'et'o'j
insuletojn	insul'et'o'j'n
insuleton	insul'et'o'n
insulino	insulin'o
insulinon	insulin'o'n
insulta	insult'a
insultaj	insult'a'j
insultajn	insult'a'j'n
insultan	insult'a'n
insultas	insult'as
insulte	insult'e
insulti	insult'i
insultis	insult'is
insulto	insult'o
insultoj	insult'o'j
insultojn	insult'o'j'n
insulton	insult'o'n
insultos	insult'os
insultu	insult'u
insultado	insult'ad'o
insultadon	insult'ad'o'n
insultante	insult'ant'e
insultata	insult'at'a
insultita	insult'it'a
insultitaj	insult'it'a'j
insurekcia	insurekci'a
insurekcio	insurekci'o
insurekcioj	insurekci'o'j
insurekcion	insurekci'o'n
inta	int'a
intaj	int'a'j
inte	int'e
into	int'o
interkomprenigho	int'er'kom'pren'iĝ'o
intajlo	intajl'o
integra	integr'a
integraj	integr'a'j
integrajn	integr'a'j'n
integran	integr'a'n
integras	integr'as
integre	integr'e
integri	integr'i
integris	integr'is
integrado	integr'ad'o
integradon	integr'ad'o'n
integrante	integr'ant'e
integreca	integr'ec'a
integreco	integr'ec'o
integrecon	integr'ec'o'n
integriga	integr'ig'a
integrigas	integr'ig'as
integrigi	integr'ig'i
integrigis	integr'ig'is
integrigo	integr'ig'o
integrigon	integr'ig'o'n
integrigado	integr'ig'ad'o
integrigante	integr'ig'ant'e
integrigita	integr'ig'it'a
integrigitaj	integr'ig'it'a'j
integriĝa	integr'iĝ'a
integriĝas	integr'iĝ'as
integriĝi	integr'iĝ'i
integriĝis	integr'iĝ'is
integriĝo	integr'iĝ'o
integriĝon	integr'iĝ'o'n
integriĝinta	integr'iĝ'int'a
integriĝintaj	integr'iĝ'int'a'j
integriĝintajn	integr'iĝ'int'a'j'n
integriĝintan	integr'iĝ'int'a'n
integrismo	integr'ism'o
integrita	integr'it'a
integritaj	integr'it'a'j
integritajn	integr'it'a'j'n
integritan	integr'it'a'n
integrite	integr'it'e
integrala	integral'a
integralo	integral'o
integraloj	integral'o'j
integralojn	integral'o'j'n
integralon	integral'o'n
integralado	integral'ad'o
intelekta	intelekt'a
intelektaj	intelekt'a'j
intelektajn	intelekt'a'j'n
intelektan	intelekt'a'n
intelekte	intelekt'e
intelekto	intelekt'o
intelektoj	intelekt'o'j
intelekton	intelekt'o'n
intelektapropraĵaj	intelekt'a'propr'aĵ'a'j
intelektula	intelekt'ul'a
intelektulo	intelekt'ul'o
intelektuloj	intelekt'ul'o'j
intelektulojn	intelekt'ul'o'j'n
intelektulon	intelekt'ul'o'n
intelektularo	intelekt'ul'ar'o
inteligencio	inteligenci'o
inteligenta	inteligent'a
inteligentaj	inteligent'a'j
inteligentajn	inteligent'a'j'n
inteligentan	inteligent'a'n
inteligentas	inteligent'as
inteligente	inteligent'e
inteligento	inteligent'o
inteligenton	inteligent'o'n
inteligenteco	inteligent'ec'o
inteligentecoj	inteligent'ec'o'j
inteligentecon	inteligent'ec'o'n
inteligentecotestoj	inteligent'ec'o'test'o'j
inteligentulo	inteligent'ul'o
inteligentuloj	inteligent'ul'o'j
inteligentularo	inteligent'ul'ar'o
intenca	intenc'a
intencaj	intenc'a'j
intencan	intenc'a'n
intencas	intenc'as
intence	intenc'e
intenci	intenc'i
intencis	intenc'is
intenco	intenc'o
intencoj	intenc'o'j
intencojn	intenc'o'j'n
intencon	intenc'o'n
intencos	intenc'os
intencu	intenc'u
intencus	intenc'us
intencanta	intenc'ant'a
intencantaj	intenc'ant'a'j
intencante	intenc'ant'e
intencata	intenc'at'a
intencita	intenc'it'a
intencitaj	intenc'it'a'j
intencitajn	intenc'it'a'j'n
intencitan	intenc'it'a'n
intencite	intenc'it'e
intendanto	intendant'o
intendanton	intendant'o'n
intendantado	intendant'ad'o
intendantadon	intendant'ad'o'n
intensa	intens'a
intensaj	intens'a'j
intensajn	intens'a'j'n
intensan	intens'a'n
intense	intens'e
intenso	intens'o
intenson	intens'o'n
intenseco	intens'ec'o
intensecoj	intens'ec'o'j
intensecon	intens'ec'o'n
intensega	intens'eg'a
intensigas	intens'ig'as
intensigi	intens'ig'i
intensigis	intens'ig'is
intensigo	intens'ig'o
intensigos	intens'ig'os
intensigita	intens'ig'it'a
intensigitaj	intens'ig'it'a'j
intensiĝas	intens'iĝ'as
intensiĝis	intens'iĝ'is
intensiĝo	intens'iĝ'o
intensive	intensiv'e
inter	inter
intera	inter'a
interaj	inter'a'j
interan	inter'a'n
intere	inter'e
interaga	inter'ag'a
interagaj	inter'ag'a'j
interagajn	inter'ag'a'j'n
interagan	inter'ag'a'n
interagas	inter'ag'as
interage	inter'ag'e
interagi	inter'ag'i
interagis	inter'ag'is
interago	inter'ag'o
interagoj	inter'ag'o'j
interagojn	inter'ag'o'j'n
interagon	inter'ag'o'n
interagada	inter'ag'ad'a
interagadas	inter'ag'ad'as
interagadi	inter'ag'ad'i
interagado	inter'ag'ad'o
interagadoj	inter'ag'ad'o'j
interagadon	inter'ag'ad'o'n
interaganta	inter'ag'ant'a
interagantaj	inter'ag'ant'a'j
interagante	inter'ag'ant'e
interaĵo	inter'aĵ'o
interakto	inter'akt'o
interaktiva	inter'aktiv'a
interaktivaj	inter'aktiv'a'j
interalie	inter'ali'e
interamerika	inter'amerik'a
interamikiĝo	inter'amik'iĝ'o
interastra	inter'astr'a
interastraj	inter'astr'a'j
interbabili	inter'babil'i
interbabilis	inter'babil'is
interbabilado	inter'babil'ad'o
interbatado	inter'bat'ad'o
interbatiĝis	inter'bat'iĝ'is
interbatiĝo	inter'bat'iĝ'o
interbatiĝoj	inter'bat'iĝ'o'j
interbatalas	inter'batal'as
interbatali	inter'batal'i
interbatalis	inter'batal'is
interbatalo	inter'batal'o
interbataloj	inter'batal'o'j
interĉelaj	inter'ĉel'a'j
intercetere	inter'ceter'e
intercivitana	inter'civit'an'a
interdependa	inter'de'pend'a
interdependaj	inter'de'pend'a'j
interdependeco	inter'de'pend'ec'o
intereto	inter'et'o
interetaĝo	inter'etaĝ'o
interetna	inter'etn'a
interetnaj	inter'etn'a'j
interface	inter'fac'e
interfaco	inter'fac'o
interfacoj	inter'fac'o'j
interfacojn	inter'fac'o'j'n
interfacon	inter'fac'o'n
interfaka	inter'fak'a
interfakaj	inter'fak'a'j
interfakajn	inter'fak'a'j'n
interfakan	inter'fak'a'n
interfidon	inter'fid'o'n
interflua	inter'flu'a
interfluan	inter'flu'a'n
interflui	inter'flu'i
interfluo	inter'flu'o
interfluoj	inter'flu'o'j
interfluojn	inter'flu'o'j'n
interfluon	inter'flu'o'n
interfluado	inter'flu'ad'o
interfratiĝo	inter'frat'iĝ'o
intergeedzigo	inter'ge'edz'ig'o
intergeedziĝis	inter'ge'edz'iĝ'is
intergeneracia	inter'generaci'a
intergenta	inter'gent'a
interhelpo	inter'help'o
interhoma	inter'hom'a
interhomaj	inter'hom'a'j
interhomajn	inter'hom'a'j'n
interhoman	inter'hom'a'n
interkapto	inter'kapt'o
interkaptoj	inter'kapt'o'j
interkapton	inter'kapt'o'n
interkisis	inter'kis'is
interkolegia	inter'kolegi'a
interkomprenas	inter'kompren'as
interkompreni	inter'kompren'i
interkompreno	inter'kompren'o
interkomprenon	inter'kompren'o'n
interkompreneblaj	inter'kompren'ebl'a'j
interkompreniĝas	inter'kompren'iĝ'as
interkompreniĝi	inter'kompren'iĝ'i
interkompreniĝis	inter'kompren'iĝ'is
interkompreniĝo	inter'kompren'iĝ'o
interkompreniĝon	inter'kompren'iĝ'o'n
interkompreniĝado	inter'kompren'iĝ'ad'o
interkomprenilo	inter'kompren'il'o
interkomunuma	inter'komun'um'a
interkomunika	inter'komunik'a
interkomunikas	inter'komunik'as
interkomuniki	inter'komunik'i
interkomunikon	inter'komunik'o'n
interkomunikado	inter'komunik'ad'o
interkomunikadon	inter'komunik'ad'o'n
interkomunikiĝas	inter'komunik'iĝ'as
interkomunikiĝi	inter'komunik'iĝ'i
interkomunikiĝo	inter'komunik'iĝ'o
interkomunikiĝon	inter'komunik'iĝ'o'n
interkomunikilo	inter'komunik'il'o
interkona	inter'kon'a
interkonaj	inter'kon'a'j
interkonan	inter'kon'a'n
interkonatiĝi	inter'kon'at'iĝ'i
interkonatiĝis	inter'kon'at'iĝ'is
interkonatiĝo	inter'kon'at'iĝ'o
interkonatiĝu	inter'kon'at'iĝ'u
interkonekta	inter'konekt'a
interkonektaj	inter'konekt'a'j
interkonektajn	inter'konekt'a'j'n
interkonektan	inter'konekt'a'n
interkonektoj	inter'konekt'o'j
interkonektita	inter'konekt'it'a
interkonektitaj	inter'konekt'it'a'j
interkonfesia	inter'konfesi'a
interkonfesiaj	inter'konfesi'a'j
interkonsentas	inter'konsent'as
interkonsente	inter'konsent'e
interkonsenti	inter'konsent'i
interkonsentis	inter'konsent'is
interkonsento	inter'konsent'o
interkonsentoj	inter'konsent'o'j
interkonsentojn	inter'konsent'o'j'n
interkonsenton	inter'konsent'o'n
interkonsentos	inter'konsent'os
interkonsentu	inter'konsent'u
interkonsentita	inter'konsent'it'a
interkonsentitaj	inter'konsent'it'a'j
interkonsentitan	inter'konsent'it'a'n
interkonsentite	inter'konsent'it'e
interkonsiliĝa	inter'konsil'iĝ'a
interkonsiliĝas	inter'konsil'iĝ'as
interkonsiliĝi	inter'konsil'iĝ'i
interkonsiliĝis	inter'konsil'iĝ'is
interkonsiliĝo	inter'konsil'iĝ'o
interkonsiliĝoj	inter'konsil'iĝ'o'j
interkonsiliĝon	inter'konsil'iĝ'o'n
interkonsiliĝado	inter'konsil'iĝ'ad'o
interkontinenta	inter'kontinent'a
interkontinentaj	inter'kontinent'a'j
interkovras	inter'kovr'as
interkovri	inter'kovr'i
interkovris	inter'kovr'is
interkovro	inter'kovr'o
interkovroj	inter'kovr'o'j
interkovron	inter'kovr'o'n
interkovrante	inter'kovr'ant'e
interkovriĝo	inter'kovr'iĝ'o
interkrampe	inter'kramp'e
interkruciĝas	inter'kruc'iĝ'as
interkruciĝo	inter'kruc'iĝ'o
