fabo	fab'o
fendojn	fend'o'j'n
fendon	fend'o'n
fendante	fend'ant'e
fendebla	fend'ebl'a
fendego	fend'eg'o
fendeto	fend'et'o
fendetoj	fend'et'o'j
fendetojn	fend'et'o'j'n
fendeton	fend'et'o'n
fendetiĝas	fend'et'iĝ'as
fendetiĝi	fend'et'iĝ'i
fendetiĝis	fend'et'iĝ'is
fendetiĝado	fend'et'iĝ'ad'o
fendetiĝantan	fend'et'iĝ'ant'a'n
fendiĝas	fend'iĝ'as
fendiĝis	fend'iĝ'is
fendiĝinta	fend'iĝ'int'a
fendiloj	fend'il'o'j
fendita	fend'it'a
fenditaj	fend'it'a'j
fenditan	fend'it'a'n
fendro	fendr'o
fenestra	fenestr'a
fenestraj	fenestr'a'j
fenestrajn	fenestr'a'j'n
fenestran	fenestr'a'n
fenestro	fenestr'o
fenestroj	fenestr'o'j
fenestrojn	fenestr'o'j'n
fenestron	fenestr'o'n
fenestreto	fenestr'et'o
fenestretoj	fenestr'et'o'j
fenestreton	fenestr'et'o'n
fenestrobreto	fenestr'o'bret'o
fenestrobreton	fenestr'o'bret'o'n
fenestrorozo	fenestr'o'roz'o
fenestrovitroj	fenestr'o'vitr'o'j
fenestrovitraĵo	fenestr'o'vitr'aĵ'o
fenestrovitraĵoj	fenestr'o'vitr'aĵ'o'j
fenestrozono	fenestr'o'zon'o
fenica	fenic'a
fenicaj	fenic'a'j
fenicoj	fenic'o'j
fenicia	fenic'i'a
fenicio	fenic'i'o
fenicianoj	fenic'i'an'o'j
fenicino	fenic'in'o
fenikopteroj	fenikopter'o'j
fenikso	feniks'o
feniksoj	feniks'o'j
fenila	fenil'a
fenilacetata	fenil'acet'at'a
fenilacetato	fenil'acet'at'o
fenilalanino	fenil'alanin'o
fenkolo	fenkol'o
fenomena	fenomen'a
fenomenaj	fenomen'a'j
fenomenan	fenomen'a'n
fenomeno	fenomen'o
fenomenoj	fenomen'o'j
fenomenojn	fenomen'o'j'n
fenomenon	fenomen'o'n
fenomenologia	fenomen'olog'i'a
fenomenologio	fenomen'olog'i'o
fenotipa	fenotip'a
fenotipaj	fenotip'a'j
fenotipo	fenotip'o
fenotipoj	fenotip'o'j
fenotipon	fenotip'o'n
fera	fer'a
feraj	fer'a'j
ferajn	fer'a'j'n
feran	fer'a'n
fere	fer'e
fero	fer'o
feroj	fer'o'j
feron	fer'o'n
feraĵoj	fer'aĵ'o'j
ferepoko	fer'epok'o
fererco	fer'erc'o
ferkerno	fer'kern'o
feroelektra	fer'o'elektr'a
feromagneta	fer'o'magnet'a
feromagnetaj	fer'o'magnet'a'j
feroksido	fer'oksid'o
feroza	fer'oz'a
ferpeco	fer'pec'o
fervoja	fer'voj'a
fervojaj	fer'voj'a'j
fervojajn	fer'voj'a'j'n
fervojan	fer'voj'a'n
fervoje	fer'voj'e
fervojo	fer'voj'o
fervojoj	fer'voj'o'j
fervojojn	fer'voj'o'j'n
fervojon	fer'voj'o'n
fervojinfrastrukturo	fer'voj'infrastruktur'o
fervojista	fer'voj'ist'a
fervojistaj	fer'voj'ist'a'j
fervojisto	fer'voj'ist'o
fervojistoj	fer'voj'ist'o'j
fervojlinio	fer'voj'lini'o
fervojlinioj	fer'voj'lini'o'j
fervojoreto	fer'voj'o'ret'o
fervojosistemo	fer'voj'o'sistem'o
fervojosistemoj	fer'voj'o'sistem'o'j
fervojreto	fer'voj'ret'o
fervojsocietoj	fer'voj'societ'o'j
fervojstacio	fer'voj'staci'o
fervojveturiloj	fer'voj'vetur'il'o'j
ferdeko	ferdek'o
ferdekoj	ferdek'o'j
ferdekon	ferdek'o'n
ferdinando	ferdinand'o
ferdinandon	ferdinand'o'n
feria	feri'a
feriaj	feri'a'j
feriajn	feri'a'j'n
ferian	feri'a'n
ferias	feri'as
ferie	feri'e
ferii	feri'i
feriis	feri'is
ferio	feri'o
ferioj	feri'o'j
feriojn	feri'o'j'n
ferion	feri'o'n
ferios	feri'os
feriado	feri'ad'o
feriadon	feri'ad'o'n
feriantoj	feri'ant'o'j
feriejo	feri'ej'o
feriejoj	feri'ej'o'j
feritago	feri'tag'o
feritagoj	feri'tag'o'j
feritagon	feri'tag'o'n
ferma	ferm'a
fermaj	ferm'a'j
fermajn	ferm'a'j'n
ferman	ferm'a'n
fermas	ferm'as
fermi	ferm'i
fermis	ferm'is
fermo	ferm'o
fermon	ferm'o'n
fermos	ferm'os
fermu	ferm'u
fermus	ferm'us
fermado	ferm'ad'o
fermadon	ferm'ad'o'n
fermanta	ferm'ant'a
fermante	ferm'ant'e
fermanton	ferm'ant'o'n
fermata	ferm'at'a
fermataj	ferm'at'a'j
fermebla	ferm'ebl'a
fermiĝas	ferm'iĝ'as
fermiĝi	ferm'iĝ'i
fermiĝis	ferm'iĝ'is
fermiĝo	ferm'iĝ'o
fermiĝos	ferm'iĝ'os
fermiĝu	ferm'iĝ'u
fermilo	ferm'il'o
fermiloj	ferm'il'o'j
ferminta	ferm'int'a
ferminte	ferm'int'e
fermita	ferm'it'a
fermitaj	ferm'it'a'j
fermitajn	ferm'it'a'j'n
fermitan	ferm'it'a'n
fermite	ferm'it'e
fermitcikla	ferm'it'cikl'a
fermitcirkla	ferm'it'cirkl'a
fermiteco	ferm'it'ec'o
fermitejo	ferm'it'ej'o
fermata	fermat'a
fermataj	fermat'a'j
fermentas	ferment'as
fermenti	ferment'i
fermentis	ferment'is
fermento	ferment'o
fermentoj	ferment'o'j
fermentado	ferment'ad'o
fermentadon	ferment'ad'o'n
fermentigo	ferment'ig'o
fermentilo	ferment'il'o
fermentita	ferment'it'a
fermentitaj	ferment'it'a'j
ferminivelo	fermi'nivel'o
fermiono	fermion'o
fermionoj	fermion'o'j
fernando	fernand'o
feroa	fero'a
feroaj	fero'a'j
ferooj	fero'o'j
feroca	feroc'a
ferocaj	feroc'a'j
ferocajn	feroc'a'j'n
ferocan	feroc'a'n
feroce	feroc'e
feroco	feroc'o
feromonoj	feromon'o'j
feromonojn	feromon'o'j'n
fervora	fervor'a
fervoraj	fervor'a'j
fervorajn	fervor'a'j'n
fervoran	fervor'a'n
fervoras	fervor'as
fervore	fervor'e
fervoris	fervor'is
fervoro	fervor'o
fervoron	fervor'o'n
fervoreco	fervor'ec'o
fervorege	fervor'eg'e
fervorulo	fervor'ul'o
fervoruloj	fervor'ul'o'j
fervorulojn	fervor'ul'o'j'n
festa	fest'a
festaj	fest'a'j
festajn	fest'a'j'n
festan	fest'a'n
festas	fest'as
feste	fest'e
festi	fest'i
festis	fest'is
festo	fest'o
festoj	fest'o'j
festojn	fest'o'j'n
feston	fest'o'n
festos	fest'os
festu	fest'u
festus	fest'us
festado	fest'ad'o
festadoj	fest'ad'o'j
festadojn	fest'ad'o'j'n
festadon	fest'ad'o'n
festanta	fest'ant'a
festantaj	fest'ant'a'j
festante	fest'ant'e
festantoj	fest'ant'o'j
festata	fest'at'a
festataj	fest'at'a'j
festeto	fest'et'o
festetoj	fest'et'o'j
festeton	fest'et'o'n
festita	fest'it'a
festitaj	fest'it'a'j
festlibro	fest'libr'o
festotago	fest'o'tag'o
festotagoj	fest'o'tag'o'j
festotagojn	fest'o'tag'o'j'n
festotagon	fest'o'tag'o'n
festparolado	fest'parol'ad'o
festparoladon	fest'parol'ad'o'n
festenas	festen'as
festeni	festen'i
festenis	festen'is
festeno	festen'o
festenoj	festen'o'j
festenojn	festen'o'j'n
festenon	festen'o'n
festenado	festen'ad'o
festivala	festival'a
festivalo	festival'o
festivaloj	festival'o'j
festivalojn	festival'o'j'n
festivalon	festival'o'n
festivalejo	festival'ej'o
feta	fet'a
fetaj	fet'a'j
fetan	fet'a'n
feto	fet'o
fetoj	fet'o'j
feton	fet'o'n
fetiĉo	fetiĉ'o
fetiĉkulto	fetiĉ'kult'o
fetora	fetor'a
fetoraj	fetor'a'j
fetoran	fetor'a'n
fetoras	fetor'as
fetoris	fetor'is
fetoro	fetor'o
fetoron	fetor'o'n
feuda	feŭd'a
feŭda	feŭd'a
feŭdaj	feŭd'a'j
feŭdajn	feŭd'a'j'n
feŭdan	feŭd'a'n
feŭdo	feŭd'o
feŭdoj	feŭd'o'j
feŭdojn	feŭd'o'j'n
feŭdon	feŭd'o'n
feŭdisma	feŭd'ism'a
feŭdismaj	feŭd'ism'a'j
feŭdismo	feŭd'ism'o
feŭduloj	feŭd'ul'o'j
fi	fi
fia	fi'a
fiaj	fi'a'j
fiajn	fi'a'j'n
fian	fi'a'n
fie	fi'e
fiaĵo	fi'aĵ'o
fiaĵoj	fi'aĵ'o'j
fiaĵojn	fi'aĵ'o'j'n
fibestokontrolo	fi'best'o'kontrol'o
fieco	fi'ec'o
fiecon	fi'ec'o'n
fifama	fi'fam'a
fifamaj	fi'fam'a'j
fifaman	fi'fam'a'n
fifame	fi'fam'e
fifameco	fi'fam'ec'o
fifamecon	fi'fam'ec'o'n
fifaroj	fi'far'o'j
fiherbo	fi'herb'o
fiherboj	fi'herb'o'j
fiherbojn	fi'herb'o'j'n
fiherboforigo	fi'herb'o'for'ig'o
fiinsekto	fi'insekt'o
fiinsektoj	fi'insekt'o'j
fimalbenoj	fi'mal'ben'o'j
fiodoro	fi'odor'o
fisorĉistino	fi'sorĉ'ist'in'o
fitraktis	fi'trakt'is
fitrakto	fi'trakt'o
fitraktado	fi'trakt'ad'o
fitraktadoj	fi'trakt'ad'o'j
fitraktadojn	fi'trakt'ad'o'j'n
fitraktadon	fi'trakt'ad'o'n
fitraktita	fi'trakt'it'a
fitraktitaj	fi'trakt'it'a'j
fiulo	fi'ul'o
fiuloj	fi'ul'o'j
fiulojn	fi'ul'o'j'n
fiulon	fi'ul'o'n
fiulino	fi'ul'in'o
fivortoj	fi'vort'o'j
fivortojn	fi'vort'o'j'n
fiakro	fiakr'o
fiakron	fiakr'o'n
fianĉo	fianĉ'o
fianĉoj	fianĉ'o'j
fianĉon	fianĉ'o'n
fianĉigita	fianĉ'ig'it'a
fianĉiĝis	fianĉ'iĝ'is
fianĉiĝo	fianĉ'iĝ'o
fianĉiĝon	fianĉ'iĝ'o'n
fianĉina	fianĉ'in'a
fianĉino	fianĉ'in'o
fianĉinoj	fianĉ'in'o'j
fianĉinon	fianĉ'in'o'n
fianĉiniĝis	fianĉ'in'iĝ'is
fiaska	fiask'a
fiaskas	fiask'as
fiaske	fiask'e
fiaski	fiask'i
fiaskis	fiask'is
fiasko	fiask'o
fiaskoj	fiask'o'j
fiaskojn	fiask'o'j'n
fiaskon	fiask'o'n
fiaskos	fiask'os
fiaskus	fiask'us
fiaskigi	fiask'ig'i
fiaskinta	fiask'int'a
fiaskoreĝimoj	fiask'o'reĝim'o'j
fibolo	fibol'o
fiboloj	fibol'o'j
fibra	fibr'a
fibraj	fibr'a'j
fibran	fibr'a'n
fibro	fibr'o
fibroj	fibr'o'j
fibrojn	fibr'o'j'n
fibron	fibr'o'n
fibreca	fibr'ec'a
fibrecaj	fibr'ec'a'j
fibrolaseroj	fibr'o'laser'o'j
fibrooptikaj	fibr'o'optik'a'j
fibroidoj	fibr'oid'o'j
fibroptiko	fibr'optik'o
fibrozo	fibr'oz'o
fibulo	fibul'o
fida	fid'a
fidaj	fid'a'j
fidas	fid'as
fide	fid'e
fidi	fid'i
fidis	fid'is
fido	fid'o
fidoj	fid'o'j
fidon	fid'o'n
fidos	fid'os
fidu	fid'u
fidus	fid'us
fidado	fid'ad'o
fidanta	fid'ant'a
fidantaj	fid'ant'a'j
fidante	fid'ant'e
fidata	fid'at'a
fidema	fid'em'a
fidemaj	fid'em'a'j
fideme	fid'em'e
fidemo	fid'em'o
fidinda	fid'ind'a
fidindaj	fid'ind'a'j
fidindajn	fid'ind'a'j'n
fidindan	fid'ind'a'n
fidindas	fid'ind'as
fidinde	fid'ind'e
fidindeco	fid'ind'ec'o
fidindecon	fid'ind'ec'o'n
fidindecinĝenieristiko	fid'ind'ec'inĝenier'ist'ik'o
fidita	fid'it'a
fiditaj	fid'it'a'j
fidoplena	fid'o'plen'a
fidoreto	fid'o'ret'o
fideismo	fideism'o
fidela	fidel'a
fidelaj	fidel'a'j
fidelajn	fidel'a'j'n
fidelan	fidel'a'n
fidelas	fidel'as
fidele	fidel'e
fidelis	fidel'is
fidelo	fidel'o
fidelon	fidel'o'n
fideleco	fidel'ec'o
fidelecoj	fidel'ec'o'j
fidelecon	fidel'ec'o'n
fidelecoĵuron	fidel'ec'o'ĵur'o'n
fidelulo	fidel'ul'o
fideluloj	fidel'ul'o'j
fidelulojn	fidel'ul'o'j'n
fidelulon	fidel'ul'o'n
fiera	fier'a
fieraj	fier'a'j
fieran	fier'a'n
fieras	fier'as
fiere	fier'e
fieri	fier'i
fieris	fier'is
fiero	fier'o
fieron	fier'o'n
fieros	fier'os
fieru	fier'u
fierus	fier'us
fiereco	fier'ec'o
fierecon	fier'ec'o'n
fierega	fier'eg'a
fierigas	fier'ig'as
fierinda	fier'ind'a
figo	fig'o
figoj	fig'o'j
figojn	fig'o'j'n
figon	fig'o'n
figaro	fig'ar'o
figarbo	fig'arb'o
figarboj	fig'arb'o'j
figura	figur'a
figuraj	figur'a'j
figuran	figur'a'n
figuras	figur'as
figure	figur'e
figuris	figur'is
figuro	figur'o
figuroj	figur'o'j
figurojn	figur'o'j'n
figuron	figur'o'n
figurado	figur'ad'o
figuraĵo	figur'aĵ'o
figuraĵon	figur'aĵ'o'n
figureto	figur'et'o
figuretoj	figur'et'o'j
figuretojn	figur'et'o'j'n
figurita	figur'it'a
fiĝia	fiĝi'a
fiĝiaj	fiĝi'a'j
fiĝio	fiĝi'o
fiĝioj	fiĝi'o'j
fikas	fik'as
fiki	fik'i
fikis	fik'is
fiku	fik'u
fikado	fik'ad'o
fikcia	fikci'a
fikciaj	fikci'a'j
fikciajn	fikci'a'j'n
fikcian	fikci'a'n
fikcio	fikci'o
fikcioj	fikci'o'j
fikcion	fikci'o'n
fikciaĵoj	fikci'aĵ'o'j
fikciigita	fikci'ig'it'a
fikciulo	fikci'ul'o
fikciuloj	fikci'ul'o'j
fiksa	fiks'a
fiksaj	fiks'a'j
fiksajn	fiks'a'j'n
fiksan	fiks'a'n
fiksas	fiks'as
fikse	fiks'e
fiksi	fiks'i
fiksis	fiks'is
fikso	fiks'o
fiksoj	fiks'o'j
fikson	fiks'o'n
fiksos	fiks'os
fiksu	fiks'u
fiksado	fiks'ad'o
fiksadon	fiks'ad'o'n
fiksaĵo	fiks'aĵ'o
fiksaĵoj	fiks'aĵ'o'j
fiksaĵojn	fiks'aĵ'o'j'n
fiksanta	fiks'ant'a
fiksante	fiks'ant'e
fiksata	fiks'at'a
fiksataj	fiks'at'a'j
fiksaŭskultis	fiks'aŭskult'is
fiksiĝas	fiks'iĝ'as
fiksiĝi	fiks'iĝ'i
fiksiĝis	fiks'iĝ'is
fiksiĝinta	fiks'iĝ'int'a
fiksiĝintaj	fiks'iĝ'int'a'j
fiksinte	fiks'int'e
fiksita	fiks'it'a
fiksitaj	fiks'it'a'j
fiksitajn	fiks'it'a'j'n
fiksitan	fiks'it'a'n
fiksite	fiks'it'e
fikspunkto	fiks'punkt'o
fiksrigardas	fiks'rigard'as
fiksrigardi	fiks'rigard'i
fiksrigardis	fiks'rigard'is
fiksrigardante	fiks'rigard'ant'e
fiktiva	fiktiv'a
fila	fil'a
file	fil'e
filo	fil'o
filoj	fil'o'j
filojn	fil'o'j'n
filon	fil'o'n
fileto	fil'et'o
fileton	fil'et'o'n
filino	fil'in'o
filinoj	fil'in'o'j
filinojn	fil'in'o'j'n
filinon	fil'in'o'n
filineto	fil'in'et'o
filineton	fil'in'et'o'n
filinlingvoj	fil'in'lingv'o'j
filadelfia	filadelfi'a
filadelfio	filadelfi'o
filamento	filament'o
filamentoj	filament'o'j
filamentojn	filament'o'j'n
filamenton	filament'o'n
filantropo	filantrop'o
filantropoj	filantrop'o'j
filantropia	filantrop'i'a
filantropiaj	filantrop'i'a'j
filantropio	filantrop'i'o
filantropion	filantrop'i'o'n
filatela	filatel'a
filatelo	filatel'o
filatelisto	filatel'ist'o
filatelistoj	filatel'ist'o'j
fileo	file'o
filemono	filemon'o
filharmonia	filharmoni'a
filharmonio	filharmoni'o
filia	fili'a
filiaj	fili'a'j
filio	fili'o
filioj	fili'o'j
filiojn	fili'o'j'n
filion	fili'o'n
filiigita	fili'ig'it'a
filiigitaj	fili'ig'it'a'j
filiberto	filibert'o
filigrano	filigran'o
filiko	filik'o
filikoj	filik'o'j
filipo	filip'o
filipio	filipi'o
filipina	filipin'a
filipinaj	filipin'a'j
filipinajn	filipin'a'j'n
filipinan	filipin'a'n
filipino	filipin'o
filipinoj	filipin'o'j
filipinojn	filipin'o'j'n
filipinano	filipin'an'o
filipinanoj	filipin'an'o'j
filipinaninoj	filipin'an'in'o'j
filipinio	filipin'i'o
filipinion	filipin'i'o'n
filistra	filistr'a
filistro	filistr'o
filistroj	filistr'o'j
filiŝtoj	filiŝt'o'j
filma	film'a
filmaj	film'a'j
filmajn	film'a'j'n
filman	film'a'n
filmas	film'as
filme	film'e
filmi	film'i
filmis	film'is
filmo	film'o
filmoj	film'o'j
filmojn	film'o'j'n
filmon	film'o'n
filmado	film'ad'o
filmadon	film'ad'o'n
filmaĵo	film'aĵ'o
filmaĵon	film'aĵ'o'n
filmaktoro	film'aktor'o
filmante	film'ant'e
filmaro	film'ar'o
filmarto	film'art'o
filmejo	film'ej'o
filmeroj	film'er'o'j
filmeto	film'et'o
filmetoj	film'et'o'j
filmetojn	film'et'o'j'n
filmeton	film'et'o'n
filmfestivalo	film'festival'o
filmfestivaloj	film'festival'o'j
filmhistorio	film'histori'o
filmigo	film'ig'o
filmigon	film'ig'o'n
filmilo	film'il'o
filmilon	film'il'o'n
filmindustrio	film'industri'o
filmisto	film'ist'o
filmistoj	film'ist'o'j
filmita	film'it'a
filmitaj	film'it'a'j
filmkameraoj	film'kamera'o'j
filmkariero	film'karier'o
filmkritikistoj	film'kritik'ist'o'j
filmmuziko	film'muzik'o
filmoproduktado	film'o'produkt'ad'o
filmproduktado	film'produkt'ad'o
filmserio	film'seri'o
filmstelulo	film'stel'ul'o
filmstudioj	film'studi'o'j
filmversio	film'versi'o
filogenetika	filogenetik'a
filogenetikaj	filogenetik'a'j
filogenetikajn	filogenetik'a'j'n
filogenetiko	filogenetik'o
filogenio	filogeni'o
filologo	filolog'o
filologoj	filolog'o'j
filologia	filolog'i'a
filologiaj	filolog'i'a'j
filologian	filolog'i'a'n
filologio	filolog'i'o
filologion	filolog'i'o'n
filoskopo	filoskop'o
filoskopoj	filoskop'o'j
filozofa	filozof'a
filozofaj	filozof'a'j
filozofajn	filozof'a'j'n
filozofi	filozof'i
filozofo	filozof'o
filozofoj	filozof'o'j
filozofojn	filozof'o'j'n
filozofon	filozof'o'n
filozofia	filozof'i'a
filozofiaj	filozof'i'a'j
filozofiajn	filozof'i'a'j'n
filozofian	filozof'i'a'n
filozofie	filozof'i'e
filozofii	filozof'i'i
filozofio	filozof'i'o
filozofioj	filozof'i'o'j
filozofiojn	filozof'i'o'j'n
filozofion	filozof'i'o'n
filozofiado	filozof'i'ad'o
filtras	filtr'as
filtri	filtr'i
filtris	filtr'is
filtrado	filtr'ad'o
filtradon	filtr'ad'o'n
filtranta	filtr'ant'a
filtrante	filtr'ant'e
filtrilo	filtr'il'o
filtriloj	filtr'il'o'j
filtrilojn	filtr'il'o'j'n
filtrilon	filtr'il'o'n
filtrita	filtr'it'a
filtritaj	filtr'it'a'j
filumo	filum'o
filumoj	filum'o'j
fina	fin'a
finaj	fin'a'j
finajn	fin'a'j'n
finan	fin'a'n
finas	fin'as
fine	fin'e
fini	fin'i
finis	fin'is
fino	fin'o
finoj	fin'o'j
finojn	fin'o'j'n
finon	fin'o'n
finos	fin'os
finu	fin'u
finus	fin'us
finado	fin'ad'o
finajho	fin'aĵ'o
finaĵo	fin'aĵ'o
finaĵoj	fin'aĵ'o'j
finaĵojn	fin'aĵ'o'j'n
finaĵon	fin'aĵ'o'n
finakto	fin'akt'o
finanta	fin'ant'a
finantaj	fin'ant'a'j
finantan	fin'ant'a'n
finante	fin'ant'e
finbatalo	fin'batal'o
finbrulis	fin'brul'is
fincelo	fin'cel'o
findecidi	fin'decid'i
finfari	fin'far'i
finfaris	fin'far'is
finfaros	fin'far'os
finfarita	fin'far'it'a
finfina	fin'fin'a
finfinaj	fin'fin'a'j
finfinan	fin'fin'a'n
finfine	fin'fin'e
fingrado	fin'grad'o
fingradoj	fin'grad'o'j
finhaltejo	fin'halt'ej'o
finhava	fin'hav'a
finhavaj	fin'hav'a'j
finhavajn	fin'hav'a'j'n
finhavan	fin'hav'a'n
finhave	fin'hav'e
finigas	fin'ig'as
finigi	fin'ig'i
finigis	fin'ig'is
finigo	fin'ig'o
finiĝas	fin'iĝ'as
finiĝi	fin'iĝ'i
finiĝis	fin'iĝ'is
finigho	fin'iĝ'o
finiĝo	fin'iĝ'o
finiĝoj	fin'iĝ'o'j
finiĝon	fin'iĝ'o'n
finiĝos	fin'iĝ'os
finiĝu	fin'iĝ'u
finiĝus	fin'iĝ'us
finiĝado	fin'iĝ'ad'o
finiĝanta	fin'iĝ'ant'a
finiĝantaj	fin'iĝ'ant'a'j
finiĝantajn	fin'iĝ'ant'a'j'n
finiĝantan	fin'iĝ'ant'a'n
finiĝante	fin'iĝ'ant'e
finiĝinta	fin'iĝ'int'a
finiĝonta	fin'iĝ'ont'a
fininta	fin'int'a
finintaj	fin'int'a'j
fininte	fin'int'e
finita	fin'it'a
finitaj	fin'it'a'j
finitajn	fin'it'a'j'n
finitan	fin'it'a'n
finite	fin'it'e
finiteco	fin'it'ec'o
finkalkulo	fin'kalkul'o
finkonstrui	fin'konstru'i
finkonstruis	fin'konstru'is
finkonstruo	fin'konstru'o
finkonstruiĝis	fin'konstru'iĝ'is
finkonstruita	fin'konstru'it'a
finkonstruitaj	fin'konstru'it'a'j
finlegi	fin'leg'i
finlegis	fin'leg'is
finleginta	fin'leg'int'a
finleginte	fin'leg'int'e
finlernis	fin'lern'is
finmanĝi	fin'manĝ'i
finmanĝis	fin'manĝ'is
finmezepoko	fin'mez'epok'o
finofara	fin'o'far'a
finonta	fin'ont'a
finparolis	fin'parol'is
finpoluro	fin'polur'o
finpoluroj	fin'polur'o'j
finpolurojn	fin'polur'o'j'n
finpoluron	fin'polur'o'n
finpretigi	fin'pret'ig'i
finpretigis	fin'pret'ig'is
finpretigo	fin'pret'ig'o
finpretigita	fin'pret'ig'it'a
finprodukto	fin'produkt'o
finproduktoj	fin'produkt'o'j
finpunkto	fin'punkt'o
finpunktoj	fin'punkt'o'j
finpunkton	fin'punkt'o'n
finredakti	fin'redakt'i
finrezulto	fin'rezult'o
finrezultoj	fin'rezult'o'j
finrezulton	fin'rezult'o'n
finskribis	fin'skrib'is
finsomero	fin'somer'o
finstacio	fin'staci'o
finstacioj	fin'staci'o'j
finstacion	fin'staci'o'n
finstudis	fin'stud'is
finstudinta	fin'stud'int'a
fintrinkis	fin'trink'is
finuzanto	fin'uz'ant'o
finuzantoj	fin'uz'ant'o'j
finvenkisma	fin'venk'ism'a
finvenkismaj	fin'venk'ism'a'j
finvenkismo	fin'venk'ism'o
finvenkismon	fin'venk'ism'o'n
finvenkismoraŭmismo	fin'venk'ism'o'raŭm'ism'o
finvenkisto	fin'venk'ist'o
finvenkistoj	fin'venk'ist'o'j
finverkis	fin'verk'is
finala	final'a
finalo	final'o
finaloj	final'o'j
finalon	final'o'n
finalistoj	final'ist'o'j
finalistinon	final'ist'in'o'n
financa	financ'a
financaj	financ'a'j
financajn	financ'a'j'n
financan	financ'a'n
financas	financ'as
finance	financ'e
financi	financ'i
financis	financ'is
financo	financ'o
financoj	financ'o'j
financojn	financ'o'j'n
financon	financ'o'n
financos	financ'os
financado	financ'ad'o
financadon	financ'ad'o'n
financanta	financ'ant'a
financante	financ'ant'e
financantoj	financ'ant'o'j
financata	financ'at'a
financataj	financ'at'a'j
financejo	financ'ej'o
financejoj	financ'ej'o'j
financisto	financ'ist'o
financistoj	financ'ist'o'j
financita	financ'it'a
financitaj	financ'it'a'j
financkrizo	financ'kriz'o
financministerio	financ'ministeri'o
financministro	financ'ministr'o
financpolitiko	financ'politik'o
fingre	fingr'e
fingro	fingr'o
fingroj	fingr'o'j
fingrojn	fingr'o'j'n
fingron	fingr'o'n
fingreto	fingr'et'o
fingretoj	fingr'et'o'j
fingrolingvo	fingr'o'lingv'o
fingromontris	fingr'o'montr'is
fingropintoj	fingr'o'pint'o'j
fingropintojn	fingr'o'pint'o'j'n
fingroringon	fingr'o'ring'o'n
fingrospuro	fingr'o'spur'o
fingrospuroj	fingr'o'spur'o'j
fingrospurojn	fingr'o'spur'o'j'n
fingrotabulo	fingr'o'tabul'o
fingrotruoj	fingr'o'tru'o'j
fingrumas	fingr'um'as
fingrumi	fingr'um'i
fingrumis	fingr'um'is
fingrumado	fingr'um'ad'o
finia	fini'a
finiaj	fini'a'j
finian	fini'a'n
finlando	finland'o
finna	finn'a
finnaj	finn'a'j
finnan	finn'a'n
finne	finn'e
finno	finn'o
finnoj	finn'o'j
finnojn	finn'o'j'n
finnlanda	finn'land'a
finnlandaj	finn'land'a'j
finnlando	finn'land'o
finnlandon	finn'land'o'n
finnlingva	finn'lingv'a
finnujo	finn'uj'o
fiolo	fiol'o
firma	firm'a
firmaj	firm'a'j
firmajn	firm'a'j'n
firman	firm'a'n
firme	firm'e
firmo	firm'o
firmoj	firm'o'j
firmaĵo	firm'aĵ'o
firmanima	firm'anim'a
firmaniman	firm'anim'a'n
firmeco	firm'ec'o
firmecon	firm'ec'o'n
firmega	firm'eg'a
firmege	firm'eg'e
firmigas	firm'ig'as
firmigi	firm'ig'i
firmigis	firm'ig'is
firmigo	firm'ig'o
firmigita	firm'ig'it'a
firmigitaj	firm'ig'it'a'j
firmiĝas	firm'iĝ'as
firmiĝi	firm'iĝ'i
firmiĝis	firm'iĝ'is
firmiĝo	firm'iĝ'o
firmiĝon	firm'iĝ'o'n
firmligita	firm'lig'it'a
firmvaro	firm'var'o
firmvaron	firm'var'o'n
firmvola	firm'vol'a
firmaa	firma'a
firmaaj	firma'a'j
firmao	firma'o
firmaoj	firma'o'j
firmaojn	firma'o'j'n
firmaon	firma'o'n
firmamento	firmament'o
firmamenton	firmament'o'n
firsto	first'o
fisio	fisi'o
fision	fisi'o'n
fisiobombo	fisi'o'bomb'o
fisiproduktoj	fisi'produkt'o'j
fiska	fisk'a
fiskaj	fisk'a'j
fiskajn	fisk'a'j'n
fiskan	fisk'a'n
fisko	fisk'o
fiskon	fisk'o'n
fistulo	fistul'o
fiŝa	fiŝ'a
fiŝaj	fiŝ'a'j
fiŝan	fiŝ'a'n
fiŝas	fiŝ'as
fiŝi	fiŝ'i
fiŝo	fiŝ'o
fiŝoj	fiŝ'o'j
fiŝojn	fiŝ'o'j'n
fiŝon	fiŝ'o'n
fiŝado	fiŝ'ad'o
fiŝaglo	fiŝ'agl'o
fiŝaĵo	fiŝ'aĵ'o
fiŝaĵoj	fiŝ'aĵ'o'j
fiŝaĵon	fiŝ'aĵ'o'n
fiŝaro	fiŝ'ar'o
fiŝaroj	fiŝ'ar'o'j
fiŝbredado	fiŝ'bred'ad'o
fiŝetoj	fiŝ'et'o'j
fiŝetojn	fiŝ'et'o'j'n
fiŝfarmo	fiŝ'farm'o
fiŝfarmoj	fiŝ'farm'o'j
fiŝfarmojn	fiŝ'farm'o'j'n
fiŝhokis	fiŝ'hok'is
fiŝhokoj	fiŝ'hok'o'j
fiŝhokado	fiŝ'hok'ad'o
fiŝidaro	fiŝ'id'ar'o
fiŝista	fiŝ'ist'a
fiŝistaj	fiŝ'ist'a'j
fiŝistan	fiŝ'ist'a'n
fiŝisto	fiŝ'ist'o
