vada	vad'a
venado	ven'ad'o
venanta	ven'ant'a
venantaj	ven'ant'a'j
venantajn	ven'ant'a'j'n
venantan	ven'ant'a'n
venante	ven'ant'e
venigas	ven'ig'as
venigi	ven'ig'i
venigis	ven'ig'is
venigos	ven'ig'os
venigu	ven'ig'u
venigus	ven'ig'us
venigita	ven'ig'it'a
veninta	ven'int'a
venintaj	ven'int'a'j
venintajn	ven'int'a'j'n
venintan	ven'int'a'n
veninte	ven'int'e
veninto	ven'int'o
venintoj	ven'int'o'j
venintojn	ven'int'o'j'n
venintus	ven'int'us
venita	ven'it'a
venitaj	ven'it'a'j
venite	ven'it'e
venonta	ven'ont'a
venontaj	ven'ont'a'j
venontajn	ven'ont'a'j'n
venontan	ven'ont'a'n
venonte	ven'ont'e
venontajare	ven'ont'a'jar'e
venontece	ven'ont'ec'e
venonteco	ven'ont'ec'o
venontfoje	ven'ont'foj'e
venontgeneracia	ven'ont'generaci'a
venontjara	ven'ont'jar'a
venontjaraj	ven'ont'jar'a'j
venontjaran	ven'ont'jar'a'n
venontjare	ven'ont'jar'e
venontmonate	ven'ont'monat'e
venontsemajne	ven'ont'semajn'e
venontsomere	ven'ont'somer'e
venda	vend'a
vendas	vend'as
vendi	vend'i
vendis	vend'is
vendo	vend'o
vendoj	vend'o'j
vendojn	vend'o'j'n
vendon	vend'o'n
vendos	vend'os
vendu	vend'u
vendus	vend'us
vendadis	vend'ad'is
vendado	vend'ad'o
vendadon	vend'ad'o'n
vendanta	vend'ant'a
vendantaj	vend'ant'a'j
vendante	vend'ant'e
vendanto	vend'ant'o
vendantoj	vend'ant'o'j
vendata	vend'at'a
vendataj	vend'at'a'j
vendatas	vend'at'as
vendebla	vend'ebl'a
vendeblaj	vend'ebl'a'j
vendeblajn	vend'ebl'a'j'n
vendeblas	vend'ebl'as
vendeja	vend'ej'a
vendejaj	vend'ej'a'j
vendejo	vend'ej'o
vendejoj	vend'ej'o'j
vendejojn	vend'ej'o'j'n
vendejon	vend'ej'o'n
vendejaro	vend'ej'ar'o
vendejego	vend'ej'eg'o
vendiĝas	vend'iĝ'as
vendiĝi	vend'iĝ'i
vendiĝis	vend'iĝ'is
vendiĝos	vend'iĝ'os
vendiloj	vend'il'o'j
vendinta	vend'int'a
vendinte	vend'int'e
vendisto	vend'ist'o
vendistoj	vend'ist'o'j
vendistojn	vend'ist'o'j'n
vendiston	vend'ist'o'n
vendistino	vend'ist'in'o
vendistinoj	vend'ist'in'o'j
vendistinon	vend'ist'in'o'n
vendita	vend'it'a
venditaj	vend'it'a'j
venditajn	vend'it'a'j'n
vendite	vend'it'e
vendoplaco	vend'o'plac'o
vendoprezo	vend'o'prez'o
vendotablo	vend'o'tabl'o
vendotablon	vend'o'tabl'o'n
vendota	vend'ot'a
vendotaj	vend'ot'a'j
vendreda	vendred'a
vendredan	vendred'a'n
vendrede	vendred'e
vendredo	vendred'o
vendredoj	vendred'o'j
vendredon	vendred'o'n
venecia	veneci'a
veneciaj	veneci'a'j
venecian	veneci'a'n
venecio	veneci'o
venecion	veneci'o'n
veneciano	veneci'an'o
venecianoj	veneci'an'o'j
venena	venen'a
venenaj	venen'a'j
venenajn	venen'a'j'n
venenan	venen'a'n
venenas	venen'as
veneni	venen'i
venenis	venen'is
veneno	venen'o
venenoj	venen'o'j
venenojn	venen'o'j'n
venenon	venen'o'n
venenos	venen'os
venenado	venen'ad'o
veneneco	venen'ec'o
venenigas	venen'ig'as
venenigi	venen'ig'i
venenigis	venen'ig'is
venenigo	venen'ig'o
venenigita	venen'ig'it'a
venenigitan	venen'ig'it'a'n
veneniĝo	venen'iĝ'o
veneniĝon	venen'iĝ'o'n
venenita	venen'it'a
venenitaj	venen'it'a'j
venera	vener'a
venero	vener'o
venereaj	venere'a'j
veneto	venet'o
venezuela	venezuel'a
venezuelaj	venezuel'a'j
venezuelo	venezuel'o
venezuelon	venezuel'o'n
venezuelanoj	venezuel'an'o'j
venĝa	venĝ'a
venĝaj	venĝ'a'j
venĝas	venĝ'as
venĝe	venĝ'e
venĝi	venĝ'i
venĝis	venĝ'is
venĝo	venĝ'o
venĝoj	venĝ'o'j
venĝon	venĝ'o'n
venĝos	venĝ'os
venĝu	venĝ'u
venĝantoj	venĝ'ant'o'j
venĝema	venĝ'em'a
venĝeme	venĝ'em'e
venĝemo	venĝ'em'o
venĝemon	venĝ'em'o'n
venka	venk'a
venkaj	venk'a'j
venkajn	venk'a'j'n
venkan	venk'a'n
venkas	venk'as
venke	venk'e
venki	venk'i
venkis	venk'is
venko	venk'o
venkoj	venk'o'j
venkojn	venk'o'j'n
venkon	venk'o'n
venkos	venk'os
venku	venk'u
venkus	venk'us
venkado	venk'ad'o
venkanta	venk'ant'a
venkantaj	venk'ant'a'j
venkante	venk'ant'e
venkanto	venk'ant'o
venkantoj	venk'ant'o'j
venkata	venk'at'a
venkebla	venk'ebl'a
venkigi	venk'ig'i
venkiĝas	venk'iĝ'as
venkiĝis	venk'iĝ'is
venkinta	venk'int'a
venkintaj	venk'int'a'j
venkinte	venk'int'e
venkinto	venk'int'o
venkintoj	venk'int'o'j
venkintojn	venk'int'o'j'n
venkinton	venk'int'o'n
venkita	venk'it'a
venkitaj	venk'it'a'j
venkitajn	venk'it'a'j'n
venkitan	venk'it'a'n
venkite	venk'it'e
venkito	venk'it'o
venkitoj	venk'it'o'j
venta	vent'a
ventaj	vent'a'j
ventan	vent'a'n
ventas	vent'as
vente	vent'e
ventis	vent'is
vento	vent'o
ventoj	vent'o'j
ventojn	vent'o'j'n
venton	vent'o'n
ventbatoj	vent'bat'o'j
ventega	vent'eg'a
ventego	vent'eg'o
ventegoj	vent'eg'o'j
ventegon	vent'eg'o'n
venteto	vent'et'o
venteton	vent'et'o'n
ventflanko	vent'flank'o
ventkondiĉoj	vent'kondiĉ'o'j
ventoblovo	vent'o'blov'o
ventodirekto	vent'o'direkt'o
ventoenergio	vent'o'energi'o
ventoenergion	vent'o'energi'o'n
ventomuelejo	vent'o'muel'ej'o
ventomuelejoj	vent'o'muel'ej'o'j
ventoturbinoj	vent'o'turbin'o'j
ventoturbinaro	vent'o'turbin'ar'o
ventoturbinaroj	vent'o'turbin'ar'o'j
ventrapideco	vent'rapid'ec'o
ventrapidecoj	vent'rapid'ec'o'j
ventumis	vent'um'is
ventumilo	vent'um'il'o
ventumiloj	vent'um'il'o'j
ventumilojn	vent'um'il'o'j'n
ventumilon	vent'um'il'o'n
ventoli	ventol'i
ventolado	ventol'ad'o
ventoladon	ventol'ad'o'n
ventolilo	ventol'il'o
ventolilon	ventol'il'o'n
ventra	ventr'a
ventraj	ventr'a'j
ventran	ventr'a'n
ventre	ventr'e
ventro	ventr'o
ventroj	ventr'o'j
ventron	ventr'o'n
ventrodoloron	ventr'o'dolor'o'n
ventromuskoloj	ventr'o'muskol'o'j
ventroparolisto	ventr'o'parol'ist'o
ventrikla	ventrikl'a
ventriklo	ventrikl'o
ventrikloj	ventrikl'o'j
venusa	venus'a
venuso	venus'o
venuson	venus'o'n
venusrenkonta	venus'renkont'a
vepro	vepr'o
veproj	vepr'o'j
veprejo	vepr'ej'o
veprejoj	vepr'ej'o'j
vera	ver'a
veraj	ver'a'j
verajn	ver'a'j'n
veran	ver'a'n
veras	ver'as
vere	ver'e
veris	ver'is
vero	ver'o
veroj	ver'o'j
verojn	ver'o'j'n
veron	ver'o'n
veraĵo	ver'aĵ'o
veraĵoj	ver'aĵ'o'j
veraĵojn	ver'aĵ'o'j'n
veraĵon	ver'aĵ'o'n
verama	ver'am'a
verdira	ver'dir'a
verdire	ver'dir'e
vereco	ver'ec'o
verecoj	ver'ec'o'j
verecon	ver'ec'o'n
verema	ver'em'a
veremaj	ver'em'a'j
veremo	ver'em'o
verigi	ver'ig'i
vernoma	ver'nom'a
verŝajna	ver'ŝajn'a
verŝajnaj	ver'ŝajn'a'j
verŝajnajn	ver'ŝajn'a'j'n
verŝajnan	ver'ŝajn'a'n
verŝajnas	ver'ŝajn'as
verŝajne	ver'ŝajn'e
verŝajno	ver'ŝajn'o
verŝajneca	ver'ŝajn'ec'a
verŝajneco	ver'ŝajn'ec'o
verŝajnecoj	ver'ŝajn'ec'o'j
verŝajnecojn	ver'ŝajn'ec'o'j'n
verŝajnecon	ver'ŝajn'ec'o'n
versimila	ver'simil'a
versimilaj	ver'simil'a'j
versimilajn	ver'simil'a'j'n
versimile	ver'simil'e
verando	verand'o
verandoj	verand'o'j
verandon	verand'o'n
verba	verb'a
verbaj	verb'a'j
verbajn	verb'a'j'n
verban	verb'a'n
verbe	verb'e
verbo	verb'o
verboj	verb'o'j
verbojn	verb'o'j'n
verbon	verb'o'n
verbformo	verb'form'o
verbformoj	verb'form'o'j
verbigi	verb'ig'i
verboformo	verb'o'form'o
verboformoj	verb'o'form'o'j
verboformojn	verb'o'form'o'j'n
verboformon	verb'o'form'o'n
verbofrazo	verb'o'fraz'o
verbofrazoj	verb'o'fraz'o'j
verbradikoj	verb'radik'o'j
verbtigo	verb'tig'o
verda	verd'a
verdaj	verd'a'j
verdajn	verd'a'j'n
verdan	verd'a'n
verdas	verd'as
verde	verd'e
verdi	verd'i
verdis	verd'is
verdo	verd'o
verdoj	verd'o'j
verdon	verd'o'n
verdaĵo	verd'aĵ'o
verdaĵoj	verd'aĵ'o'j
verdaĵojn	verd'aĵ'o'j'n
verdaĵon	verd'aĵ'o'n
verdanoj	verd'an'o'j
verdeca	verd'ec'a
verdecaj	verd'ec'a'j
verdecajn	verd'ec'a'j'n
verdece	verd'ec'e
verdeco	verd'ec'o
verdejo	verd'ej'o
verdejoj	verd'ej'o'j
verdeskaj	verd'esk'a'j
verdeta	verd'et'a
verdetaj	verd'et'a'j
verdetan	verd'et'a'n
verdglacioj	verd'glaci'o'j
verdglaciojn	verd'glaci'o'j'n
verdigi	verd'ig'i
verdigo	verd'ig'o
verdiĝas	verd'iĝ'as
verdiĝis	verd'iĝ'is
verdkolora	verd'kolor'a
verdstelanoj	verd'stel'an'o'j
verdula	verd'ul'a
verdulo	verd'ul'o
verduloj	verd'ul'o'j
verdiktas	verdikt'as
verdikti	verdikt'i
verdiktis	verdikt'is
verdikto	verdikt'o
verdiktoj	verdikt'o'j
verdiktojn	verdikt'o'j'n
verdikton	verdikt'o'n
verdiktos	verdikt'os
verduno	verdun'o
vergo	verg'o
vergoj	verg'o'j
vergojn	verg'o'j'n
vergon	verg'o'n
vergara	verg'ar'a
vergeto	verg'et'o
vergilio	vergili'o
verka	verk'a
verkas	verk'as
verke	verk'e
verki	verk'i
verkis	verk'is
verko	verk'o
verkoj	verk'o'j
verkojn	verk'o'j'n
verkon	verk'o'n
verkos	verk'os
verku	verk'u
verkus	verk'us
verkadis	verk'ad'is
verkado	verk'ad'o
verkadoj	verk'ad'o'j
verkadon	verk'ad'o'n
verkaĵo	verk'aĵ'o
verkaĵoj	verk'aĵ'o'j
verkaĵojn	verk'aĵ'o'j'n
verkaĵon	verk'aĵ'o'n
verkanta	verk'ant'a
verkante	verk'ant'e
verkanto	verk'ant'o
verkantoj	verk'ant'o'j
verkaro	verk'ar'o
verkaron	verk'ar'o'n
verkata	verk'at'a
verkataj	verk'at'a'j
verketo	verk'et'o
verketoj	verk'et'o'j
verketojn	verk'et'o'j'n
verketon	verk'et'o'n
verkiĝis	verk'iĝ'is
verkinta	verk'int'a
verkinte	verk'int'e
verkinto	verk'int'o
verkintoj	verk'int'o'j
verkintojn	verk'int'o'j'n
verkinton	verk'int'o'n
verkista	verk'ist'a
verkistan	verk'ist'a'n
verkisto	verk'ist'o
verkistoj	verk'ist'o'j
verkistojn	verk'ist'o'j'n
verkiston	verk'ist'o'n
verkistino	verk'ist'in'o
verkistinoj	verk'ist'in'o'j
verkita	verk'it'a
verkitaj	verk'it'a'j
verkitajn	verk'it'a'j'n
verkitan	verk'it'a'n
vermo	verm'o
vermoj	verm'o'j
vermojn	verm'o'j'n
vermon	verm'o'n
vermtruo	verm'tru'o
vermiĉelo	vermiĉel'o
vermiĉeloj	vermiĉel'o'j
vermiĉelojn	vermiĉel'o'j'n
vermlando	vermland'o
vermonto	vermont'o
verniso	vernis'o
vernisoj	vernis'o'j
verona	veron'a
verono	veron'o
veronika	veronik'a
veroniko	veronik'o
versa	vers'a
versaj	vers'a'j
versas	vers'as
verse	vers'e
versi	vers'i
versis	vers'is
verso	vers'o
versoj	vers'o'j
versojn	vers'o'j'n
verson	vers'o'n
versaĵo	vers'aĵ'o
versaĵoj	vers'aĵ'o'j
versaĵojn	vers'aĵ'o'j'n
versaĵon	vers'aĵ'o'n
versfarado	vers'far'ad'o
versparo	vers'par'o
verŝas	verŝ'as
verŝi	verŝ'i
verŝis	verŝ'is
verŝos	verŝ'os
verŝu	verŝ'u
verŝado	verŝ'ad'o
verŝante	verŝ'ant'e
verŝata	verŝ'at'a
verŝiĝas	verŝ'iĝ'as
verŝiĝis	verŝ'iĝ'is
verŝita	verŝ'it'a
verŝitaj	verŝ'it'a'j
verŝitan	verŝ'it'a'n
verŝotablo	verŝ'o'tabl'o
versajlo	versajl'o
versio	versi'o
versioj	versi'o'j
versiojn	versi'o'j'n
version	versi'o'n
verstoj	verst'o'j
verto	vert'o
verton	vert'o'n
vertoĉapo	vert'o'ĉap'o
vertebra	vertebr'a
vertebro	vertebr'o
vertebroj	vertebr'o'j
vertebrojn	vertebr'o'j'n
vertebraro	vertebr'ar'o
vertebrulo	vertebr'ul'o
vertebruloj	vertebr'ul'o'j
vertebrulojn	vertebr'ul'o'j'n
vertica	vertic'a
vertico	vertic'o
verticoj	vertic'o'j
verticojn	vertic'o'j'n
verticon	vertic'o'n
verticilo	verticil'o
vertiĝo	vertiĝ'o
vertiĝojn	vertiĝ'o'j'n
vertiĝon	vertiĝ'o'n
vertikala	vertikal'a
vertikalaj	vertikal'a'j
vertikalajn	vertikal'a'j'n
vertikalan	vertikal'a'n
vertikale	vertikal'e
vertikalo	vertikal'o
vertikalon	vertikal'o'n
verukoj	veruk'o'j
verva	verv'a
vervaj	verv'a'j
vervan	verv'a'n
verve	verv'e
vervo	verv'o
vervon	verv'o'n
vespo	vesp'o
vespoj	vesp'o'j
vespojn	vesp'o'j'n
vespera	vesper'a
vesperaj	vesper'a'j
vesperajn	vesper'a'j'n
vesperan	vesper'a'n
vesperas	vesper'as
vespere	vesper'e
vespero	vesper'o
vesperoj	vesper'o'j
vesperojn	vesper'o'j'n
vesperon	vesper'o'n
vesperfesto	vesper'fest'o
vesperiĝas	vesper'iĝ'as
vesperiĝis	vesper'iĝ'is
vesperiĝo	vesper'iĝ'o
vesperkrepusko	vesper'krepusk'o
vespermanĝa	vesper'manĝ'a
vespermanĝas	vesper'manĝ'as
vespermanĝi	vesper'manĝ'i
vespermanĝis	vesper'manĝ'is
vespermangho	vesper'manĝ'o
vespermanĝo	vesper'manĝ'o
vespermanĝoj	vesper'manĝ'o'j
vespermanĝojn	vesper'manĝ'o'j'n
vespermanĝon	vesper'manĝ'o'n
vespermanĝos	vesper'manĝ'os
vespermanĝu	vesper'manĝ'u
vesperruĝo	vesper'ruĝ'o
vesperuloj	vesper'ul'o'j
vesperto	vespert'o
vespertoj	vespert'o'j
vespertojn	vespert'o'j'n
vesperton	vespert'o'n
vesproj	vespr'o'j
vesta	vest'a
vestaj	vest'a'j
vestas	vest'as
vesti	vest'i
vestis	vest'is
vesto	vest'o
vestoj	vest'o'j
vestojn	vest'o'j'n
veston	vest'o'n
vestos	vest'os
vestu	vest'u
vestado	vest'ad'o
vestajho	vest'aĵ'o
vestaĵo	vest'aĵ'o
vestaĵoj	vest'aĵ'o'j
vestaĵojn	vest'aĵ'o'j'n
vestaĵon	vest'aĵ'o'n
vestaĵindustrio	vest'aĵ'industri'o
vestanta	vest'ant'a
vestante	vest'ant'e
vestaro	vest'ar'o
vestaron	vest'ar'o'n
vestata	vest'at'a
vestejo	vest'ej'o
vestiĝas	vest'iĝ'as
vestiĝi	vest'iĝ'i
vestiĝis	vest'iĝ'is
vestinte	vest'int'e
vestita	vest'it'a
vestitaj	vest'it'a'j
vestitajn	vest'it'a'j'n
vestitan	vest'it'a'n
vestite	vest'it'e
vestmaniero	vest'manier'o
vestokompleto	vest'o'komplet'o
vestokompletoj	vest'o'komplet'o'j
vestokompletojn	vest'o'komplet'o'j'n
vestokompleton	vest'o'komplet'o'n
vestoŝranko	vest'o'ŝrank'o
vestregularo	vest'regul'ar'o
veŝto	veŝt'o
veŝtoj	veŝt'o'j
veŝton	veŝt'o'n
vestalo	vestal'o
vestaloj	vestal'o'j
vestfalia	vestfali'a
vestfalio	vestfali'o
vestiblo	vestibl'o
vestibloj	vestibl'o'j
vestiblon	vestibl'o'n
vetas	vet'as
vete	vet'e
veti	vet'i
vetis	vet'is
veto	vet'o
vetoj	vet'o'j
vetojn	vet'o'j'n
veton	vet'o'n
vetos	vet'os
vetu	vet'u
vetus	vet'us
vetado	vet'ad'o
vetarmado	vet'arm'ad'o
vetarmadon	vet'arm'ad'o'n
vetkura	vet'kur'a
vetkuris	vet'kur'is
vetkuro	vet'kur'o
vetkuroj	vet'kur'o'j
vetkurojn	vet'kur'o'j'n
vetkuron	vet'kur'o'n
vetkurado	vet'kur'ad'o
vetludi	vet'lud'i
vetludis	vet'lud'is
vetludo	vet'lud'o
vetludon	vet'lud'o'n
vetludado	vet'lud'ad'o
vetera	veter'a
veteraj	veter'a'j
vetero	veter'o
veteroj	veter'o'j
veteron	veter'o'n
veteraĉo	veter'aĉ'o
veteraĝado	veter'aĝ'ad'o
veteraĝintaj	veter'aĝ'int'a'j
vetercirkonstancoj	veter'cirkonstanc'o'j
vetercirkonstancojn	veter'cirkonstanc'o'j'n
veterdisfalo	veter'dis'fal'o
veterkondiĉoj	veter'kondiĉ'o'j
veterokazaĵoj	veter'okaz'aĵ'o'j
veterprognozo	veter'prognoz'o
veterprognozoj	veter'prognoz'o'j
vetersistemoj	veter'sistem'o'j
veterana	veteran'a
veteranaj	veteran'a'j
veterano	veteran'o
veteranoj	veteran'o'j
veteranojn	veteran'o'j'n
veterinara	veterinar'a
veterinaraj	veterinar'a'j
veterinaran	veterinar'a'n
veterinaro	veterinar'o
vetoi	veto'i
vetois	veto'is
vetoo	veto'o
vetoon	veto'o'n
vetoita	veto'it'a
veturas	vetur'as
veturi	vetur'i
veturis	vetur'is
veturo	vetur'o
veturoj	vetur'o'j
veturojn	vetur'o'j'n
veturon	vetur'o'n
veturos	vetur'os
veturu	vetur'u
veturus	vetur'us
veturadas	vetur'ad'as
veturadis	vetur'ad'is
veturado	vetur'ad'o
veturadoj	vetur'ad'o'j
veturadojn	vetur'ad'o'j'n
veturadon	vetur'ad'o'n
veturadotrajno	vetur'ad'o'trajn'o
veturanta	vetur'ant'a
veturantaj	vetur'ant'a'j
veturantajn	vetur'ant'a'j'n
veturantan	vetur'ant'a'n
veturante	vetur'ant'e
veturanto	vetur'ant'o
veturantoj	vetur'ant'o'j
veturantojn	vetur'ant'o'j'n
veturebla	vetur'ebl'a
veturejo	vetur'ej'o
veturigas	vetur'ig'as
veturigi	vetur'ig'i
veturigis	vetur'ig'is
veturigo	vetur'ig'o
veturigos	vetur'ig'os
veturigu	vetur'ig'u
veturigata	vetur'ig'at'a
veturigisto	vetur'ig'ist'o
veturigistoj	vetur'ig'ist'o'j
veturigiston	vetur'ig'ist'o'n
veturigita	vetur'ig'it'a
veturila	vetur'il'a
veturilaj	vetur'il'a'j
veturilan	vetur'il'a'n
veturilo	vetur'il'o
veturiloj	vetur'il'o'j
veturilojn	vetur'il'o'j'n
veturilon	vetur'il'o'n
veturinta	vetur'int'a
veturita	vetur'it'a
veturitaj	vetur'it'a'j
veturonta	vetur'ont'a
veturprioritato	vetur'prioritat'o
veturtempo	vetur'temp'o
veturvojo	vetur'voj'o
veziko	vezik'o
vezikoj	vezik'o'j
vezikojn	vezik'o'j'n
vezikon	vezik'o'n
veziketo	vezik'et'o
veziketoj	vezik'et'o'j
veziro	vezir'o
veziroj	vezir'o'j
vezuvio	vezuvi'o
vi	vi
via	vi'a
viaj	vi'a'j
viajn	vi'a'j'n
vian	vi'a'n
vin	vi'n
viaflanke	vi'a'flank'e
viahejme	vi'a'hejm'e
viahejmen	vi'a'hejm'e'n
viaopinie	vi'a'opini'e
viadukto	viadukt'o
vianda	viand'a
viandaj	viand'a'j
viandan	viand'a'n
viando	viand'o
viandoj	viand'o'j
viandojn	viand'o'j'n
viandon	viand'o'n
viandaĵo	viand'aĵ'o
viandaĵoj	viand'aĵ'o'j
viandaĵojn	viand'aĵ'o'j'n
viandaĵon	viand'aĵ'o'n
viandbuloj	viand'bul'o'j
viandejo	viand'ej'o
viandindustrio	viand'industri'o
viandisto	viand'ist'o
viandistoj	viand'ist'o'j
viandkonsumo	viand'konsum'o
viandoproduktado	viand'o'produkt'ad'o
vibra	vibr'a
vibraj	vibr'a'j
vibras	vibr'as
vibri	vibr'i
vibris	vibr'is
vibro	vibr'o
vibroj	vibr'o'j
vibrado	vibr'ad'o
vibradoj	vibr'ad'o'j
vibradojn	vibr'ad'o'j'n
vibradon	vibr'ad'o'n
vibranta	vibr'ant'a
vibrantaj	vibr'ant'a'j
vibrigas	vibr'ig'as
vibrigis	vibr'ig'is
vica	vic'a
vicaj	vic'a'j
vican	vic'a'n
vicas	vic'as
vice	vic'e
vici	vic'i
vicis	vic'is
vico	vic'o
vicoj	vic'o'j
vicojn	vic'o'j'n
vicon	vic'o'n
vicus	vic'us
vicante	vic'ant'e
vicaro	vic'ar'o
vicĉefministro	vic'ĉef'ministr'o
vicdekano	vic'dekan'o
vicdirektoro	vic'direktor'o
vicestro	vic'estr'o
vicfilo	vic'fil'o
vicĝenerala	vic'ĝeneral'a
vicgrafo	vic'graf'o
vicgubernatoro	vic'gubernator'o
vicigas	vic'ig'as
vicigi	vic'ig'i
vicigis	vic'ig'is
vicigo	vic'ig'o
vicigado	vic'ig'ad'o
vicigante	vic'ig'ant'e
vicigita	vic'ig'it'a
vicigitaj	vic'ig'it'a'j
vicigite	vic'ig'it'e
viciĝas	vic'iĝ'as
viciĝi	vic'iĝ'i
viciĝis	vic'iĝ'is
vicita	vic'it'a
vicitaj	vic'it'a'j
vickanceliero	vic'kancelier'o
vickomandanto	vic'komand'ant'o
vickonsulo	vic'konsul'o
vicministro	vic'ministr'o
vicministroprezidento	vic'ministr'o'prezident'o
vicorda	vic'ord'a
vicordan	vic'ord'a'n
vicordo	vic'ord'o
vicordon	vic'ord'o'n
vicpatro	vic'patr'o
vicpatrino	vic'patr'in'o
vicprezidanto	vic'prezid'ant'o
vicprezidantoj	vic'prezid'ant'o'j
vicprezidantojn	vic'prezid'ant'o'j'n
vicprezidanton	vic'prezid'ant'o'n
vicprezidantino	vic'prezid'ant'in'o
vicprezidento	vic'prezident'o
vicredaktoro	vic'redaktor'o
vicregistaro	vic'reg'ist'ar'o
vicreĝo	vic'reĝ'o
vicreĝoj	vic'reĝ'o'j
vicreĝlando	vic'reĝ'land'o
vicrektoro	vic'rektor'o
vicsekretario	vic'sekretari'o
vicurbestro	vic'urb'estr'o
vida	vid'a
vidaj	vid'a'j
vidajn	vid'a'j'n
vidan	vid'a'n
vidas	vid'as
vide	vid'e
vidi	vid'i
vidis	vid'is
vido	vid'o
vidoj	vid'o'j
vidojn	vid'o'j'n
vidon	vid'o'n
vidos	vid'os
vidu	vid'u
vidus	vid'us
vidadis	vid'ad'is
vidado	vid'ad'o
vidadon	vid'ad'o'n
vidajho	vid'aĵ'o
vidaĵo	vid'aĵ'o
vidaĵoj	vid'aĵ'o'j
vidaĵojn	vid'aĵ'o'j'n
vidaĵon	vid'aĵ'o'n
vidakreco	vid'akr'ec'o
vidalvida	vid'al'vid'a
vidalvidan	vid'al'vid'a'n
vidalvide	vid'al'vid'e
vidangulo	vid'angul'o
vidanta	vid'ant'a
vidantaj	vid'ant'a'j
vidantan	vid'ant'a'n
vidante	vid'ant'e
vidanto	vid'ant'o
vidantoj	vid'ant'o'j
vidata	vid'at'a
vidataj	vid'at'a'j
vidate	vid'at'e
vidbenda	vid'bend'a
vidbendaj	vid'bend'a'j
vidbendan	vid'bend'a'n
vidbendo	vid'bend'o
vidbendoj	vid'bend'o'j
vidbendojn	vid'bend'o'j'n
vidbendon	vid'bend'o'n
videbla	vid'ebl'a
videblaj	vid'ebl'a'j
videblajn	vid'ebl'a'j'n
videblan	vid'ebl'a'n
videblas	vid'ebl'as
videble	vid'ebl'e
videblis	vid'ebl'is
videblo	vid'ebl'o
videbloj	vid'ebl'o'j
videblojn	vid'ebl'o'j'n
videblon	vid'ebl'o'n
videblos	vid'ebl'os
videbleco	vid'ebl'ec'o
videblecon	vid'ebl'ec'o'n
videbligas	vid'ebl'ig'as
videbligi	vid'ebl'ig'i
videbligis	vid'ebl'ig'is
videbligo	vid'ebl'ig'o
videbliĝas	vid'ebl'iĝ'as
videbliĝis	vid'ebl'iĝ'is
videti	vid'et'i
videtis	vid'et'is
vidhandikapuloj	vid'handikap'ul'o'j
vidigas	vid'ig'as
vidigi	vid'ig'i
vidigis	vid'ig'is
vidigu	vid'ig'u
vidigante	vid'ig'ant'e
vidigilo	vid'ig'il'o
vidiĝas	vid'iĝ'as
vidiĝi	vid'iĝ'i
vidiĝis	vid'iĝ'is
vidiĝos	vid'iĝ'os
vidinda	vid'ind'a
vidindaj	vid'ind'a'j
vidindas	vid'ind'as
vidindaĵo	vid'ind'aĵ'o
vidindaĵoj	vid'ind'aĵ'o'j
vidindaĵojn	vid'ind'aĵ'o'j'n
vidindaĵon	vid'ind'aĵ'o'n
vidindejo	vid'ind'ej'o
vidindejoj	vid'ind'ej'o'j
vidinta	vid'int'a
vidintaj	vid'int'a'j
vidinte	vid'int'e
vidinto	vid'int'o
vidintus	vid'int'us
vidita	vid'it'a
viditaj	vid'it'a'j
viditajn	vid'it'a'j'n
viditan	vid'it'a'n
vidite	vid'it'e
vidkampo	vid'kamp'o
vidkampon	vid'kamp'o'n
vidkapablaj	vid'kapabl'a'j
vidkapablo	vid'kapabl'o
vidkapablon	vid'kapabl'o'n
vidkarto	vid'kart'o
vidkartoj	vid'kart'o'j
vidkortekso	vid'korteks'o
vidlinio	vid'lini'o
vidlinion	vid'lini'o'n
vidmaniero	vid'manier'o
vidnervo	vid'nerv'o
vidokapablon	vid'o'kapabl'o'n
vidpovo	vid'pov'o
vidpovon	vid'pov'o'n
vidpunkte	vid'punkt'e
vidpunkto	vid'punkt'o
vidpunktoj	vid'punkt'o'j
vidpunktojn	vid'punkt'o'j'n
vidpunkton	vid'punkt'o'n
vidsenso	vid'sens'o
videa	vide'a
video	vide'o
videoj	vide'o'j
videojn	vide'o'j'n
videon	vide'o'n
videaĵo	vide'aĵ'o
videaĵoj	vide'aĵ'o'j
videaĵojn	vide'aĵ'o'j'n
videaĵon	vide'aĵ'o'n
videenhavo	vide'en'hav'o
videkasediloj	vide'kased'il'o'j
videofilmas	vide'o'film'as
videofilmo	vide'o'film'o
videofilmoj	vide'o'film'o'j
videofilmon	vide'o'film'o'n
videoluda	vide'o'lud'a
videoludo	vide'o'lud'o
videoludoj	vide'o'lud'o'j
videoludojn	vide'o'lud'o'j'n
videoludon	vide'o'lud'o'n
videoludado	vide'o'lud'ad'o
videsignalo	vide'signal'o
videsignaloj	vide'signal'o'j
vidvo	vidv'o
vidvigita	vidv'ig'it'a
vidvino	vidv'in'o
vidvinoj	vidv'in'o'j
vidvinojn	vidv'in'o'j'n
vidvinon	vidv'in'o'n
viena	vien'a
vienaj	vien'a'j
vienan	vien'a'n
vieno	vien'o
vienon	vien'o'n
vienanoj	vien'an'o'j
vigla	vigl'a
viglaj	vigl'a'j
viglajn	vigl'a'j'n
viglan	vigl'a'n
viglas	vigl'as
vigle	vigl'e
