ebena	eben'a
eksidis	ek'sid'is
eksidos	ek'sid'os
eksidu	ek'sid'u
eksilentas	ek'silent'as
eksilentis	ek'silent'is
ekskribis	ek'skrib'is
ekskuis	ek'sku'is
ekskuiĝis	ek'sku'iĝ'is
eksonas	ek'son'as
eksonis	ek'son'is
eksonos	ek'son'os
eksonoris	ek'sonor'is
eksopiris	ek'sopir'is
ekspiris	ek'spir'is
ekstaras	ek'star'as
ekstari	ek'star'i
ekstaris	ek'star'is
ekstaros	ek'star'os
ekstaru	ek'star'u
ekstarus	ek'star'us
ekstaradis	ek'star'ad'is
ekstarante	ek'star'ant'e
ekstariĝis	ek'star'iĝ'is
ekstarinte	ek'star'int'e
ekstartis	ek'start'is
eksterna	ek'stern'a
ekstudas	ek'stud'as
ekstudi	ek'stud'i
ekstudis	ek'stud'is
eksuferis	ek'sufer'is
eksuspektis	ek'suspekt'is
eksvingis	ek'sving'is
ektedas	ek'ted'as
ektedis	ek'ted'is
ektenas	ek'ten'as
ekteni	ek'ten'i
ektenis	ek'ten'is
ektenado	ek'ten'ad'o
ektimas	ek'tim'as
ektimis	ek'tim'is
ektimo	ek'tim'o
ektimos	ek'tim'os
ektimigis	ek'tim'ig'is
ektimiĝis	ek'tim'iĝ'is
ektintis	ek'tint'is
ektiris	ek'tir'is
ektiro	ek'tir'o
ektondris	ek'tondr'is
ektremas	ek'trem'as
ektremis	ek'trem'is
ektremetis	ek'trem'et'is
ektrenis	ek'tren'is
ektrinkis	ek'trink'is
ektrotis	ek'trot'is
ektrovis	ek'trov'is
ektroviĝis	ek'trov'iĝ'is
ekturnis	ek'turn'is
ekturniĝis	ek'turn'iĝ'is
ektusis	ek'tus'is
ektuŝas	ek'tuŝ'as
ektuŝi	ek'tuŝ'i
ektuŝis	ek'tuŝ'is
ektuŝo	ek'tuŝ'o
ekuzas	ek'uz'as
ekuzi	ek'uz'i
ekuzis	ek'uz'is
ekuzo	ek'uz'o
ekuzos	ek'uz'os
ekuzu	ek'uz'u
ekuziĝis	ek'uz'iĝ'is
ekvalidas	ek'valid'as
ekvalidis	ek'valid'is
ekvalidos	ek'valid'os
ekvenis	ek'ven'is
ekvendis	ek'vend'is
ekverkis	ek'verk'is
ekveturas	ek'vetur'as
ekveturi	ek'vetur'i
ekveturis	ek'vetur'is
ekveturo	ek'vetur'o
ekveturos	ek'vetur'os
ekveturanta	ek'vetur'ant'a
ekvibris	ek'vibr'is
ekvidas	ek'vid'as
ekvidi	ek'vid'i
ekvidis	ek'vid'is
ekvido	ek'vid'o
ekvidoj	ek'vid'o'j
ekvidos	ek'vid'os
ekvidus	ek'vid'us
ekvidante	ek'vid'ant'e
ekvidinte	ek'vid'int'e
ekvidita	ek'vid'it'a
ekviditaj	ek'vid'it'a'j
ekviglis	ek'vigl'is
ekvivas	ek'viv'as
ekvivis	ek'viv'is
ekvojis	ek'voj'is
ekvojaĝi	ek'vojaĝ'i
ekvojaĝis	ek'vojaĝ'is
ekvojaĝos	ek'vojaĝ'os
ekvokis	ek'vok'is
ekvolis	ek'vol'is
ekvolos	ek'vol'os
ekzumis	ek'zum'is
ekbatano	ekbatan'o
ekinodermoj	ekinoderm'o'j
ekipas	ekip'as
ekipi	ekip'i
ekipis	ekip'is
ekipo	ekip'o
ekipon	ekip'o'n
ekipado	ekip'ad'o
ekipaĵo	ekip'aĵ'o
ekipaĵoj	ekip'aĵ'o'j
ekipaĵojn	ekip'aĵ'o'j'n
ekipaĵon	ekip'aĵ'o'n
ekipaĵaro	ekip'aĵ'ar'o
ekipaĵoproduktantoj	ekip'aĵ'o'produkt'ant'o'j
ekipataj	ekip'at'a'j
ekipita	ekip'it'a
ekipitaj	ekip'it'a'j
ekipitajn	ekip'it'a'j'n
ekipitan	ekip'it'a'n
eklektika	eklektik'a
eklektikan	eklektik'a'n
eklektikismo	eklektik'ism'o
eklezia	eklezi'a
ekleziaj	eklezi'a'j
ekleziajn	eklezi'a'j'n
eklezian	eklezi'a'n
eklezio	eklezi'o
eklezioj	eklezi'o'j
ekleziojn	eklezi'o'j'n
eklezion	eklezi'o'n
ekleziano	eklezi'an'o
eklezianoj	eklezi'an'o'j
ekleziestroj	eklezi'estr'o'j
ekleziulo	eklezi'ul'o
ekleziuloj	eklezi'ul'o'j
ekleziulojn	eklezi'ul'o'j'n
eklipsa	eklips'a
eklipso	eklips'o
eklipsoj	eklips'o'j
eklipson	eklips'o'n
ekliptiko	ekliptik'o
eklogo	eklog'o
eklogismo	eklog'ism'o
ekoregiono	eko'region'o
ekoregionoj	eko'region'o'j
ekoregionojn	eko'region'o'j'n
ekoregionon	eko'region'o'n
ekosistemo	eko'sistem'o
ekosistemoj	eko'sistem'o'j
ekosistemojn	eko'sistem'o'j'n
ekosistemon	eko'sistem'o'n
ekosistemservoj	eko'sistem'serv'o'j
ekoturismo	eko'turism'o
ekozono	eko'zon'o
ekologoj	ekolog'o'j
ekologia	ekolog'i'a
ekologiaj	ekolog'i'a'j
ekologiajn	ekolog'i'a'j'n
ekologian	ekolog'i'a'n
ekologie	ekolog'i'e
ekologio	ekolog'i'o
ekologion	ekolog'i'o'n
ekologiema	ekolog'i'em'a
ekologiemaj	ekolog'i'em'a'j
ekologiisma	ekolog'i'ism'a
ekologiismo	ekolog'i'ism'o
ekologiisto	ekolog'i'ist'o
ekologiistoj	ekolog'i'ist'o'j
ekonomo	ekonom'o
ekonomia	ekonomi'a
ekonomiaj	ekonomi'a'j
ekonomiajn	ekonomi'a'j'n
ekonomian	ekonomi'a'n
ekonomie	ekonomi'e
ekonomio	ekonomi'o
ekonomioj	ekonomi'o'j
ekonomiojn	ekonomi'o'j'n
ekonomion	ekonomi'o'n
ekonomiisto	ekonomi'ist'o
ekonomiistoj	ekonomi'ist'o'j
ekonomika	ekonomik'a
ekonomikaj	ekonomik'a'j
ekonomikajn	ekonomik'a'j'n
ekonomikan	ekonomik'a'n
ekonomike	ekonomik'e
ekonomiko	ekonomik'o
ekonomikon	ekonomik'o'n
ekonomikisto	ekonomik'ist'o
ekonomikistoj	ekonomik'ist'o'j
ekrana	ekran'a
ekranaj	ekran'a'j
ekrano	ekran'o
ekranoj	ekran'o'j
ekranojn	ekran'o'j'n
ekranon	ekran'o'n
ekranego	ekran'eg'o
ekranlegiloj	ekran'leg'il'o'j
ekranmuro	ekran'mur'o
ekranpafo	ekran'paf'o
eksa	eks'a
eksaj	eks'a'j
eksajn	eks'a'j'n
eksan	eks'a'n
eksafikso	eks'afiks'o
eksĉefministro	eks'ĉef'ministr'o
eksedzo	eks'edz'o
eksedziĝi	eks'edz'iĝ'i
eksedziĝis	eks'edz'iĝ'is
eksedziĝo	eks'edz'iĝ'o
eksedziĝon	eks'edz'iĝ'o'n
eksedziĝos	eks'edz'iĝ'os
eksedziĝinta	eks'edz'iĝ'int'a
eksedzino	eks'edz'in'o
eksedziniĝi	eks'edz'in'iĝ'i
eksedziniĝis	eks'edz'in'iĝ'is
eksgeedziĝo	eks'ge'edz'iĝ'o
eksgeedziĝon	eks'ge'edz'iĝ'o'n
eksidinte	eks'id'int'e
eksigi	eks'ig'i
eksigis	eks'ig'is
eksigo	eks'ig'o
eksigon	eks'ig'o'n
eksigita	eks'ig'it'a
eksigitaj	eks'ig'it'a'j
eksiĝas	eks'iĝ'as
eksiĝi	eks'iĝ'i
eksiĝis	eks'iĝ'is
eksiĝo	eks'iĝ'o
eksiĝoj	eks'iĝ'o'j
eksiĝon	eks'iĝ'o'n
eksiĝos	eks'iĝ'os
eksiĝu	eks'iĝ'u
eksiĝinta	eks'iĝ'int'a
eksiĝintaj	eks'iĝ'int'a'j
eksiĝintan	eks'iĝ'int'a'n
ekskolonioj	eks'koloni'o'j
ekskoramiko	eks'kor'amik'o
eksministro	eks'ministr'o
eksmoda	eks'mod'a
eksmodaj	eks'mod'a'j
eksmodajn	eks'mod'a'j'n
eksmodiĝis	eks'mod'iĝ'is
eksprefikso	eks'prefiks'o
eksprezidanto	eks'prezid'ant'o
eksprezidento	eks'prezident'o
eksproprietigo	eks'propriet'ig'o
ekssklavoj	eks'sklav'o'j
ekssovetiaj	eks'soveti'a'j
eksstudento	eks'student'o
eksstudentoj	eks'student'o'j
eksstudentojn	eks'student'o'j'n
ekssufikso	eks'sufiks'o
ekstendaranoj	eks'tend'ar'an'o'j
eksvalidiĝas	eks'valid'iĝ'as
eksvalidiĝi	eks'valid'iĝ'i
eksvalidiĝis	eks'valid'iĝ'is
eksvalidiĝo	eks'valid'iĝ'o
eksvirbovo	eks'vir'bov'o
ekscelenco	ekscelenc'o
ekscentra	ekscentr'a
ekscentraj	ekscentr'a'j
ekscentreco	ekscentr'ec'o
ekscentrulo	ekscentr'ul'o
ekscesa	eksces'a
ekscesaj	eksces'a'j
ekscese	eksces'e
eksceso	eksces'o
ekscesoj	eksces'o'j
ekscesojn	eksces'o'j'n
eksceson	eksces'o'n
ekscita	ekscit'a
ekscitaj	ekscit'a'j
ekscitan	ekscit'a'n
ekscitas	ekscit'as
ekscite	ekscit'e
eksciti	ekscit'i
ekscitis	ekscit'is
ekscito	ekscit'o
ekscitoj	ekscit'o'j
eksciton	ekscit'o'n
ekscitado	ekscit'ad'o
ekscitanta	ekscit'ant'a
ekscitante	ekscit'ant'e
eksciteco	ekscit'ec'o
ekscitiĝas	ekscit'iĝ'as
ekscitiĝi	ekscit'iĝ'i
ekscitiĝis	ekscit'iĝ'is
ekscitigho	ekscit'iĝ'o
ekscitiĝo	ekscit'iĝ'o
ekscitiĝon	ekscit'iĝ'o'n
ekscitiĝu	ekscit'iĝ'u
ekscitita	ekscit'it'a
ekscititaj	ekscit'it'a'j
ekscititajn	ekscit'it'a'j'n
ekscititan	ekscit'it'a'n
ekscitite	ekscit'it'e
eksklavo	eksklav'o
eksklavoj	eksklav'o'j
ekskluda	eksklud'a
ekskludas	eksklud'as
eksklude	eksklud'e
ekskludi	eksklud'i
ekskludis	eksklud'is
ekskludo	eksklud'o
ekskludon	eksklud'o'n
ekskludado	eksklud'ad'o
ekskludanta	eksklud'ant'a
ekskludantaj	eksklud'ant'a'j
ekskludante	eksklud'ant'e
ekskludita	eksklud'it'a
ekskluditaj	eksklud'it'a'j
ekskludprincipo	eksklud'princip'o
ekskluziva	ekskluziv'a
ekskluzivaj	ekskluziv'a'j
ekskluzivajn	ekskluziv'a'j'n
ekskluzivan	ekskluziv'a'n
ekskluzivas	ekskluziv'as
ekskluzive	ekskluziv'e
ekskluzivi	ekskluziv'i
ekskluziveco	ekskluziv'ec'o
ekskluzivita	ekskluziv'it'a
ekskomunikis	ekskomunik'is
ekskomuniko	ekskomunik'o
ekskomunikita	ekskomunik'it'a
ekskomunikitaj	ekskomunik'it'a'j
ekskrementoj	ekskrement'o'j
ekskrementojn	ekskrement'o'j'n
ekskursa	ekskurs'a
ekskursas	ekskurs'as
ekskursi	ekskurs'i
ekskursis	ekskurs'is
ekskurso	ekskurs'o
ekskursoj	ekskurs'o'j
ekskursojn	ekskurs'o'j'n
ekskurson	ekskurs'o'n
ekskursos	ekskurs'os
ekskursantoj	ekskurs'ant'o'j
ekskurseto	ekskurs'et'o
ekskursetoj	ekskurs'et'o'j
ekskursetojn	ekskurs'et'o'j'n
ekskurseton	ekskurs'et'o'n
ekskursoŝipo	ekskurs'o'ŝip'o
ekskursoŝipoj	ekskurs'o'ŝip'o'j
ekskursoŝipon	ekskurs'o'ŝip'o'n
ekskuzas	ekskuz'as
ekskuzi	ekskuz'i
ekskuzis	ekskuz'is
ekskuzo	ekskuz'o
ekskuzoj	ekskuz'o'j
ekskuzojn	ekskuz'o'j'n
ekskuzon	ekskuz'o'n
ekspansia	ekspansi'a
ekspansias	ekspansi'as
ekspansiis	ekspansi'is
ekspansio	ekspansi'o
ekspansion	ekspansi'o'n
ekspansianta	ekspansi'ant'a
ekspansiema	ekspansi'em'a
ekspansiemaj	ekspansi'em'a'j
ekspansiigi	ekspansi'ig'i
ekspansiismo	ekspansi'ism'o
ekspeda	eksped'a
ekspedaj	eksped'a'j
ekspedas	eksped'as
ekspedi	eksped'i
ekspedis	eksped'is
ekspedo	eksped'o
ekspedon	eksped'o'n
ekspedado	eksped'ad'o
ekspedante	eksped'ant'e
ekspediĝas	eksped'iĝ'as
ekspedita	eksped'it'a
ekspeditaj	eksped'it'a'j
ekspedicia	ekspedici'a
ekspedicio	ekspedici'o
ekspedicioj	ekspedici'o'j
ekspediciojn	ekspedici'o'j'n
ekspedicion	ekspedici'o'n
ekspedicianoj	ekspedici'an'o'j
ekspediciestro	ekspedici'estr'o
eksperimenta	eksperiment'a
eksperimentaj	eksperiment'a'j
eksperimentajn	eksperiment'a'j'n
eksperimentan	eksperiment'a'n
eksperimentas	eksperiment'as
eksperimente	eksperiment'e
eksperimenti	eksperiment'i
eksperimentis	eksperiment'is
eksperimento	eksperiment'o
eksperimentoj	eksperiment'o'j
eksperimentojn	eksperiment'o'j'n
eksperimenton	eksperiment'o'n
eksperimentado	eksperiment'ad'o
eksperimentadon	eksperiment'ad'o'n
eksperimentisto	eksperiment'ist'o
eksperimentpsikologio	eksperiment'psik'olog'i'o
eksperta	ekspert'a
eksperto	ekspert'o
ekspertoj	ekspert'o'j
ekspertojn	ekspert'o'j'n
eksperton	ekspert'o'n
ekspertsistemoj	ekspert'sistem'o'j
ekspertizo	ekspertiz'o
ekspertizon	ekspertiz'o'n
ekspertizisto	ekspertiz'ist'o
eksplicita	eksplic'it'a
eksplicitaj	eksplic'it'a'j
eksplicitajn	eksplic'it'a'j'n
eksplicitan	eksplic'it'a'n
eksplicite	eksplic'it'e
eksplikas	eksplik'as
ekspliki	eksplik'i
eksplikis	eksplik'is
ekspliko	eksplik'o
eksplikoj	eksplik'o'j
eksplikojn	eksplik'o'j'n
eksplikon	eksplik'o'n
eksplikos	eksplik'os
ekspliku	eksplik'u
eksplikado	eksplik'ad'o
eksplikante	eksplik'ant'e
eksplikita	eksplik'it'a
eksploda	eksplod'a
eksplodaj	eksplod'a'j
eksplodan	eksplod'a'n
eksplodas	eksplod'as
eksplode	eksplod'e
eksplodi	eksplod'i
eksplodis	eksplod'is
eksplodo	eksplod'o
eksplodoj	eksplod'o'j
eksplodojn	eksplod'o'j'n
eksplodon	eksplod'o'n
eksplodos	eksplod'os
eksplodus	eksplod'us
eksplodado	eksplod'ad'o
eksplodaĵo	eksplod'aĵ'o
eksplodaĵoj	eksplod'aĵ'o'j
eksplodaĵojn	eksplod'aĵ'o'j'n
eksplodaĵon	eksplod'aĵ'o'n
eksplodanta	eksplod'ant'a
eksplodante	eksplod'ant'e
eksplodema	eksplod'em'a
eksplodemaj	eksplod'em'a'j
eksplodemajn	eksplod'em'a'j'n
eksplodeman	eksplod'em'a'n
eksplodeme	eksplod'em'e
eksplodiga	eksplod'ig'a
eksplodigas	eksplod'ig'as
eksplodigi	eksplod'ig'i
eksplodigis	eksplod'ig'is
eksplodigo	eksplod'ig'o
eksplodigos	eksplod'ig'os
eksplodilo	eksplod'il'o
eksplodiloj	eksplod'il'o'j
eksplodilojn	eksplod'il'o'j'n
eksplodilon	eksplod'il'o'n
eksplodinta	eksplod'int'a
eksplodita	eksplod'it'a
eksplodmotoro	eksplod'motor'o
eksplodmotoroj	eksplod'motor'o'j
ekspluata	ekspluat'a
ekspluataj	ekspluat'a'j
ekspluatas	ekspluat'as
ekspluati	ekspluat'i
ekspluatis	ekspluat'is
ekspluato	ekspluat'o
ekspluaton	ekspluat'o'n
ekspluatos	ekspluat'os
ekspluatu	ekspluat'u
ekspluatado	ekspluat'ad'o
ekspluatadoj	ekspluat'ad'o'j
ekspluatadon	ekspluat'ad'o'n
ekspluatantaj	ekspluat'ant'a'j
ekspluatante	ekspluat'ant'e
ekspluatantoj	ekspluat'ant'o'j
ekspluatantojn	ekspluat'ant'o'j'n
ekspluatata	ekspluat'at'a
ekspluatataj	ekspluat'at'a'j
ekspluatebla	ekspluat'ebl'a
ekspluatejo	ekspluat'ej'o
ekspluatejoj	ekspluat'ej'o'j
ekspluatistoj	ekspluat'ist'o'j
ekspluatita	ekspluat'it'a
ekspluatitaj	ekspluat'it'a'j
ekspona	ekspon'a
eksponaj	ekspon'a'j
eksponas	ekspon'as
eksponi	ekspon'i
eksponis	ekspon'is
ekspono	ekspon'o
eksponon	ekspon'o'n
eksponos	ekspon'os
eksponado	ekspon'ad'o
eksponaĵoj	ekspon'aĵ'o'j
eksponaĵojn	ekspon'aĵ'o'j'n
eksponante	ekspon'ant'e
eksponata	ekspon'at'a
eksponataj	ekspon'at'a'j
eksponejo	ekspon'ej'o
eksponiĝas	ekspon'iĝ'as
eksponiĝo	ekspon'iĝ'o
eksponiĝon	ekspon'iĝ'o'n
eksponita	ekspon'it'a
eksponitaj	ekspon'it'a'j
eksponite	ekspon'it'e
eksponperiodo	ekspon'period'o
eksponenta	eksponent'a
eksponentaj	eksponent'a'j
eksponentan	eksponent'a'n
eksponente	eksponent'e
eksponento	eksponent'o
eksponentoj	eksponent'o'j
eksporta	eksport'a
eksportaj	eksport'a'j
eksportan	eksport'a'n
eksportas	eksport'as
eksporti	eksport'i
eksportis	eksport'is
eksporto	eksport'o
eksportoj	eksport'o'j
eksporton	eksport'o'n
eksportado	eksport'ad'o
eksportadoj	eksport'ad'o'j
eksportadon	eksport'ad'o'n
eksportaĵoj	eksport'aĵ'o'j
eksportaĵojn	eksport'aĵ'o'j'n
eksportanto	eksport'ant'o
eksportantoj	eksport'ant'o'j
eksportata	eksport'at'a
eksportataj	eksport'at'a'j
eksportfirmao	eksport'firma'o
eksportfirmaoj	eksport'firma'o'j
eksportisto	eksport'ist'o
eksportita	eksport'it'a
eksportitaj	eksport'it'a'j
ekspozicia	ekspozici'a
ekspoziciaj	ekspozici'a'j
ekspozician	ekspozici'a'n
ekspozicias	ekspozici'as
ekspozicii	ekspozici'i
ekspoziciis	ekspozici'is
ekspozicio	ekspozici'o
ekspozicioj	ekspozici'o'j
ekspoziciojn	ekspozici'o'j'n
ekspozicion	ekspozici'o'n
ekspozicios	ekspozici'os
ekspoziciado	ekspozici'ad'o
ekspoziciaĵo	ekspozici'aĵ'o
ekspoziciaĵoj	ekspozici'aĵ'o'j
ekspoziciaĵojn	ekspozici'aĵ'o'j'n
ekspoziciaĵon	ekspozici'aĵ'o'n
ekspozicianta	ekspozici'ant'a
ekspoziciantaj	ekspozici'ant'a'j
ekspoziciante	ekspozici'ant'e
ekspoziciata	ekspozici'at'a
ekspoziciataj	ekspozici'at'a'j
ekspoziciejo	ekspozici'ej'o
ekspoziciejoj	ekspozici'ej'o'j
ekspoziciejon	ekspozici'ej'o'n
ekspoziciita	ekspozici'it'a
ekspoziciitaj	ekspozici'it'a'j
ekspresa	ekspres'a
ekspresaj	ekspres'a'j
eksprese	ekspres'e
ekspreso	ekspres'o
ekspresoj	ekspres'o'j
ekspresionisma	ekspresionism'a
ekspresionismaj	ekspresionism'a'j
ekspresionismo	ekspresionism'o
ekstaza	ekstaz'a
ekstaze	ekstaz'e
ekstazo	ekstaz'o
ekstazon	ekstaz'o'n
ekster	ekster
ekstera	ekster'a
eksteraj	ekster'a'j
eksterajn	ekster'a'j'n
eksteran	ekster'a'n
ekstere	ekster'e
eksteren	ekster'e'n
ekstero	ekster'o
eksteron	ekster'o'n
eksterafera	ekster'afer'a
eksterafrikaj	ekster'afrik'a'j
eksterajho	ekster'aĵ'o
eksteraĵo	ekster'aĵ'o
eksteraĵoj	ekster'aĵ'o'j
eksteraĵon	ekster'aĵ'o'n
eksterĉela	ekster'ĉel'a
eksterĉelaj	ekster'ĉel'a'j
eksterĉelan	ekster'ĉel'a'n
ekstercentra	ekster'centr'a
ekstercentraj	ekster'centr'a'j
eksterdistrikta	ekster'distrikt'a
eksterdistriktaj	ekster'distrikt'a'j
eksterdoma	ekster'dom'a
eksterdomaj	ekster'dom'a'j
eksterdome	ekster'dom'e
eksterdube	ekster'dub'e
ekstereco	ekster'ec'o
eksterecoj	ekster'ec'o'j
eksterecojn	ekster'ec'o'j'n
ekstereŭropaj	ekster'eŭrop'a'j
ekstereŭropanoj	ekster'eŭrop'an'o'j
ekstergalaksia	ekster'galaksi'a
ekstergeedza	ekster'ge'edz'a
ekstergeedzaj	ekster'ge'edz'a'j
eksterhejme	ekster'hejm'e
eksterkapitalaj	ekster'kapital'a'j
eksterkutima	ekster'kutim'a
eksterkutime	ekster'kutim'e
eksterlanda	ekster'land'a
eksterlandaj	ekster'land'a'j
eksterlandajn	ekster'land'a'j'n
eksterlandan	ekster'land'a'n
eksterlande	ekster'land'e
eksterlanden	ekster'land'e'n
eksterlando	ekster'land'o
eksterlandoj	ekster'land'o'j
eksterlandon	ekster'land'o'n
eksterlandano	ekster'land'an'o
eksterlandanoj	ekster'land'an'o'j
eksterlandanojn	ekster'land'an'o'j'n
eksterlandanoeŭropo	ekster'land'an'o'eŭrop'o
eksterleĝa	ekster'leĝ'a
eksterleĝan	ekster'leĝ'a'n
eksterleĝulo	ekster'leĝ'ul'o
eksterministeria	ekster'ministeri'a
ekstermoda	ekster'mod'a
ekstermovada	ekster'mov'ad'a
ekstermovadaj	ekster'mov'ad'a'j
eksternacia	ekster'naci'a
eksternorma	ekster'norm'a
eksteroministro	ekster'o'ministr'o
eksterordinara	ekster'ordinar'a
eksterordinaraj	ekster'ordinar'a'j
eksterordinarajn	ekster'ordinar'a'j'n
eksterordinaran	ekster'ordinar'a'n
eksterordinare	ekster'ordinar'e
eksterpoli	ekster'pol'i
eksterpolitika	ekster'politik'a
eksterpolitikaj	ekster'politik'a'j
eksterreta	ekster'ret'a
eksterŝipe	ekster'ŝip'e
eksterskeleto	ekster'skelet'o
eksterskeletoj	ekster'skelet'o'j
eksterŝtate	ekster'ŝtat'e
eksterŝtataĵoj	ekster'ŝtat'aĵ'o'j
ekstersunsistema	ekster'sun'sistem'a
ekstersunsistemaj	ekster'sun'sistem'a'j
ekstertema	ekster'tem'a
ekstertemaj	ekster'tem'a'j
ekstertempa	ekster'temp'a
ekstertera	ekster'ter'a
eksterteraj	ekster'ter'a'j
eksterteran	ekster'ter'a'n
eksterterana	ekster'ter'an'a
eksterteranaj	ekster'ter'an'a'j
eksterterano	ekster'ter'an'o
eksterteranoj	ekster'ter'an'o'j
eksterteranojn	ekster'ter'an'o'j'n
eksterteruloj	ekster'ter'ul'o'j
eksterteritoriaj	ekster'teritori'a'j
ekstertropika	ekster'tropik'a
eksterulo	ekster'ul'o
eksteruloj	ekster'ul'o'j
eksterulojn	ekster'ul'o'j'n
eksteruniversitataj	ekster'universitat'a'j
eksterurba	ekster'urb'a
eksterurbaj	ekster'urb'a'j
eksterurbe	ekster'urb'e
eksterutera	ekster'uter'a
eksterma	eksterm'a
ekstermaj	eksterm'a'j
ekstermas	eksterm'as
ekstermi	eksterm'i
ekstermis	eksterm'is
ekstermo	eksterm'o
ekstermon	eksterm'o'n
ekstermos	eksterm'os
ekstermu	eksterm'u
ekstermado	eksterm'ad'o
ekstermadon	eksterm'ad'o'n
ekstermita	eksterm'it'a
ekstermitaj	eksterm'it'a'j
ekstra	ekstr'a
ekstraj	ekstr'a'j
ekstrajn	ekstr'a'j'n
ekstran	ekstr'a'n
ekstraversio	ekstr'a'versi'o
ekstraĵo	ekstr'aĵ'o
ekstraĵoj	ekstr'aĵ'o'j
ekstradicio	ekstradici'o
ekstraktas	ekstrakt'as
ekstrakti	ekstrakt'i
ekstraktis	ekstrakt'is
ekstrakto	ekstrakt'o
ekstraktoj	ekstrakt'o'j
ekstrakton	ekstrakt'o'n
ekstraktado	ekstrakt'ad'o
ekstraktadon	ekstrakt'ad'o'n
ekstraktita	ekstrakt'it'a
ekstraktitaj	ekstrakt'it'a'j
ekstrapolo	ekstrapol'o
ekstravaganca	ekstravaganc'a
ekstravagancaj	ekstravaganc'a'j
ekstravagancan	ekstravaganc'a'n
ekstrema	ekstrem'a
ekstremaj	ekstrem'a'j
ekstremajn	ekstrem'a'j'n
ekstreman	ekstrem'a'n
ekstreme	ekstrem'e
ekstremo	ekstrem'o
ekstremoj	ekstrem'o'j
ekstremojn	ekstrem'o'j'n
ekstremon	ekstrem'o'n
ekstremaĵo	ekstrem'aĵ'o
ekstremaĵoj	ekstrem'aĵ'o'j
ekstremaĵojn	ekstrem'aĵ'o'j'n
ekstremaĵon	ekstrem'aĵ'o'n
ekstremdekstra	ekstrem'dekstr'a
ekstremdekstraj	ekstrem'dekstr'a'j
ekstremdekstruloj	ekstrem'dekstr'ul'o'j
ekstremisma	ekstrem'ism'a
ekstremismaj	ekstrem'ism'a'j
ekstremismo	ekstrem'ism'o
ekstremismon	ekstrem'ism'o'n
ekstremisto	ekstrem'ist'o
ekstremistoj	ekstrem'ist'o'j
ekstremistojn	ekstrem'ist'o'j'n
ekstremaduro	ekstremadur'o
ektopia	ektopi'a
ekumena	ekumen'a
ekumenaj	ekumen'a'j
ekumenajn	ekumen'a'j'n
ekumenan	ekumen'a'n
ekumeno	ekumen'o
ekumenismo	ekumen'ism'o
ekumenismon	ekumen'ism'o'n
ekvacio	ekvaci'o
ekvacioj	ekvaci'o'j
ekvaciojn	ekvaci'o'j'n
ekvacion	ekvaci'o'n
ekvadora	ekvador'a
ekvadoro	ekvador'o
ekvatora	ekvator'a
ekvatoraj	ekvator'a'j
ekvatoran	ekvator'a'n
ekvatoro	ekvator'o
ekvatoron	ekvator'o'n
ekvilibra	ekvilibr'a
ekvilibraj	ekvilibr'a'j
ekvilibrajn	ekvilibr'a'j'n
ekvilibran	ekvilibr'a'n
ekvilibras	ekvilibr'as
ekvilibre	ekvilibr'e
ekvilibro	ekvilibr'o
ekvilibroj	ekvilibr'o'j
ekvilibrojn	ekvilibr'o'j'n
ekvilibron	ekvilibr'o'n
ekvilibrigas	ekvilibr'ig'as
ekvilibrigi	ekvilibr'ig'i
ekvilibrigo	ekvilibr'ig'o
ekvilibrigita	ekvilibr'ig'it'a
ekvilibrita	ekvilibr'it'a
ekvinokso	ekvinoks'o
ekvinoksoj	ekvinoks'o'j
ekvivalenta	ekvivalent'a
ekvivalentaj	ekvivalent'a'j
ekvivalentajn	ekvivalent'a'j'n
ekvivalentan	ekvivalent'a'n
ekvivalentas	ekvivalent'as
ekvivalente	ekvivalent'e
ekvivalento	ekvivalent'o
ekvivalentoj	ekvivalent'o'j
ekvivalentojn	ekvivalent'o'j'n
ekvivalenton	ekvivalent'o'n
ekvivalenteco	ekvivalent'ec'o
ekvivalentecon	ekvivalent'ec'o'n
ekvivalentprincipo	ekvivalent'princip'o
ekvivalentrilato	ekvivalent'rilat'o
ekzakta	ekzakt'a
ekzaktaj	ekzakt'a'j
ekzaktajn	ekzakt'a'j'n
ekzaktan	ekzakt'a'n
ekzakte	ekzakt'e
ekzakteco	ekzakt'ec'o
ekzaktecon	ekzakt'ec'o'n
ekzaltas	ekzalt'as
ekzaltiĝo	ekzalt'iĝ'o
ekzaltita	ekzalt'it'a
ekzaltitaj	ekzalt'it'a'j
ekzamena	ekzamen'a
ekzamenaj	ekzamen'a'j
ekzamenajn	ekzamen'a'j'n
ekzamenan	ekzamen'a'n
ekzamenas	ekzamen'as
ekzameni	ekzamen'i
ekzamenis	ekzamen'is
ekzameno	ekzamen'o
ekzamenoj	ekzamen'o'j
ekzamenojn	ekzamen'o'j'n
ekzamenon	ekzamen'o'n
ekzamenos	ekzamen'os
ekzamenu	ekzamen'u
ekzamenus	ekzamen'us
ekzamenado	ekzamen'ad'o
ekzamenadon	ekzamen'ad'o'n
ekzamenanta	ekzamen'ant'a
ekzamenantaj	ekzamen'ant'a'j
ekzamenante	ekzamen'ant'e
ekzamenanto	ekzamen'ant'o
ekzamenantoj	ekzamen'ant'o'j
ekzamenantaro	ekzamen'ant'ar'o
ekzamenata	ekzamen'at'a
