gabona	gabon'a
glimis	glim'is
glimo	glim'o
glimanta	glim'ant'a
gliro	glir'o
glisas	glis'as
glisis	glis'is
glisado	glis'ad'o
glisaviadilo	glis'aviad'il'o
glisaviadiloj	glis'aviad'il'o'j
glisilo	glis'il'o
glisiloj	glis'il'o'j
glita	glit'a
glitaj	glit'a'j
glitan	glit'a'n
glitas	glit'as
glite	glit'e
gliti	glit'i
glitis	glit'is
glitos	glit'os
glitu	glit'u
glitus	glit'us
glitadis	glit'ad'is
glitado	glit'ad'o
glitadon	glit'ad'o'n
glitanta	glit'ant'a
glitantaj	glit'ant'a'j
glitante	glit'ant'e
glitejo	glit'ej'o
glitfalis	glit'fal'is
glitiga	glit'ig'a
glitigaj	glit'ig'a'j
glitigis	glit'ig'is
glitilo	glit'il'o
glitiloj	glit'il'o'j
glitinte	glit'int'e
glitkomaj	glit'kom'a'j
glitkuri	glit'kur'i
glittubo	glit'tub'o
glitvetero	glit'veter'o
glitveteroj	glit'veter'o'j
glitveturilo	glit'vetur'il'o
glitveturilon	glit'vetur'il'o'n
globa	glob'a
globaj	glob'a'j
globe	glob'e
globo	glob'o
globoj	glob'o'j
globojn	glob'o'j'n
globon	glob'o'n
globeto	glob'et'o
globetoj	glob'et'o'j
globeton	glob'et'o'n
globforma	glob'form'a
globformaj	glob'form'a'j
globkrajono	glob'krajon'o
globkrajonoj	glob'krajon'o'j
globkrajonon	glob'krajon'o'n
globuloj	globul'o'j
globuletoj	globul'et'o'j
globuso	globus'o
glora	glor'a
gloraj	glor'a'j
glorajn	glor'a'j'n
gloran	glor'a'n
gloras	glor'as
glore	glor'e
glori	glor'i
gloris	glor'is
gloro	glor'o
gloroj	glor'o'j
gloron	glor'o'n
gloros	glor'os
gloru	glor'u
glorado	glor'ad'o
gloramo	glor'am'o
glorante	glor'ant'e
glorata	glor'at'a
glorigas	glor'ig'as
glorigi	glor'ig'i
glorigis	glor'ig'is
glorigo	glor'ig'o
glorigos	glor'ig'os
glortempo	glor'temp'o
glosa	glos'a
glosoj	glos'o'j
glosaro	glos'ar'o
glosaroj	glos'ar'o'j
glosaron	glos'ar'o'n
glota	glot'a
glotaj	glot'a'j
glotan	glot'a'n
gloto	glot'o
glua	glu'a
gluas	glu'as
glui	glu'i
gluis	glu'is
gluo	glu'o
gluoj	glu'o'j
gluon	glu'o'n
gluu	glu'u
gluado	glu'ad'o
gluaĵo	glu'aĵ'o
gluaĵoj	glu'aĵ'o'j
glubendo	glu'bend'o
glubendoj	glu'bend'o'j
glubendon	glu'bend'o'n
glubildoj	glu'bild'o'j
glueca	glu'ec'a
gluecaj	glu'ec'a'j
gluecan	glu'ec'a'n
gluiĝas	glu'iĝ'as
gluiĝis	glu'iĝ'is
gluiĝema	glu'iĝ'em'a
gluita	glu'it'a
gluitaj	glu'it'a'j
glumarko	glu'mark'o
glumarkoj	glu'mark'o'j
glumarkojn	glu'mark'o'j'n
glumozaiko	glu'mozaik'o
glukozo	glukoz'o
glukozon	glukoz'o'n
glukozido	glukoz'id'o
glumo	glum'o
glumoj	glum'o'j
gluonoj	gluon'o'j
glutas	glut'as
gluti	glut'i
glutis	glut'is
gluto	glut'o
glutoj	glut'o'j
gluton	glut'o'n
glutado	glut'ad'o
glutante	glut'ant'e
glutita	glut'it'a
glutamato	glutam'at'o
glutamaton	glutam'at'o'n
glutamino	glutamin'o
glutationo	glutation'o
gluteoj	glute'o'j
gluteno	gluten'o
gnome	gnom'e
gnomo	gnom'o
gnomoj	gnom'o'j
gnomojn	gnom'o'j'n
gnomon	gnom'o'n
gnostika	gnostik'a
gnostikaj	gnostik'a'j
gnostikismo	gnostik'ism'o
gnostikuloj	gnostik'ul'o'j
gnozo	gnoz'o
gnua	gnu'a
gnuo	gnu'o
gnuoj	gnu'o'j
goa	go'a
goan	go'a'n
goo	go'o
goon	go'o'n
goludo	go'lud'o
gobelino	gobelin'o
gobelinoj	gobelin'o'j
gobio	gobi'o
goeto	goet'o
golan	gol'a'n
golo	gol'o
goloj	gol'o'j
golojn	gol'o'j'n
golon	gol'o'n
goldoni	gol'don'i
golejo	gol'ej'o
golejoj	gol'ej'o'j
golejon	gol'ej'o'n
golulo	gol'ul'o
golumo	gol'um'o
golumon	gol'um'o'n
golfa	golf'a
golfaj	golf'a'j
golfo	golf'o
golfoj	golf'o'j
golfojn	golf'o'j'n
golfon	golf'o'n
golfejo	golf'ej'o
golfejoj	golf'ej'o'j
golfejon	golf'ej'o'n
golfeto	golf'et'o
golfetoj	golf'et'o'j
golfeton	golf'et'o'n
golfludas	golf'lud'as
golfludi	golf'lud'i
golfludo	golf'lud'o
golfludanto	golf'lud'ant'o
golfludantoj	golf'lud'ant'o'j
golfregiono	golf'region'o
golgoto	golgot'o
goliato	goliat'o
gombe	gomb'e
gondolo	gondol'o
gondoloj	gondol'o'j
gondvano	gondvan'o
gongo	gong'o
gongoj	gong'o'j
gongterapiistoj	gong'terapi'ist'o'j
gonzalo	gonzal'o
gorĝa	gorĝ'a
gorĝo	gorĝ'o
gorĝoj	gorĝ'o'j
gorĝojn	gorĝ'o'j'n
gorĝon	gorĝ'o'n
gorĝareo	gorĝ'are'o
gorĝareon	gorĝ'are'o'n
gorĝosako	gorĝ'o'sak'o
gorilo	goril'o
goriloj	goril'o'j
gorilojn	goril'o'j'n
gorilon	goril'o'n
gospelo	gospel'o
gota	got'a
goto	got'o
gotoj	got'o'j
gotojn	got'o'j'n
gotlanda	got'land'a
gotlando	got'land'o
gotamo	gotam'o
gotenburga	gotenburg'a
gotenburgo	gotenburg'o
gotika	gotik'a
gotikaj	gotik'a'j
gotikajn	gotik'a'j'n
gotikan	gotik'a'n
gotiko	gotik'o
graca	grac'a
grace	grac'e
graco	grac'o
gracoj	grac'o'j
gracojn	grac'o'j'n
gracon	grac'o'n
gracoplena	grac'o'plen'a
gracia	graci'a
graciaj	graci'a'j
graciajn	graci'a'j'n
gracian	graci'a'n
gracie	graci'e
gracio	graci'o
gracioj	graci'o'j
gracion	graci'o'n
gracieco	graci'ec'o
graciecon	graci'ec'o'n
graciano	gracian'o
gracila	gracil'a
gracilaj	gracil'a'j
grada	grad'a
gradaj	grad'a'j
gradan	grad'a'n
grade	grad'e
grado	grad'o
gradoj	grad'o'j
gradojn	grad'o'j'n
gradon	grad'o'n
gradeco	grad'ec'o
gradigas	grad'ig'as
gradigita	grad'ig'it'a
gradigitaj	grad'ig'it'a'j
gradiĝis	grad'iĝ'is
gradprogramo	grad'program'o
gradprogramoj	grad'program'o'j
gradprogramojn	grad'program'o'j'n
gradstudantoj	grad'stud'ant'o'j
gradiento	gradient'o
gradientoj	gradient'o'j
gradientojn	gradient'o'j'n
gradienton	gradient'o'n
grafa	graf'a
grafo	graf'o
grafoj	graf'o'j
grafon	graf'o'n
grafejo	graf'ej'o
grafidinoj	graf'id'in'o'j
grafino	graf'in'o
graflando	graf'land'o
graflandoj	graf'land'o'j
grafeo	grafe'o
grafeoj	grafe'o'j
grafeojn	grafe'o'j'n
grafeon	grafe'o'n
grafeteorio	grafe'teori'o
grafemo	grafem'o
grafemoj	grafem'o'j
grafeno	grafen'o
grafika	grafik'a
grafikaj	grafik'a'j
grafikajn	grafik'a'j'n
grafikan	grafik'a'n
grafike	grafik'e
grafiko	grafik'o
grafikoj	grafik'o'j
grafikojn	grafik'o'j'n
grafikon	grafik'o'n
grafikaĵo	grafik'aĵ'o
grafikaĵoj	grafik'aĵ'o'j
grafikaĵojn	grafik'aĵ'o'j'n
grafikaĵon	grafik'aĵ'o'n
grafikisto	grafik'ist'o
grafikistoj	grafik'ist'o'j
grafito	grafit'o
grafiton	grafit'o'n
grafitio	grafiti'o
grajno	grajn'o
grajnoj	grajn'o'j
grajnojn	grajn'o'j'n
grajnon	grajn'o'n
grajneca	grajn'ec'a
grajnecaj	grajn'ec'a'j
grajnetoj	grajn'et'o'j
grajngrandeco	grajn'grand'ec'o
gramo	gram'o
gramoj	gram'o'j
gramojn	gram'o'j'n
gramnegativaj	gram'negativ'a'j
grampozitivaj	gram'pozitiv'a'j
gramatika	gramatik'a
gramatikaj	gramatik'a'j
gramatikajn	gramatik'a'j'n
gramatikan	gramatik'a'n
gramatike	gramatik'e
gramatiko	gramatik'o
gramatikoj	gramatik'o'j
gramatikojn	gramatik'o'j'n
gramatikon	gramatik'o'n
gramatikaĵoj	gramatik'aĵ'o'j
gramatikaĵojn	gramatik'aĵ'o'j'n
gramatikigo	gramatik'ig'o
gramatikisto	gramatik'ist'o
gramatikistoj	gramatik'ist'o'j
gramofono	gramofon'o
gramofonon	gramofon'o'n
granato	granat'o
granatoj	granat'o'j
granatojn	granat'o'j'n
granda	grand'a
grandaj	grand'a'j
grandajn	grand'a'j'n
grandan	grand'a'n
grandas	grand'as
grande	grand'e
grandis	grand'is
grando	grand'o
grandoj	grand'o'j
grandojn	grand'o'j'n
grandon	grand'o'n
grandamezure	grand'a'mezur'e
grandaĝa	grand'aĝ'a
grandaĝulo	grand'aĝ'ul'o
grandaĝuloj	grand'aĝ'ul'o'j
grandaĵojn	grand'aĵ'o'j'n
grandampleksa	grand'ampleks'a
grandamplekse	grand'ampleks'e
grandanima	grand'anim'a
grandanimaj	grand'anim'a'j
grandaniman	grand'anim'a'n
grandanime	grand'anim'e
grandanimeco	grand'anim'ec'o
grandanimecon	grand'anim'ec'o'n
grandaparte	grand'apart'e
grandarea	grand'are'a
grandareaj	grand'are'a'j
grandbieno	grand'bien'o
grandbienoj	grand'bien'o'j
grandbienuloj	grand'bien'ul'o'j
grandbritio	grand'brit'i'o
grandcerbo	grand'cerb'o
grandduko	grand'duk'o
granddukejo	grand'duk'ej'o
grandduklando	grand'duk'land'o
grandeco	grand'ec'o
grandecoj	grand'ec'o'j
grandecojn	grand'ec'o'j'n
grandecon	grand'ec'o'n
grandega	grand'eg'a
grandegaj	grand'eg'a'j
grandegajn	grand'eg'a'j'n
grandegan	grand'eg'a'n
grandegas	grand'eg'as
grandege	grand'eg'e
grandegulo	grand'eg'ul'o
grandeguloj	grand'eg'ul'o'j
grandfamilio	grand'famili'o
grandformata	grand'format'a
grandformataj	grand'format'a'j
grandigas	grand'ig'as
grandigi	grand'ig'i
grandigis	grand'ig'is
grandigo	grand'ig'o
grandigos	grand'ig'os
grandiĝas	grand'iĝ'as
grandiĝi	grand'iĝ'i
grandiĝis	grand'iĝ'is
grandiĝo	grand'iĝ'o
grandiĝos	grand'iĝ'os
grandiĝanta	grand'iĝ'ant'a
grandkapa	grand'kap'a
grandkvanta	grand'kvant'a
grandkvante	grand'kvant'e
grandlitere	grand'liter'e
grandmagazeno	grand'magazen'o
grandmagazenoj	grand'magazen'o'j
grandmajstro	grand'majstr'o
grandmajstroj	grand'majstr'o'j
grandmezura	grand'mezur'a
grandmezure	grand'mezur'e
grandmoravia	grand'moravi'a
grandnombra	grand'nombr'a
grandnombraj	grand'nombr'a'j
grandnombrajn	grand'nombr'a'j'n
grandnombran	grand'nombr'a'n
grandnombre	grand'nombr'e
grandnombro	grand'nombr'o
grandnombron	grand'nombr'o'n
grandordo	grand'ord'o
grandparte	grand'part'e
grandparto	grand'part'o
grandparton	grand'part'o'n
grandpaŝe	grand'paŝ'e
grandpersonoj	grand'person'o'j
grandpotenco	grand'potenc'o
grandpotencoj	grand'potenc'o'j
grandprinco	grand'princ'o
grandprinclando	grand'princ'land'o
grandsinjoro	grand'sinjor'o
grandsinjoroj	grand'sinjor'o'j
grandskala	grand'skal'a
grandskalaj	grand'skal'a'j
grandskalajn	grand'skal'a'j'n
grandskalan	grand'skal'a'n
grandskale	grand'skal'e
grandulo	grand'ul'o
granduloj	grand'ul'o'j
grandurba	grand'urb'a
grandurbo	grand'urb'o
grandurboj	grand'urb'o'j
grandurbojn	grand'urb'o'j'n
grandurbon	grand'urb'o'n
grandvalora	grand'valor'a
grandvaloraj	grand'valor'a'j
grandvilaĝo	grand'vilaĝ'o
grandioza	grandioz'a
grandiozaj	grandioz'a'j
grandiozajn	grandioz'a'j'n
grandiozan	grandioz'a'n
grandioze	grandioz'e
grandiozeco	grandioz'ec'o
grandiozecon	grandioz'ec'o'n
granita	granit'a
granitaj	granit'a'j
granitan	granit'a'n
granito	granit'o
graniton	granit'o'n
grapfruktoj	grapfrukt'o'j
grapolo	grapol'o
grapoloj	grapol'o'j
grapolbomboj	grapol'bomb'o'j
grasa	gras'a
grasaj	gras'a'j
grasajn	gras'a'j'n
grasan	gras'a'n
grasas	gras'as
grase	gras'e
graso	gras'o
grasoj	gras'o'j
grasojn	gras'o'j'n
grason	gras'o'n
grasos	gras'os
grasacido	gras'acid'o
grasacidoj	gras'acid'o'j
grasacidojn	gras'acid'o'j'n
grasaĵo	gras'aĵ'o
grasaĵoj	gras'aĵ'o'j
grasegaj	gras'eg'a'j
graseta	gras'et'a
grashisto	gras'hist'o
grasigas	gras'ig'as
grasigi	gras'ig'i
grasiĝas	gras'iĝ'as
grata	grat'a
gratas	grat'as
grati	grat'i
gratis	grat'is
gratu	grat'u
gratado	grat'ad'o
gratante	grat'ant'e
gratita	grat'it'a
gratitaj	grat'it'a'j
gratvundeto	grat'vund'et'o
gratvundetoj	grat'vund'et'o'j
gratifiko	gratifik'o
gratifikoj	gratifik'o'j
gratifikojn	gratifik'o'j'n
gratifikon	gratifik'o'n
gratula	gratul'a
gratulajn	gratul'a'j'n
gratulan	gratul'a'n
gratulas	gratul'as
gratuli	gratul'i
gratulis	gratul'is
gratulo	gratul'o
gratuloj	gratul'o'j
gratulojn	gratul'o'j'n
gratulon	gratul'o'n
gratulu	gratul'u
gratulante	gratul'ant'e
gratulantoj	gratul'ant'o'j
gratulinda	gratul'ind'a
graŭlis	graŭl'is
grava	grav'a
gravaj	grav'a'j
gravajn	grav'a'j'n
gravan	grav'a'n
gravas	grav'as
grave	grav'e
gravi	grav'i
gravis	grav'is
gravo	grav'o
gravon	grav'o'n
gravos	grav'os
gravus	grav'us
gravaĵo	grav'aĵ'o
gravaĵoj	grav'aĵ'o'j
gravakcento	grav'akcent'o
graveco	grav'ec'o
gravecon	grav'ec'o'n
gravega	grav'eg'a
gravegaj	grav'eg'a'j
gravegajn	grav'eg'a'j'n
gravegan	grav'eg'a'n
gravegas	grav'eg'as
gravege	grav'eg'e
gravegis	grav'eg'is
gravejoj	grav'ej'o'j
gravigas	grav'ig'as
graviĝis	grav'iĝ'is
gravita	grav'it'a
gravitaj	grav'it'a'j
gravitajn	grav'it'a'j'n
gravitan	grav'it'a'n
gravitas	grav'it'as
gravite	grav'it'e
gravitis	grav'it'is
gravmiena	grav'mien'a
gravmienaj	grav'mien'a'j
gravmienan	grav'mien'a'n
gravmiene	grav'mien'e
gravulo	grav'ul'o
gravuloj	grav'ul'o'j
gravulojn	grav'ul'o'j'n
gravulon	grav'ul'o'n
graveda	graved'a
gravedaj	graved'a'j
gravedajn	graved'a'j'n
gravedan	graved'a'n
gravedas	graved'as
gravedo	graved'o
gravedeca	graved'ec'a
gravedeco	graved'ec'o
gravedecoj	graved'ec'o'j
gravedecon	graved'ec'o'n
gravedecperiodo	graved'ec'period'o
gravedigis	graved'ig'is
gravedigo	graved'ig'o
gravediĝas	graved'iĝ'as
gravediĝi	graved'iĝ'i
gravediĝis	graved'iĝ'is
gravediĝo	graved'iĝ'o
gravediĝon	graved'iĝ'o'n
gravedulino	graved'ul'in'o
gravedulinoj	graved'ul'in'o'j
gravita	gravit'a
gravitaj	gravit'a'j
gravitajn	gravit'a'j'n
gravitan	gravit'a'n
gravitas	gravit'as
gravite	gravit'e
gravitis	gravit'is
gravito	gravit'o
graviton	gravit'o'n
gravitado	gravit'ad'o
gravitforto	gravit'fort'o
gravitkampo	gravit'kamp'o
gravuraj	gravur'a'j
gravuras	gravur'as
gravuri	gravur'i
gravuris	gravur'is
gravurado	gravur'ad'o
gravuraĵo	gravur'aĵ'o
gravuraĵoj	gravur'aĵ'o'j
gravuraĵojn	gravur'aĵ'o'j'n
gravuraĵon	gravur'aĵ'o'n
gravuriĝis	gravur'iĝ'is
gravurilo	gravur'il'o
gravuristo	gravur'ist'o
gravuristoj	gravur'ist'o'j
gravurita	gravur'it'a
gravuritaj	gravur'it'a'j
gravuritajn	gravur'it'a'j'n
gravuritan	gravur'it'a'n
grebo	greb'o
greboj	greb'o'j
greftas	greft'as
grefto	greft'o
greftado	greft'ad'o
grego	greg'o
gregoj	greg'o'j
gregojn	greg'o'j'n
gregon	greg'o'n
gregaro	greg'ar'o
gregema	greg'em'a
gregemaj	greg'em'a'j
gregiga	greg'ig'a
gregoria	gregori'a
gregorian	gregori'a'n
gregorio	gregori'o
grejso	grejs'o
grejsoj	grejs'o'j
greka	grek'a
grekaj	grek'a'j
grekajn	grek'a'j'n
grekan	grek'a'n
greke	grek'e
greko	grek'o
grekoj	grek'o'j
grekojn	grek'o'j'n
grekon	grek'o'n
grekalatina	grek'a'latin'a
grekdevena	grek'de'ven'a
grekia	grek'i'a
grekio	grek'i'o
grekion	grek'i'o'n
grekkatolika	grek'katolik'a
greklando	grek'land'o
greklingva	grek'lingv'a
grekoromia	grek'o'romi'a
grekparolanta	grek'parol'ant'a
grekromia	grek'romi'a
grekujo	grek'uj'o
grekuloj	grek'ul'o'j
grena	gren'a
grenaj	gren'a'j
grenan	gren'a'n
greno	gren'o
grenoj	gren'o'j
grenojn	gren'o'j'n
grenon	gren'o'n
grenejo	gren'ej'o
grenejoj	gren'ej'o'j
grenejon	gren'ej'o'n
grenkampo	gren'kamp'o
grenkampoj	gren'kamp'o'j
grenlando	gren'land'o
grenlimoj	gren'lim'o'j
grenprezoj	gren'prez'o'j
grenproduktado	gren'produkt'ad'o
grenrikolto	gren'rikolt'o
grenrikoltoj	gren'rikolt'o'j
grenada	grenad'a
grenado	grenad'o
grenadoj	grenad'o'j
grenadojn	grenad'o'j'n
grenadistoj	grenad'ist'o'j
grenoble	grenobl'e
grenoblo	grenobl'o
greso	gres'o
gresoj	gres'o'j
greson	gres'o'n
grio	gri'o
grifo	grif'o
grifoj	grif'o'j
grifelo	grifel'o
grifelon	grifel'o'n
grilo	gril'o
griloj	gril'o'j
grimacas	grimac'as
grimacis	grimac'is
grimaco	grimac'o
grimacoj	grimac'o'j
grimacojn	grimac'o'j'n
grimacon	grimac'o'n
grimpas	grimp'as
grimpi	grimp'i
grimpis	grimp'is
grimpo	grimp'o
grimpos	grimp'os
grimpu	grimp'u
grimpado	grimp'ad'o
grimpadoj	grimp'ad'o'j
grimpadon	grimp'ad'o'n
grimpanta	grimp'ant'a
grimpantaj	grimp'ant'a'j
grimpante	grimp'ant'e
grimpinte	grimp'int'e
grimpisto	grimp'ist'o
grimpoplantoj	grimp'o'plant'o'j
grimpplantoj	grimp'plant'o'j
grimpulo	grimp'ul'o
grimpuloj	grimp'ul'o'j
grincas	grinc'as
grincis	grinc'is
grinco	grinc'o
grincado	grinc'ad'o
grincadoj	grinc'ad'o'j
grincigis	grinc'ig'is
griotoj	griot'o'j
gripa	grip'a
gripaj	grip'a'j
gripo	grip'o
gripon	grip'o'n
gripvirusoj	grip'virus'o'j
griza	griz'a
grizaj	griz'a'j
grizajn	griz'a'j'n
grizan	griz'a'n
grizas	griz'as
grize	griz'e
grizo	griz'o
grizon	griz'o'n
grizblanka	griz'blank'a
grizblankaj	griz'blank'a'j
grizblua	griz'blu'a
grizbruna	griz'brun'a
grizbrunaj	griz'brun'a'j
grizbrunan	griz'brun'a'n
grizeca	griz'ec'a
grizecaj	griz'ec'a'j
grizecajn	griz'ec'a'j'n
grizecan	griz'ec'a'n
grizeco	griz'ec'o
grizecbruna	griz'ec'brun'a
grizecbrunaj	griz'ec'brun'a'j
grizeta	griz'et'a
grizhara	griz'har'a
griziĝas	griz'iĝ'as
griziĝis	griz'iĝ'is
grizkapa	griz'kap'a
grizkolora	griz'kolor'a
griznigraj	griz'nigr'a'j
grizverda	griz'verd'a
grizono	grizon'o
gropo	grop'o
groso	gros'o
grosoj	gros'o'j
groŝo	groŝ'o
groŝoj	groŝ'o'j
groŝojn	groŝ'o'j'n
groŝon	groŝ'o'n
groŝmono	groŝ'mon'o
groŝmonoj	groŝ'mon'o'j
groto	grot'o
grotoj	grot'o'j
groton	grot'o'n
grotaro	grot'ar'o
groteska	grotesk'a
groteskaj	grotesk'a'j
groteskajn	grotesk'a'j'n
groteskan	grotesk'a'n
groteske	grotesk'e
gruo	gru'o
gruoj	gru'o'j
gruojn	gru'o'j'n
gruon	gru'o'n
grumbla	grumbl'a
grumblas	grumbl'as
grumble	grumbl'e
grumbli	grumbl'i
grumblis	grumbl'is
grumblo	grumbl'o
grumbloj	grumbl'o'j
grumblon	grumbl'o'n
grumblu	grumbl'u
grumblado	grumbl'ad'o
grumblante	grumbl'ant'e
grumblema	grumbl'em'a
grunda	grund'a
grundaj	grund'a'j
grundajn	grund'a'j'n
grundan	grund'a'n
grundis	grund'is
grundo	grund'o
grundoj	grund'o'j
grundojn	grund'o'j'n
grundon	grund'o'n
grundakva	grund'akv'a
grundakvo	grund'akv'o
grundakvoj	grund'akv'o'j
grundakvon	grund'akv'o'n
grundbazita	grund'baz'it'a
grundbazitaj	grund'baz'it'a'j
grunderozio	grund'erozi'o
grundfekundeco	grund'fekund'ec'o
grundnivelo	grund'nivel'o
grundostacio	grund'o'staci'o
grundostacioj	grund'o'staci'o'j
grundotipoj	grund'o'tip'o'j
grundsurfaco	grund'surfac'o
gruntas	grunt'as
gruntis	grunt'is
gruntoj	grunt'o'j
gruntado	grunt'ad'o
gruntbovo	grunt'bov'o
gruntbovoj	grunt'bov'o'j
grupa	grup'a
grupaj	grup'a'j
grupajn	grup'a'j'n
grupan	grup'a'n
grupe	grup'e
grupo	grup'o
grupoj	grup'o'j
grupojn	grup'o'j'n
grupon	grup'o'n
grupano	grup'an'o
grupanoj	grup'an'o'j
grupanojn	grup'an'o'j'n
grupestro	grup'estr'o
grupeto	grup'et'o
grupetoj	grup'et'o'j
grupetojn	grup'et'o'j'n
grupeton	grup'et'o'n
grupigas	grup'ig'as
grupigi	grup'ig'i
grupigis	grup'ig'is
grupigo	grup'ig'o
grupigon	grup'ig'o'n
grupigante	grup'ig'ant'e
grupigita	grup'ig'it'a
grupigitaj	grup'ig'it'a'j
grupiĝas	grup'iĝ'as
grupiĝis	grup'iĝ'is
grupiĝo	grup'iĝ'o
grupiĝoj	grup'iĝ'o'j
grupiĝojn	grup'iĝ'o'j'n
grupiĝon	grup'iĝ'o'n
grupiĝintaj	grup'iĝ'int'a'j
grupstrukturo	grup'struktur'o
gruza	gruz'a
gruzo	gruz'o
gruzon	gruz'o'n
guano	guan'o
guantanamo	guantanam'o
gubernatoro	gubernator'o
gubernia	guberni'a
guberniaj	guberni'a'j
gubernio	guberni'o
gubernioj	guberni'o'j
guberniojn	guberni'o'j'n
gubernion	guberni'o'n
guberniestro	guberni'estr'o
guberniestroj	guberni'estr'o'j
guberniestrojn	guberni'estr'o'j'n
guberniestron	guberni'estr'o'n
guberniestreco	guberni'estr'ec'o
gudro	gudr'o
gufo	guf'o
gufoj	guf'o'j
gufujo	guf'uj'o
gujano	gujan'o
gujavo	gujav'o
gulo	gul'o
guloj	gul'o'j
gulago	gulag'o
gulagoj	gulag'o'j
gulaŝo	gulaŝ'o
guldeno	gulden'o
guldenoj	gulden'o'j
guldenojn	gulden'o'j'n
guma	gum'a
gumo	gum'o
gumoj	gum'o'j
gumon	gum'o'n
guruo	guru'o
guruoj	guru'o'j
guruon	guru'o'n
gusta	gust'a
gustas	gust'as
guste	gust'e
gusti	gust'i
gustis	gust'is
gusto	gust'o
gustoj	gust'o'j
gustojn	gust'o'j'n
guston	gust'o'n
gustos	gust'os
gustiga	gust'ig'a
gustigagento	gust'ig'agent'o
gustigilo	gust'ig'il'o
gustoplena	gust'o'plen'a
gustoplenaj	gust'o'plen'a'j
gustumas	gust'um'as
gustumi	gust'um'i
gustumis	gust'um'is
gustumo	gust'um'o
gustumos	gust'um'os
gustumu	gust'um'u
gustumado	gust'um'ad'o
gustumante	gust'um'ant'e
gustave	gustav'e
gustavo	gustav'o
guŝo	guŝ'o
guŝoj	guŝ'o'j
guŝojn	guŝ'o'j'n
gutas	gut'as
gute	gut'e
gutis	gut'is
guto	gut'o
gutoj	gut'o'j
gutojn	gut'o'j'n
guton	gut'o'n
gutanta	gut'ant'a
gutetis	gut'et'is
guteto	gut'et'o
gutetoj	gut'et'o'j
gutetojn	gut'et'o'j'n
guteton	gut'et'o'n
guturala	gutural'a
guvernisto	guvern'ist'o
guvernistino	guvern'ist'in'o
gvadelupo	gvadelup'o
gvamo	gvam'o
gvardio	gvardi'o
gvardioj	gvardi'o'j
gvardion	gvardi'o'n
gvardianoj	gvardi'an'o'j
gvatas	gvat'as
gvati	gvat'i
gvatis	gvat'is
gvatado	gvat'ad'o
gvatadon	gvat'ad'o'n
gvatante	gvat'ant'e
gvatejo	gvat'ej'o
gvatnesto	gvat'nest'o
gvatturo	gvat'tur'o
gvattureto	gvat'tur'et'o
gvatturetoj	gvat'tur'et'o'j
gvatemala	gvatemal'a
gvatemalo	gvatemal'o
gvida	gvid'a
gvidaj	gvid'a'j
gvidajn	gvid'a'j'n
gvidan	gvid'a'n
gvidas	gvid'as
gvide	gvid'e
gvidi	gvid'i
gvidis	gvid'is
gvido	gvid'o
gvidon	gvid'o'n
gvidos	gvid'os
gvidu	gvid'u
gvidus	gvid'us
gvidado	gvid'ad'o
gvidadoj	gvid'ad'o'j
gvidadon	gvid'ad'o'n
gvidanta	gvid'ant'a
gvidantaj	gvid'ant'a'j
gvidantajn	gvid'ant'a'j'n
gvidantan	gvid'ant'a'n
gvidante	gvid'ant'e
gvidanto	gvid'ant'o
gvidantoj	gvid'ant'o'j
gvidantojn	gvid'ant'o'j'n
gvidanton	gvid'ant'o'n
gvidantaro	gvid'ant'ar'o
gvidantaron	gvid'ant'ar'o'n
gvidantino	gvid'ant'in'o
gvidata	gvid'at'a
gvidataj	gvid'at'a'j
gvidatajn	gvid'at'a'j'n
gvidatan	gvid'at'a'n
gvidate	gvid'at'e
gvidilo	gvid'il'o
gvidiloj	gvid'il'o'j
gvidilojn	gvid'il'o'j'n
gvidilon	gvid'il'o'n
gvidisto	gvid'ist'o
gvidistoj	gvid'ist'o'j
gvidistojn	gvid'ist'o'j'n
gvidiston	gvid'ist'o'n
gvidita	gvid'it'a
gviditaj	gvid'it'a'j
gviditajn	gvid'it'a'j'n
gviditan	gvid'it'a'n
gvidite	gvid'it'e
gvidlibro	gvid'libr'o
gvidlibroj	gvid'libr'o'j
gvidlibrojn	gvid'libr'o'j'n
gvidlibron	gvid'libr'o'n
gvidlinio	gvid'lini'o
gvidlinioj	gvid'lini'o'j
gvidliniojn	gvid'lini'o'j'n
gvidlinion	gvid'lini'o'n
gvidorganoj	gvid'organ'o'j
gvidota	gvid'ot'a
gvidrezolucio	gvid'rezoluci'o
gvidrolon	gvid'rol'o'n
gvidsistemo	gvid'sistem'o
gvinea	gvine'a
gvineo	gvine'o
