avorta	a'vort'a
akciojn	akci'o'j'n
akcion	akci'o'n
akciaro	akci'ar'o
akciofirmaoj	akci'o'firma'o'j
akcioinformo	akci'o'inform'o
akciulo	akci'ul'o
akciuloj	akci'ul'o'j
akciulojn	akci'ul'o'j'n
akcidenta	akcident'a
akcidente	akcident'e
akcidento	akcident'o
akcidentoj	akcident'o'j
akcidentojn	akcident'o'j'n
akcidenton	akcident'o'n
akcipitro	akcipitr'o
akcipitroj	akcipitr'o'j
akcipitredoj	akcipitr'ed'o'j
akcizo	akciz'o
akĉento	akĉent'o
akĉentoj	akĉent'o'j
akĉentojn	akĉent'o'j'n
akĉenton	akĉent'o'n
akean	ake'a'n
akeo	ake'o
akeno	aken'o
akira	akir'a
akiras	akir'as
akiri	akir'i
akiris	akir'is
akiro	akir'o
akiroj	akir'o'j
akirojn	akir'o'j'n
akiron	akir'o'n
akiros	akir'os
akiru	akir'u
akirus	akir'us
akirado	akir'ad'o
akiradon	akir'ad'o'n
akiraĵo	akir'aĵ'o
akiraĵon	akir'aĵ'o'n
akiranta	akir'ant'a
akirantaj	akir'ant'a'j
akirante	akir'ant'e
akiranto	akir'ant'o
akirebla	akir'ebl'a
akireblaj	akir'ebl'a'j
akireblas	akir'ebl'as
akiriĝas	akir'iĝ'as
akirinta	akir'int'a
akirintaj	akir'int'a'j
akirinte	akir'int'e
akirita	akir'it'a
akiritaj	akir'it'a'j
akiritajn	akir'it'a'j'n
akiritan	akir'it'a'n
akirite	akir'it'e
aklamas	aklam'as
aklamis	aklam'is
aklamo	aklam'o
aklamado	aklam'ad'o
aklamita	aklam'it'a
aklamitaj	aklam'it'a'j
akno	akn'o
aknoj	akn'o'j
akolito	akolit'o
akolitoj	akolit'o'j
akomodas	akomod'as
akomodi	akomod'i
akomodo	akomod'o
akomodiĝas	akomod'iĝ'as
akomodiĝi	akomod'iĝ'i
akompana	akompan'a
akompanaj	akompan'a'j
akompanan	akompan'a'n
akompanas	akompan'as
akompane	akompan'e
akompani	akompan'i
akompanis	akompan'is
akompano	akompan'o
akompanoj	akompan'o'j
akompanon	akompan'o'n
akompanos	akompan'os
akompanu	akompan'u
akompanus	akompan'us
akompanadis	akompan'ad'is
akompanado	akompan'ad'o
akompananta	akompan'ant'a
akompanantaj	akompan'ant'a'j
akompanante	akompan'ant'e
akompananto	akompan'ant'o
akompanantoj	akompan'ant'o'j
akompanantojn	akompan'ant'o'j'n
akompananton	akompan'ant'o'n
akompanantaro	akompan'ant'ar'o
akompanantino	akompan'ant'in'o
akompanata	akompan'at'a
akompanataj	akompan'at'a'j
akompanate	akompan'at'e
akompanita	akompan'it'a
akompanitaj	akompan'it'a'j
akompanitajn	akompan'it'a'j'n
akompanite	akompan'it'e
akorda	akord'a
akordaj	akord'a'j
akordan	akord'a'n
akordas	akord'as
akorde	akord'e
akordi	akord'i
akordis	akord'is
akordo	akord'o
akordoj	akord'o'j
akordojn	akord'o'j'n
akordon	akord'o'n
akordigas	akord'ig'as
akordigi	akord'ig'i
akordigis	akord'ig'is
akordigo	akord'ig'o
akordigon	akord'ig'o'n
akordigado	akord'ig'ad'o
akordigebla	akord'ig'ebl'a
akordigeblaj	akord'ig'ebl'a'j
akordigita	akord'ig'it'a
akordigitaj	akord'ig'it'a'j
akordiĝas	akord'iĝ'as
akordiĝi	akord'iĝ'i
akordiĝis	akord'iĝ'is
akordiĝo	akord'iĝ'o
akordiĝos	akord'iĝ'os
akordiĝema	akord'iĝ'em'a
akordiono	akordion'o
akordionon	akordion'o'n
akra	akr'a
akraj	akr'a'j
akrajn	akr'a'j'n
akran	akr'a'n
akras	akr'as
akre	akr'e
akreco	akr'ec'o
akrecon	akr'ec'o'n
akrega	akr'eg'a
akregaj	akr'eg'a'j
akrigas	akr'ig'as
akrigi	akr'ig'i
akrigis	akr'ig'is
akrigo	akr'ig'o
akrigos	akr'ig'os
akrigita	akr'ig'it'a
akrigitaj	akr'ig'it'a'j
akrigitan	akr'ig'it'a'n
akriĝas	akr'iĝ'as
akriĝis	akr'iĝ'is
akreo	akre'o
akreoj	akre'o'j
akreditas	akredit'as
akreditis	akredit'is
akredito	akredit'o
akrediton	akredit'o'n
akreditaĵoj	akredit'aĵ'o'j
akreditaĵojn	akredit'aĵ'o'j'n
akreditita	akredit'it'a
akredititaj	akredit'it'a'j
akrido	akrid'o
akridoj	akrid'o'j
akridojn	akrid'o'j'n
akrobata	akrobat'a
akrobataj	akrobat'a'j
akrobatan	akrobat'a'n
akrobato	akrobat'o
akrobatoj	akrobat'o'j
akrobataĵo	akrobat'aĵ'o
akrobataĵoj	akrobat'aĵ'o'j
akrobataĵojn	akrobat'aĵ'o'j'n
akrobataĵon	akrobat'aĵ'o'n
akronimo	akronim'o
akronimoj	akronim'o'j
akropolo	akropol'o
akropolon	akropol'o'n
aksa	aks'a
aksaj	aks'a'j
aksajn	aks'a'j'n
aksan	aks'a'n
akse	aks'e
akso	aks'o
aksoj	aks'o'j
aksojn	aks'o'j'n
akson	aks'o'n
aksela	aksel'a
akselo	aksel'o
akseloj	aksel'o'j
aksioma	aksiom'a
aksiomo	aksiom'o
aksiomoj	aksiom'o'j
aksiomojn	aksiom'o'j'n
aksiomon	aksiom'o'n
aksono	akson'o
aksonoj	akson'o'j
akto	akt'o
aktoj	akt'o'j
aktojn	akt'o'j'n
akton	akt'o'n
aktisto	akt'ist'o
aktujo	akt'uj'o
aktiva	aktiv'a
aktivaj	aktiv'a'j
aktivajn	aktiv'a'j'n
aktivan	aktiv'a'n
aktivas	aktiv'as
aktive	aktiv'e
aktivi	aktiv'i
aktivis	aktiv'is
aktivo	aktiv'o
aktivoj	aktiv'o'j
aktivojn	aktiv'o'j'n
aktivos	aktiv'os
aktivadas	aktiv'ad'as
aktivadi	aktiv'ad'i
aktivadis	aktiv'ad'is
aktivado	aktiv'ad'o
aktivadoj	aktiv'ad'o'j
aktivadojn	aktiv'ad'o'j'n
aktivadon	aktiv'ad'o'n
aktivaĵo	aktiv'aĵ'o
aktivaĵoj	aktiv'aĵ'o'j
aktivaĵojn	aktiv'aĵ'o'j'n
aktivaĵon	aktiv'aĵ'o'n
aktiveco	aktiv'ec'o
aktivecoj	aktiv'ec'o'j
aktivecojn	aktiv'ec'o'j'n
aktivecon	aktiv'ec'o'n
aktiviga	aktiv'ig'a
aktivigas	aktiv'ig'as
aktivigi	aktiv'ig'i
aktivigis	aktiv'ig'is
aktivigo	aktiv'ig'o
aktivigon	aktiv'ig'o'n
aktivigu	aktiv'ig'u
aktivigante	aktiv'ig'ant'e
aktivigantoj	aktiv'ig'ant'o'j
aktivigita	aktiv'ig'it'a
aktivigitaj	aktiv'ig'it'a'j
aktivigitan	aktiv'ig'it'a'n
aktivigite	aktiv'ig'it'e
aktiviĝas	aktiv'iĝ'as
aktiviĝis	aktiv'iĝ'is
aktiviĝo	aktiv'iĝ'o
aktivismo	aktiv'ism'o
aktivismon	aktiv'ism'o'n
aktivisto	aktiv'ist'o
aktivistoj	aktiv'ist'o'j
aktivula	aktiv'ul'a
aktivulo	aktiv'ul'o
aktivuloj	aktiv'ul'o'j
aktivulojn	aktiv'ul'o'j'n
aktivulon	aktiv'ul'o'n
aktivulgrupoj	aktiv'ul'grup'o'j
aktivulino	aktiv'ul'in'o
aktora	aktor'a
aktoran	aktor'a'n
aktoras	aktor'as
aktori	aktor'i
aktoris	aktor'is
aktoro	aktor'o
aktoroj	aktor'o'j
aktorojn	aktor'o'j'n
aktoron	aktor'o'n
aktorado	aktor'ad'o
aktoradon	aktor'ad'o'n
aktoraro	aktor'ar'o
aktoraroj	aktor'ar'o'j
aktorino	aktor'in'o
aktorinoj	aktor'in'o'j
aktorinojn	aktor'in'o'j'n
aktorinon	aktor'in'o'n
aktuala	aktual'a
aktualaj	aktual'a'j
aktualajn	aktual'a'j'n
aktualan	aktual'a'n
aktualas	aktual'as
aktuale	aktual'e
aktualo	aktual'o
aktualaĵoj	aktual'aĵ'o'j
aktualaĵojn	aktual'aĵ'o'j'n
aktualeco	aktual'ec'o
aktualecon	aktual'ec'o'n
aktualigas	aktual'ig'as
aktualigi	aktual'ig'i
aktualigis	aktual'ig'is
aktualigo	aktual'ig'o
aktualigata	aktual'ig'at'a
aktualigita	aktual'ig'it'a
aktualigitaj	aktual'ig'it'a'j
akumula	akumul'a
akumulaj	akumul'a'j
akumulan	akumul'a'n
akumulas	akumul'as
akumuli	akumul'i
akumulis	akumul'is
akumulo	akumul'o
akumulado	akumul'ad'o
akumulatoro	akumul'ator'o
akumulatoroj	akumul'ator'o'j
akumulatoron	akumul'ator'o'n
akumuligita	akumul'ig'it'a
akumuligitaj	akumul'ig'it'a'j
akumuligitan	akumul'ig'it'a'n
akumuliĝas	akumul'iĝ'as
akumuliĝi	akumul'iĝ'i
akumuliĝis	akumul'iĝ'is
akumuliĝo	akumul'iĝ'o
akumulilo	akumul'il'o
akumuliloj	akumul'il'o'j
akumulilon	akumul'il'o'n
akumulita	akumul'it'a
akumulitaj	akumul'it'a'j
akupunkturo	akupunktur'o
akurata	akurat'a
akurataj	akurat'a'j
akuratajn	akurat'a'j'n
akuratan	akurat'a'n
akuratas	akurat'as
akurate	akurat'e
akurateco	akurat'ec'o
akuratecon	akurat'ec'o'n
akustika	akustik'a
akustikaj	akustik'a'j
akustikajn	akustik'a'j'n
akustikan	akustik'a'n
akustike	akustik'e
akustiko	akustik'o
akustikon	akustik'o'n
akuŝis	akuŝ'is
akuŝo	akuŝ'o
akuŝon	akuŝ'o'n
akuŝejo	akuŝ'ej'o
akuŝigis	akuŝ'ig'is
akuŝistino	akuŝ'ist'in'o
akuŝistinoj	akuŝ'ist'in'o'j
akuta	akut'a
akutaj	akut'a'j
akutajn	akut'a'j'n
akutan	akut'a'n
akute	akut'e
akuzaj	akuz'a'j
akuzas	akuz'as
akuzi	akuz'i
akuzis	akuz'is
akuzo	akuz'o
akuzoj	akuz'o'j
akuzojn	akuz'o'j'n
akuzon	akuz'o'n
akuzos	akuz'os
akuzu	akuz'u
akuzus	akuz'us
akuzado	akuz'ad'o
akuzanta	akuz'ant'a
akuzante	akuz'ant'e
akuzanto	akuz'ant'o
akuzantoj	akuz'ant'o'j
akuzanton	akuz'ant'o'n
akuzata	akuz'at'a
akuzataj	akuz'at'a'j
akuzato	akuz'at'o
akuzita	akuz'it'a
akuzitaj	akuz'it'a'j
akuzito	akuz'it'o
akuzitoj	akuz'it'o'j
akuzitojn	akuz'it'o'j'n
akuziton	akuz'it'o'n
akuzativa	akuzativ'a
akuzativaj	akuzativ'a'j
akuzativan	akuzativ'a'n
akuzativo	akuzativ'o
akuzativoj	akuzativ'o'j
akuzativon	akuzativ'o'n
akva	akv'a
akvaj	akv'a'j
akvajn	akv'a'j'n
akvan	akv'a'n
akve	akv'e
akvi	akv'i
akvo	akv'o
akvoj	akv'o'j
akvojn	akv'o'j'n
akvon	akv'o'n
akvaro	akv'ar'o
akveca	akv'ec'a
akvecan	akv'ec'a'n
akveja	akv'ej'a
akvejo	akv'ej'o
akvejoj	akv'ej'o'j
akveroj	akv'er'o'j
akvujo	akv'uj'o
akvujoj	akv'uj'o'j
akvujon	akv'uj'o'n
akvumas	akv'um'as
akvumi	akv'um'i
akvumis	akv'um'is
akvumos	akv'um'os
akvumu	akv'um'u
aldona	al'don'a
aldonaj	al'don'a'j
aldonajn	al'don'a'j'n
aldonan	al'don'a'n
aldonas	al'don'as
aldone	al'don'e
aldoni	al'don'i
aldonis	al'don'is
aldono	al'don'o
aldonoj	al'don'o'j
aldonojn	al'don'o'j'n
aldonon	al'don'o'n
aldonos	al'don'os
aldonu	al'don'u
aldonus	al'don'us
altiradis	al'tir'ad'is
altirado	al'tir'ad'o
altiranta	al'tir'ant'a
altirante	al'tir'ant'e
altirata	al'tir'at'a
altirataj	al'tir'at'a'j
altranĉado	al'tranĉ'ad'o
altrudata	al'trud'at'a
altrudita	al'trud'it'a
altruditaj	al'trud'it'a'j
alvenadis	al'ven'ad'is
alvenado	al'ven'ad'o
alvenanta	al'ven'ant'a
alvenantaj	al'ven'ant'a'j
alvenantajn	al'ven'ant'a'j'n
alvenantan	al'ven'ant'a'n
alvenante	al'ven'ant'e
alvenanto	al'ven'ant'o
alvenantoj	al'ven'ant'o'j
alvenigas	al'ven'ig'as
alvenigi	al'ven'ig'i
alvenigis	al'ven'ig'is
alveninta	al'ven'int'a
alvenintaj	al'ven'int'a'j
alvenintajn	al'ven'int'a'j'n
alveninte	al'ven'int'e
alveninto	al'ven'int'o
alvenintoj	al'ven'int'o'j
alvenintojn	al'ven'int'o'j'n
alvenita	al'ven'it'a
alvenitaj	al'ven'it'a'j
alvenonta	al'ven'ont'a
alvenontaj	al'ven'ont'a'j
alveturigi	al'vetur'ig'i
alveturigis	al'vetur'ig'is
alvojaĝanta	al'vojaĝ'ant'a
alvojaĝantaj	al'vojaĝ'ant'a'j
alvokado	al'vok'ad'o
alvokadoj	al'vok'ad'o'j
alvokanta	al'vok'ant'a
alvokante	al'vok'ant'e
alvokanto	al'vok'ant'o
alvokantoj	al'vok'ant'o'j
alvokata	al'vok'at'a
alvokataj	al'vok'at'a'j
alvokiĝo	al'vok'iĝ'o
alvokiĝon	al'vok'iĝ'o'n
alvokita	al'vok'it'a
alvokitaj	al'vok'it'a'j
alvokite	al'vok'it'e
alica	alic'a
alico	alic'o
alicon	alic'o'n
amura	amur'a
amuro	amur'o
anjo	anj'o
anjon	anj'o'n
antaŭ	antaŭ
antaŭa	antaŭ'a
antaŭaj	antaŭ'a'j
antaŭajn	antaŭ'a'j'n
antaŭan	antaŭ'a'n
antaŭas	antaŭ'as
antaŭe	antaŭ'e
antaŭen	antaŭ'e'n
antaŭhieraŭ	antaŭ'hieraŭ
antaŭi	antaŭ'i
antaŭis	antaŭ'is
antaŭo	antaŭ'o
antaŭon	antaŭ'o'n
antaŭu	antaŭ'u
antaŭaĵo	antaŭ'aĵ'o
antaŭaĵoj	antaŭ'aĵ'o'j
antaŭanoncas	antaŭ'anonc'as
antaŭanoncis	antaŭ'anonc'is
antaŭanta	antaŭ'ant'a
antaŭantaj	antaŭ'ant'a'j
antaŭante	antaŭ'ant'e
antaŭanto	antaŭ'ant'o
antaŭantoj	antaŭ'ant'o'j
antaŭata	antaŭ'at'a
antaŭdankas	antaŭ'dank'as
antaŭdankon	antaŭ'dank'o'n
antaŭdecidita	antaŭ'decid'it'a
antaŭdiras	antaŭ'dir'as
antaŭdiri	antaŭ'dir'i
antaŭdiris	antaŭ'dir'is
antaŭdiro	antaŭ'dir'o
antaŭdiroj	antaŭ'dir'o'j
antaŭdirojn	antaŭ'dir'o'j'n
antaŭdiron	antaŭ'dir'o'n
antaŭdirus	antaŭ'dir'us
antaŭdirado	antaŭ'dir'ad'o
antaŭdirante	antaŭ'dir'ant'e
antaŭdiristo	antaŭ'dir'ist'o
antaŭdirita	antaŭ'dir'it'a
antaŭdiritaj	antaŭ'dir'it'a'j
antaŭdirite	antaŭ'dir'it'e
antaŭenira	antaŭ'e'n'ir'a
antaŭeniras	antaŭ'e'n'ir'as
antaŭeniri	antaŭ'e'n'ir'i
antaŭeniris	antaŭ'e'n'ir'is
antaŭeniro	antaŭ'e'n'ir'o
antaŭeniron	antaŭ'e'n'ir'o'n
antaŭeniros	antaŭ'e'n'ir'os
antaŭeniru	antaŭ'e'n'ir'u
antaŭenkuras	antaŭ'e'n'kur'as
antaŭenkuris	antaŭ'e'n'kur'is
antaŭenmarŝo	antaŭ'e'n'marŝ'o
antaŭenmarŝon	antaŭ'e'n'marŝ'o'n
antaŭĝojas	antaŭ'ĝoj'as
antaŭĝojis	antaŭ'ĝoj'is
antaŭĝojo	antaŭ'ĝoj'o
antaŭĝuas	antaŭ'ĝu'as
antaŭĝuis	antaŭ'ĝu'is
antaŭiras	antaŭ'ir'as
antaŭiri	antaŭ'ir'i
antaŭiris	antaŭ'ir'is
antaŭita	antaŭ'it'a
antaŭitaj	antaŭ'it'a'j
antaŭjuĝa	antaŭ'juĝ'a
antaŭjuĝo	antaŭ'juĝ'o
antaŭjuĝoj	antaŭ'juĝ'o'j
antaŭjuĝojn	antaŭ'juĝ'o'j'n
antaŭjuĝon	antaŭ'juĝ'o'n
antaŭkalkuli	antaŭ'kalkul'i
antaŭkalkulis	antaŭ'kalkul'is
antaŭkalkulo	antaŭ'kalkul'o
antaŭkalkulon	antaŭ'kalkul'o'n
antaŭkongreso	antaŭ'kongres'o
antaŭkongresoj	antaŭ'kongres'o'j
antaŭpagi	antaŭ'pag'i
antaŭpagis	antaŭ'pag'is
antaŭpago	antaŭ'pag'o
antaŭpagon	antaŭ'pag'o'n
antaŭparolo	antaŭ'parol'o
antaŭparoloj	antaŭ'parol'o'j
antaŭparolon	antaŭ'parol'o'n
antaŭscias	antaŭ'sci'as
antaŭscii	antaŭ'sci'i
antaŭscio	antaŭ'sci'o
antaŭscion	antaŭ'sci'o'n
antaŭsentas	antaŭ'sent'as
antaŭsenti	antaŭ'sent'i
antaŭsentis	antaŭ'sent'is
antaŭsento	antaŭ'sent'o
antaŭsenton	antaŭ'sent'o'n
antaŭsigno	antaŭ'sign'o
antaŭsignoj	antaŭ'sign'o'j
antaŭsignojn	antaŭ'sign'o'j'n
antaŭsupozas	antaŭ'supoz'as
antaŭsupozis	antaŭ'supoz'is
antaŭsupozo	antaŭ'supoz'o
antaŭsupozoj	antaŭ'supoz'o'j
antaŭsupozojn	antaŭ'supoz'o'j'n
antaŭulo	antaŭ'ul'o
antaŭuloj	antaŭ'ul'o'j
antaŭulojn	antaŭ'ul'o'j'n
antaŭulon	antaŭ'ul'o'n
antaŭvespere	antaŭ'vesper'e
antaŭvespero	antaŭ'vesper'o
antaŭvidas	antaŭ'vid'as
antaŭvide	antaŭ'vid'e
antaŭvidi	antaŭ'vid'i
antaŭvidis	antaŭ'vid'is
antaŭvido	antaŭ'vid'o
antaŭvidon	antaŭ'vid'o'n
antaŭvidu	antaŭ'vid'u
antaŭzorgis	antaŭ'zorg'is
antaŭzorgo	antaŭ'zorg'o
antaŭzorgoj	antaŭ'zorg'o'j
antaŭzorgojn	antaŭ'zorg'o'j'n
antikva	antikv'a
antikvaj	antikv'a'j
antikvajn	antikv'a'j'n
antikvan	antikv'a'n
antikve	antikv'e
antikvo	antikv'o
antikvaĵo	antikv'aĵ'o
antikvaĵoj	antikv'aĵ'o'j
antikvaĵojn	antikv'aĵ'o'j'n
antikvaĵisto	antikv'aĵ'ist'o
antikveca	antikv'ec'a
antikvecaj	antikv'ec'a'j
antikvece	antikv'ec'e
antikveco	antikv'ec'o
antikvecon	antikv'ec'o'n
antikvulo	antikv'ul'o
antikvuloj	antikv'ul'o'j
aoristo	aorist'o
aosta	aost'a
aosto	aost'o
apo	ap'o
apartena	aparten'a
apartenas	aparten'as
aparteni	aparten'i
apartenis	aparten'is
aparteno	aparten'o
apartenon	aparten'o'n
apartenos	aparten'os
apartenu	aparten'u
apartenus	aparten'us
apartenado	aparten'ad'o
apartenaĵo	aparten'aĵ'o
apartenaĵoj	aparten'aĵ'o'j
apartenanta	aparten'ant'a
apartenantaj	aparten'ant'a'j
apartenantajn	aparten'ant'a'j'n
apartenantan	aparten'ant'a'n
apartenante	aparten'ant'e
apartenantoj	aparten'ant'o'j
aparteneco	aparten'ec'o
apartenecon	aparten'ec'o'n
aparteninta	aparten'int'a
apenau	apenaŭ
apenaŭ	apenaŭ
apenaŭa	apenaŭ'a
apeninoj	apenin'o'j
aperas	aper'as
aperi	aper'i
aperis	aper'is
apero	aper'o
aperoj	aper'o'j
aperojn	aper'o'j'n
aperon	aper'o'n
aperos	aper'os
aperu	aper'u
aperus	aper'us
aperadas	aper'ad'as
aperadi	aper'ad'i
aperadis	aper'ad'is
aperado	aper'ad'o
aperadon	aper'ad'o'n
aperados	aper'ad'os
aperaĵo	aper'aĵ'o
aperaĵoj	aper'aĵ'o'j
aperaĵojn	aper'aĵ'o'j'n
aperaĵon	aper'aĵ'o'n
aperanta	aper'ant'a
aperantaj	aper'ant'a'j
aperantajn	aper'ant'a'j'n
aperantan	aper'ant'a'n
aperante	aper'ant'e
aperigas	aper'ig'as
aperigi	aper'ig'i
aperigis	aper'ig'is
aperigo	aper'ig'o
aperigon	aper'ig'o'n
aperigos	aper'ig'os
aperigu	aper'ig'u
aperigus	aper'ig'us
aperigita	aper'ig'it'a
aperigitaj	aper'ig'it'a'j
aperinta	aper'int'a
aperintaj	aper'int'a'j
aperintajn	aper'int'a'j'n
aperintan	aper'int'a'n
aperinte	aper'int'e
aperita	aper'it'a
aperonta	aper'ont'a
aperontaj	aper'ont'a'j
apiso	apis'o
aplaŭdas	aplaŭd'as
aplaŭdi	aplaŭd'i
aplaŭdis	aplaŭd'is
aplaŭdo	aplaŭd'o
aplaŭdoj	aplaŭd'o'j
aplaŭdojn	aplaŭd'o'j'n
aplaŭdon	aplaŭd'o'n
aplaŭdu	aplaŭd'u
aplaŭdado	aplaŭd'ad'o
aplaŭdadon	aplaŭd'ad'o'n
aplaŭdante	aplaŭd'ant'e
aplaŭdata	aplaŭd'at'a
aplaŭdita	aplaŭd'it'a
aplika	aplik'a
aplikaj	aplik'a'j
aplikajn	aplik'a'j'n
aplikas	aplik'as
apliki	aplik'i
aplikis	aplik'is
apliko	aplik'o
aplikoj	aplik'o'j
aplikojn	aplik'o'j'n
aplikon	aplik'o'n
aplikos	aplik'os
apliku	aplik'u
aplikus	aplik'us
aplikado	aplik'ad'o
aplikadoj	aplik'ad'o'j
aplikadon	aplik'ad'o'n
aplikaĵo	aplik'aĵ'o
aplikaĵoj	aplik'aĵ'o'j
aplikaĵojn	aplik'aĵ'o'j'n
aplikaĵon	aplik'aĵ'o'n
aplikaĵosoftvaroj	aplik'aĵ'o'softvar'o'j
aplikante	aplik'ant'e
aplikata	aplik'at'a
aplikataj	aplik'at'a'j
aplikatajn	aplik'at'a'j'n
aplikatan	aplik'at'a'n
aplikebla	aplik'ebl'a
aplikeblaj	aplik'ebl'a'j
aplikeblas	aplik'ebl'as
aplikebleco	aplik'ebl'ec'o
aplikeblecon	aplik'ebl'ec'o'n
aplikeco	aplik'ec'o
aplikiĝas	aplik'iĝ'as
aplikiĝi	aplik'iĝ'i
aplikiĝis	aplik'iĝ'is
aplikiĝo	aplik'iĝ'o
aplikiĝon	aplik'iĝ'o'n
aplikiĝoprogramistoj	aplik'iĝ'o'program'ist'o'j
aplikita	aplik'it'a
aplikitaj	aplik'it'a'j
aplikitajn	aplik'it'a'j'n
aplikitan	aplik'it'a'n
aplikite	aplik'it'e
aprila	april'a
aprile	april'e
aprilo	april'o
aprilon	april'o'n
aprilomajo	april'o'maj'o
apulio	apuli'o
apuso	apus'o
apusoj	apus'o'j
arabaisraela	arab'a'israel'a
aranĝas	aranĝ'as
aranĝi	aranĝ'i
aranĝis	aranĝ'is
arangho	aranĝ'o
aranĝo	aranĝ'o
aranĝoj	aranĝ'o'j
aranĝojn	aranĝ'o'j'n
aranĝon	aranĝ'o'n
aranĝos	aranĝ'os
aranĝu	aranĝ'u
aranĝus	aranĝ'us
aranĝado	aranĝ'ad'o
aranĝadon	aranĝ'ad'o'n
aranĝaĵo	aranĝ'aĵ'o
aranĝaĵoj	aranĝ'aĵ'o'j
aranĝaĵojn	aranĝ'aĵ'o'j'n
aranĝanta	aranĝ'ant'a
aranĝantaj	aranĝ'ant'a'j
aranĝante	aranĝ'ant'e
aranĝanto	aranĝ'ant'o
aranĝantoj	aranĝ'ant'o'j
aranĝata	aranĝ'at'a
aranĝataj	aranĝ'at'a'j
aranĝiĝis	aranĝ'iĝ'is
aranĝisto	aranĝ'ist'o
aranĝita	aranĝ'it'a
aranĝitaj	aranĝ'it'a'j
aranĝitajn	aranĝ'it'a'j'n
aranĝitan	aranĝ'it'a'n
aranĝite	aranĝ'it'e
aranĝitaĵo	aranĝ'it'aĵ'o
arestas	arest'as
aresti	arest'i
arestis	arest'is
aresto	arest'o
arestoj	arest'o'j
arestojn	arest'o'j'n
areston	arest'o'n
arestos	arest'os
arestu	arest'u
arestado	arest'ad'o
arestata	arest'at'a
arestejo	arest'ej'o
arestejoj	arest'ej'o'j
arestigis	arest'ig'is
arestiĝis	arest'iĝ'is
arestita	arest'it'a
arestitaj	arest'it'a'j
arestito	arest'it'o
arestitoj	arest'it'o'j
arestitojn	arest'it'o'j'n
arestiton	arest'it'o'n
arta	art'a
artaj	art'a'j
artajn	art'a'j'n
artan	art'a'n
arte	art'e
arto	art'o
artoj	art'o'j
artojn	art'o'j'n
arton	art'o'n
artaĵo	art'aĵ'o
artaĵoj	art'aĵ'o'j
artaĵojn	art'aĵ'o'j'n
artaĵon	art'aĵ'o'n
artdirektoro	art'direktor'o
artefarita	art'e'far'it'a
artefaritaj	art'e'far'it'a'j
artefaritajn	art'e'far'it'a'j'n
artefaritan	art'e'far'it'a'n
artefarite	art'e'far'it'e
artefariteco	art'e'far'it'ec'o
artefaritinteligenteca	art'e'far'it'inteligent'ec'a
arteco	art'ec'o
artekspozicioj	art'ekspozici'o'j
artfajraĵo	art'fajr'aĵ'o
artfajraĵoj	art'fajr'aĵ'o'j
artfajraĵojn	art'fajr'aĵ'o'j'n
artfajraĵon	art'fajr'aĵ'o'n
artformo	art'form'o
artgalerio	art'galeri'o
artgalerioj	art'galeri'o'j
artgalerion	art'galeri'o'n
arthistoria	art'histori'a
arthistorio	art'histori'o
arthistorion	art'histori'o'n
arthistoriisto	art'histori'ist'o
arthistoriistoj	art'histori'ist'o'j
artisma	art'ism'a
artismaj	art'ism'a'j
artisman	art'ism'a'n
artisme	art'ism'e
artista	art'ist'a
artistaj	art'ist'a'j
artistajn	art'ist'a'j'n
artistan	art'ist'a'n
artiste	art'ist'e
artisto	art'ist'o
artistoj	art'ist'o'j
artistojn	art'ist'o'j'n
artiston	art'ist'o'n
artistino	art'ist'in'o
artistinoj	art'ist'in'o'j
artkritikisto	art'kritik'ist'o
artkritikistoj	art'kritik'ist'o'j
artlaboro	art'labor'o
artlumo	art'lum'o
artverko	art'verk'o
artverkoj	art'verk'o'j
artverkon	art'verk'o'n
artefakto	artefakt'o
artefaktoj	artefakt'o'j
artefaktojn	artefakt'o'j'n
artefakton	artefakt'o'n
artemizia	artemizi'a
artemizio	artemizi'o
arteria	arteri'a
arteriaj	arteri'a'j
arterian	arteri'a'n
arterio	arteri'o
arterioj	arteri'o'j
arteriojn	arteri'o'j'n
arterion	arteri'o'n
arteza	artez'a
artifika	artifik'a
artifikaj	artifik'a'j
artifike	artifik'e
artifiko	artifik'o
artifikoj	artifik'o'j
artifikojn	artifik'o'j'n
artifikon	artifik'o'n
artika	artik'a
artikaj	artik'a'j
artikan	artik'a'n
artiko	artik'o
artikoj	artik'o'j
artikojn	artik'o'j'n
artikon	artik'o'n
artikuloj	artik'ul'o'j
artiklo	artikl'o
artikloj	artikl'o'j
artiklojn	artikl'o'j'n
artiklon	artikl'o'n
artikola	artikol'a
artikolo	artikol'o
artikoloj	artikol'o'j
artikolojn	artikol'o'j'n
artikolon	artikol'o'n
artikolaro	artikol'ar'o
artikoleto	artikol'et'o
artikoletoj	artikol'et'o'j
artikoletojn	artikol'et'o'j'n
artikoleton	artikol'et'o'n
artikulacia	artikulaci'a
artikulacio	artikulaci'o
artikulacioj	artikulaci'o'j
artikulacion	artikulaci'o'n
artileria	artileri'a
artileriaj	artileri'a'j
artilerian	artileri'a'n
artilerio	artileri'o
artilerion	artileri'o'n
artileriisto	artileri'ist'o
artileriistoj	artileri'ist'o'j
artileripafado	artileri'paf'ad'o
artiŝokoj	artiŝok'o'j
artrito	artr'it'o
artriton	artr'it'o'n
arturo	artur'o
arturon	artur'o'n
arundo	arund'o
asa	as'a
ase	as'e
aso	as'o
asoj	as'o'j
