macojn	mac'o'j'n
malestimataj	mal'estim'at'a'j
malestiminda	mal'estim'ind'a
malestimita	mal'estim'it'a
maletika	mal'etik'a
maletikaj	mal'etik'a'j
malfacila	mal'facil'a
malfacilaj	mal'facil'a'j
malfacilajn	mal'facil'a'j'n
malfacilan	mal'facil'a'n
malfacilas	mal'facil'as
malfacile	mal'facil'e
malfacili	mal'facil'i
malfacilis	mal'facil'is
malfacilo	mal'facil'o
malfaciloj	mal'facil'o'j
malfacilojn	mal'facil'o'j'n
malfacilon	mal'facil'o'n
malfacilos	mal'facil'os
malfacilus	mal'facil'us
malfacilaĵo	mal'facil'aĵ'o
malfacilaĵoj	mal'facil'aĵ'o'j
malfacilaĵojn	mal'facil'aĵ'o'j'n
malfacilaĵon	mal'facil'aĵ'o'n
malfacileco	mal'facil'ec'o
malfacilecoj	mal'facil'ec'o'j
malfacilecon	mal'facil'ec'o'n
malfacilega	mal'facil'eg'a
malfacilegas	mal'facil'eg'as
malfacilege	mal'facil'eg'e
malfaciligas	mal'facil'ig'as
malfaciligi	mal'facil'ig'i
malfaciligis	mal'facil'ig'is
malfaciligos	mal'facil'ig'os
malfaciligus	mal'facil'ig'us
malfaciligante	mal'facil'ig'ant'e
malfaciligita	mal'facil'ig'it'a
malfaciligitaj	mal'facil'ig'it'a'j
malfaciliĝas	mal'facil'iĝ'as
malfaciliĝis	mal'facil'iĝ'is
malfajna	mal'fajn'a
malfaldis	mal'fald'is
malfalsa	mal'fals'a
malfaras	mal'far'as
malfari	mal'far'i
malfavora	mal'favor'a
malfavoraj	mal'favor'a'j
malfavorajn	mal'favor'a'j'n
malfavoran	mal'favor'a'n
malfavoras	mal'favor'as
malfavore	mal'favor'e
malfavoris	mal'favor'is
malfavoro	mal'favor'o
malfavoron	mal'favor'o'n
malfavorata	mal'favor'at'a
malfavorataj	mal'favor'at'a'j
malfavoratajn	mal'favor'at'a'j'n
malfekunda	mal'fekund'a
malfekundaj	mal'fekund'a'j
malfekundeco	mal'fekund'ec'o
malfekundecon	mal'fekund'ec'o'n
malfelicha	mal'feliĉ'a
malfeliĉa	mal'feliĉ'a
malfeliĉaj	mal'feliĉ'a'j
malfeliĉajn	mal'feliĉ'a'j'n
malfeliĉan	mal'feliĉ'a'n
malfeliĉas	mal'feliĉ'as
malfeliche	mal'feliĉ'e
malfeliĉe	mal'feliĉ'e
malfelicho	mal'feliĉ'o
malfeliĉo	mal'feliĉ'o
malfeliĉoj	mal'feliĉ'o'j
malfeliĉojn	mal'feliĉ'o'j'n
malfeliĉon	mal'feliĉ'o'n
malfeliĉaĵoj	mal'feliĉ'aĵ'o'j
malfeliĉigas	mal'feliĉ'ig'as
malfeliĉigis	mal'feliĉ'ig'is
malfeliĉulo	mal'feliĉ'ul'o
malfeliĉuloj	mal'feliĉ'ul'o'j
malfeliĉulon	mal'feliĉ'ul'o'n
malferma	mal'ferm'a
malfermaj	mal'ferm'a'j
malfermajn	mal'ferm'a'j'n
malferman	mal'ferm'a'n
malfermas	mal'ferm'as
malferme	mal'ferm'e
malfermi	mal'ferm'i
malfermis	mal'ferm'is
malfermo	mal'ferm'o
malfermoj	mal'ferm'o'j
malfermon	mal'ferm'o'n
malfermos	mal'ferm'os
malfermu	mal'ferm'u
malfermus	mal'ferm'us
malfermado	mal'ferm'ad'o
malfermadon	mal'ferm'ad'o'n
malfermaĵo	mal'ferm'aĵ'o
malfermaĵoj	mal'ferm'aĵ'o'j
malfermaĵojn	mal'ferm'aĵ'o'j'n
malfermaĵon	mal'ferm'aĵ'o'n
malfermaĵsekvenco	mal'ferm'aĵ'sekvenc'o
malfermanta	mal'ferm'ant'a
malfermantaj	mal'ferm'ant'a'j
malfermante	mal'ferm'ant'e
malfermata	mal'ferm'at'a
malfermataj	mal'ferm'at'a'j
malfermcirkvita	mal'ferm'cirkvit'a
malfermebla	mal'ferm'ebl'a
malfermeco	mal'ferm'ec'o
malfermfonta	mal'ferm'font'a
malfermfontaj	mal'ferm'font'a'j
malfermfonteca	mal'ferm'font'ec'a
malfermfonteco	mal'ferm'font'ec'o
malfermfontecsoftvaro	mal'ferm'font'ec'softvar'o
malfermiĝas	mal'ferm'iĝ'as
malfermiĝi	mal'ferm'iĝ'i
malfermiĝis	mal'ferm'iĝ'is
malfermiĝo	mal'ferm'iĝ'o
malfermiĝon	mal'ferm'iĝ'o'n
malfermiĝos	mal'ferm'iĝ'os
malfermiĝu	mal'ferm'iĝ'u
malfermiĝado	mal'ferm'iĝ'ad'o
malfermiĝanta	mal'ferm'iĝ'ant'a
malfermiĝantaj	mal'ferm'iĝ'ant'a'j
malfermiĝante	mal'ferm'iĝ'ant'e
malferminta	mal'ferm'int'a
malferminte	mal'ferm'int'e
malfermita	mal'ferm'it'a
malfermitaj	mal'ferm'it'a'j
malfermitajn	mal'ferm'it'a'j'n
malfermitan	mal'ferm'it'a'n
malfermitas	mal'ferm'it'as
malfermite	mal'ferm'it'e
malfermiteco	mal'ferm'it'ec'o
malfermitecon	mal'ferm'it'ec'o'n
malfermitkoda	mal'ferm'it'kod'a
malfermiis	mal'fermi'is
malfidas	mal'fid'as
malfidi	mal'fid'i
malfidis	mal'fid'is
malfido	mal'fid'o
malfidoj	mal'fid'o'j
malfidojn	mal'fid'o'j'n
malfidon	mal'fid'o'n
malfidela	mal'fidel'a
malfidelaj	mal'fidel'a'j
malfidelan	mal'fidel'a'n
malfideleco	mal'fidel'ec'o
malfidelecon	mal'fidel'ec'o'n
malfiksi	mal'fiks'i
malfiksis	mal'fiks'is
malfiksiĝas	mal'fiks'iĝ'as
malfinia	mal'fini'a
malfiniaj	mal'fini'a'j
malfinie	mal'fini'e
malfinio	mal'fini'o
malfirma	mal'firm'a
malfirmaj	mal'firm'a'j
malfirman	mal'firm'a'n
malfirme	mal'firm'e
malfluso	mal'flus'o
malfono	mal'fon'o
malfonon	mal'fon'o'n
malfondi	mal'fond'i
malfondo	mal'fond'o
malfondon	mal'fond'o'n
malfondita	mal'fond'it'a
malformiĝo	mal'form'iĝ'o
malformaleco	mal'formal'ec'o
malforta	mal'fort'a
malfortaj	mal'fort'a'j
malfortajn	mal'fort'a'j'n
malfortan	mal'fort'a'n
malfortas	mal'fort'as
malforte	mal'fort'e
malforto	mal'fort'o
malfortoj	mal'fort'o'j
malfortojn	mal'fort'o'j'n
malforton	mal'fort'o'n
malfortaĵoj	mal'fort'aĵ'o'j
malfortaĵojn	mal'fort'aĵ'o'j'n
malforteco	mal'fort'ec'o
malfortecon	mal'fort'ec'o'n
malfortigas	mal'fort'ig'as
malfortigi	mal'fort'ig'i
malfortigis	mal'fort'ig'is
malfortigo	mal'fort'ig'o
malfortigon	mal'fort'ig'o'n
malfortigos	mal'fort'ig'os
malfortigus	mal'fort'ig'us
malfortigado	mal'fort'ig'ad'o
malfortigante	mal'fort'ig'ant'e
malfortigita	mal'fort'ig'it'a
malfortigitaj	mal'fort'ig'it'a'j
malfortigitan	mal'fort'ig'it'a'n
malfortiĝas	mal'fort'iĝ'as
malfortiĝi	mal'fort'iĝ'i
malfortiĝis	mal'fort'iĝ'is
malfortiĝo	mal'fort'iĝ'o
malfortiĝon	mal'fort'iĝ'o'n
malfortiĝos	mal'fort'iĝ'os
malfortiĝinta	mal'fort'iĝ'int'a
malfortulo	mal'fort'ul'o
malfortuloj	mal'fort'ul'o'j
malfortulojn	mal'fort'ul'o'j'n
malfortika	mal'fortik'a
malfortikaj	mal'fortik'a'j
malfortikeco	mal'fortik'ec'o
malfortikecon	mal'fortik'ec'o'n
malfreŝa	mal'freŝ'a
malfreŝaj	mal'freŝ'a'j
malfreŝan	mal'freŝ'a'n
malfrua	mal'fru'a
malfruaj	mal'fru'a'j
malfruajn	mal'fru'a'j'n
malfruan	mal'fru'a'n
malfruas	mal'fru'as
malfrue	mal'fru'e
malfrui	mal'fru'i
malfruis	mal'fru'is
malfruo	mal'fru'o
malfruoj	mal'fru'o'j
malfruon	mal'fru'o'n
malfruos	mal'fru'os
malfruu	mal'fru'u
malfrugotika	mal'fru'gotik'a
malfruigas	mal'fru'ig'as
malfruigi	mal'fru'ig'i
malfruigis	mal'fru'ig'is
malfruiĝas	mal'fru'iĝ'as
malfruiĝi	mal'fru'iĝ'i
malfruiĝis	mal'fru'iĝ'is
malfruiĝo	mal'fru'iĝ'o
malfruiĝon	mal'fru'iĝ'o'n
malfruiĝos	mal'fru'iĝ'os
malfruiĝu	mal'fru'iĝ'u
malfruiĝintoj	mal'fru'iĝ'int'o'j
malfrunokte	mal'fru'nokt'e
malfruvespere	mal'fru'vesper'e
malfunkcia	mal'funkci'a
malfunkciaj	mal'funkci'a'j
malfunkcias	mal'funkci'as
malfunkcio	mal'funkci'o
malfunkcioj	mal'funkci'o'j
malfunkcion	mal'funkci'o'n
malfunkciigas	mal'funkci'ig'as
malfunkciigi	mal'funkci'ig'i
malfunkciigis	mal'funkci'ig'is
malfunkciigo	mal'funkci'ig'o
malfunkciigado	mal'funkci'ig'ad'o
malfunkciigante	mal'funkci'ig'ant'e
malfunkciigita	mal'funkci'ig'it'a
malfunkciigitaj	mal'funkci'ig'it'a'j
malgaja	mal'gaj'a
malgajaj	mal'gaj'a'j
malgajajn	mal'gaj'a'j'n
malgajan	mal'gaj'a'n
malgajas	mal'gaj'as
malgaje	mal'gaj'e
malgajis	mal'gaj'is
malgajo	mal'gaj'o
malgajon	mal'gaj'o'n
malgajeco	mal'gaj'ec'o
malgajiga	mal'gaj'ig'a
malgajigas	mal'gaj'ig'as
malgajigis	mal'gaj'ig'is
malgajnas	mal'gajn'as
malgajni	mal'gajn'i
malgajnis	mal'gajn'is
malgajno	mal'gajn'o
malgajnon	mal'gajn'o'n
malgajnos	mal'gajn'os
malgajninto	mal'gajn'int'o
malgajnintoj	mal'gajn'int'o'j
malgeja	mal'gej'a
malglata	mal'glat'a
malglataj	mal'glat'a'j
malglatajn	mal'glat'a'j'n
malglatan	mal'glat'a'n
malglate	mal'glat'e
malglataĵoj	mal'glat'aĵ'o'j
malglataĵojn	mal'glat'aĵ'o'j'n
malgloro	mal'glor'o
malgracia	mal'graci'a
malgramatika	mal'gramatik'a
malgranda	mal'grand'a
malgrandaj	mal'grand'a'j
malgrandajn	mal'grand'a'j'n
malgrandan	mal'grand'a'n
malgrandas	mal'grand'as
malgrande	mal'grand'e
malgrando	mal'grand'o
malgrandazio	mal'grand'azi'o
malgrandeco	mal'grand'ec'o
malgrandecon	mal'grand'ec'o'n
malgrandega	mal'grand'eg'a
malgrandegaj	mal'grand'eg'a'j
malgrandegajn	mal'grand'eg'a'j'n
malgrandegan	mal'grand'eg'a'n
malgrandeguloj	mal'grand'eg'ul'o'j
malgrandetaj	mal'grand'et'a'j
malgrandigas	mal'grand'ig'as
malgrandigi	mal'grand'ig'i
malgrandigis	mal'grand'ig'is
malgrandigo	mal'grand'ig'o
malgrandigu	mal'grand'ig'u
malgrandigita	mal'grand'ig'it'a
malgrandigitaj	mal'grand'ig'it'a'j
malgrandiĝas	mal'grand'iĝ'as
malgrandiĝi	mal'grand'iĝ'i
malgrandiĝis	mal'grand'iĝ'is
malgrandiĝo	mal'grand'iĝ'o
malgrandiĝos	mal'grand'iĝ'os
malgrandkomercaj	mal'grand'komerc'a'j
malgrandkonata	mal'grand'kon'at'a
malgrandkonataj	mal'grand'kon'at'a'j
malgrandkvante	mal'grand'kvant'e
malgrandskala	mal'grand'skal'a
malgrandskalaj	mal'grand'skal'a'j
malgrandskalan	mal'grand'skal'a'n
malgrandskale	mal'grand'skal'e
malgrandulo	mal'grand'ul'o
malgranduloj	mal'grand'ul'o'j
malgrasa	mal'gras'a
malgrasaj	mal'gras'a'j
malgrasan	mal'gras'a'n
malgrasigo	mal'gras'ig'o
malgrasiĝis	mal'gras'iĝ'is
malgrava	mal'grav'a
malgravaj	mal'grav'a'j
malgravajn	mal'grav'a'j'n
malgravan	mal'grav'a'n
malgravas	mal'grav'as
malgrave	mal'grav'e
malgravaĵoj	mal'grav'aĵ'o'j
malgravigas	mal'grav'ig'as
malgravigi	mal'grav'ig'i
malgravigis	mal'grav'ig'is
malgravigante	mal'grav'ig'ant'e
malgravigita	mal'grav'ig'it'a
malĝentila	mal'ĝentil'a
malĝentilaj	mal'ĝentil'a'j
malĝentilajn	mal'ĝentil'a'j'n
malĝentilan	mal'ĝentil'a'n
malĝentilas	mal'ĝentil'as
malĝentile	mal'ĝentil'e
malĝentileco	mal'ĝentil'ec'o
malĝentilecon	mal'ĝentil'ec'o'n
malĝoja	mal'ĝoj'a
malĝojaj	mal'ĝoj'a'j
malĝojajn	mal'ĝoj'a'j'n
malĝojan	mal'ĝoj'a'n
malĝojas	mal'ĝoj'as
malĝoje	mal'ĝoj'e
malĝoji	mal'ĝoj'i
malĝojis	mal'ĝoj'is
malĝojo	mal'ĝoj'o
malĝojoj	mal'ĝoj'o'j
malĝojojn	mal'ĝoj'o'j'n
malĝojon	mal'ĝoj'o'n
malĝoju	mal'ĝoj'u
malĝojiga	mal'ĝoj'ig'a
malĝojigan	mal'ĝoj'ig'a'n
malĝojigas	mal'ĝoj'ig'as
malĝojigis	mal'ĝoj'ig'is
malĝojigita	mal'ĝoj'ig'it'a
malĝusta	mal'ĝust'a
malĝustaj	mal'ĝust'a'j
malĝustajn	mal'ĝust'a'j'n
malĝustan	mal'ĝust'a'n
malĝustas	mal'ĝust'as
malĝuste	mal'ĝust'e
malĝustabaze	mal'ĝust'a'baz'e
malĝustaĵojn	mal'ĝust'aĵ'o'j'n
malĝusteco	mal'ĝust'ec'o
malharmonia	mal'harmoni'a
malharmoniaj	mal'harmoni'a'j
malharmonio	mal'harmoni'o
malharmoniiga	mal'harmoni'ig'a
malhaste	mal'hast'e
malhaŭso	mal'haŭs'o
malhavas	mal'hav'as
malhavi	mal'hav'i
malhavis	mal'hav'is
malhavo	mal'hav'o
malhavos	mal'hav'os
malhavado	mal'hav'ad'o
malhavanta	mal'hav'ant'a
malhavantaj	mal'hav'ant'a'j
malhavante	mal'hav'ant'e
malhavebla	mal'hav'ebl'a
malhaveblaj	mal'hav'ebl'a'j
malhela	mal'hel'a
malhelaj	mal'hel'a'j
malhelajn	mal'hel'a'j'n
malhelan	mal'hel'a'n
malhelas	mal'hel'as
malhele	mal'hel'e
malhelis	mal'hel'is
malhelo	mal'hel'o
malhelon	mal'hel'o'n
malhelblua	mal'hel'blu'a
malhelbluaj	mal'hel'blu'a'j
malhelbluajn	mal'hel'blu'a'j'n
malhelbluan	mal'hel'blu'a'n
malhelbruna	mal'hel'brun'a
malhelbrunaj	mal'hel'brun'a'j
malhelbrunajn	mal'hel'brun'a'j'n
malhelbrunan	mal'hel'brun'a'n
malheleco	mal'hel'ec'o
malhelflava	mal'hel'flav'a
malhelgriza	mal'hel'griz'a
malhelgrizaj	mal'hel'griz'a'j
malhelgrizajn	mal'hel'griz'a'j'n
malhelgrizan	mal'hel'griz'a'n
malhelhaŭta	mal'hel'haŭt'a
malheligas	mal'hel'ig'as
malheligi	mal'hel'ig'i
malheligis	mal'hel'ig'is
malheligita	mal'hel'ig'it'a
malheliĝas	mal'hel'iĝ'as
malheliĝis	mal'hel'iĝ'is
malheliĝo	mal'hel'iĝ'o
malhelruĝa	mal'hel'ruĝ'a
malhelruĝaj	mal'hel'ruĝ'a'j
malhelverda	mal'hel'verd'a
malhelverdaj	mal'hel'verd'a'j
malhelviola	mal'hel'viol'a
malhelpa	mal'help'a
malhelpas	mal'help'as
malhelpi	mal'help'i
malhelpis	mal'help'is
malhelpo	mal'help'o
malhelpoj	mal'help'o'j
malhelpojn	mal'help'o'j'n
malhelpon	mal'help'o'n
malhelpos	mal'help'os
malhelpu	mal'help'u
malhelpus	mal'help'us
malhelpado	mal'help'ad'o
malhelpaĵo	mal'help'aĵ'o
malhelpaĵoj	mal'help'aĵ'o'j
malhelpanta	mal'help'ant'a
malhelpantaj	mal'help'ant'a'j
malhelpantan	mal'help'ant'a'n
malhelpante	mal'help'ant'e
malhelpata	mal'help'at'a
malhelpataj	mal'help'at'a'j
malhelpema	mal'help'em'a
malhelpinta	mal'help'int'a
malhelpita	mal'help'it'a
malhelpitaj	mal'help'it'a'j
malhoma	mal'hom'a
malhonesta	mal'honest'a
malhonestaj	mal'honest'a'j
malhonestan	mal'honest'a'n
malhoneste	mal'honest'e
malhonesto	mal'honest'o
malhonesteco	mal'honest'ec'o
malhonestecon	mal'honest'ec'o'n
malhonestulo	mal'honest'ul'o
malhonora	mal'honor'a
malhonoras	mal'honor'as
malhonore	mal'honor'e
malhonoro	mal'honor'o
malhonoron	mal'honor'o'n
malhonorigas	mal'honor'ig'as
malhonorita	mal'honor'it'a
malhumana	mal'human'a
malhumanaj	mal'human'a'j
malhumaneco	mal'human'ec'o
malhumila	mal'humil'a
malhumileco	mal'humil'ec'o
malimplice	mal'implic'e
malimpliki	mal'implik'i
malina	mal'in'a
malinaj	mal'in'a'j
malino	mal'in'o
malinoj	mal'in'o'j
malinda	mal'ind'a
malindaj	mal'ind'a'j
malindan	mal'ind'a'n
malinde	mal'ind'e
malindeco	mal'ind'ec'o
malinfektilo	mal'infekt'il'o
malinformado	mal'inform'ad'o
malinklino	mal'inklin'o
malinsisti	mal'insist'i
malinsistis	mal'insist'is
malinstigas	mal'instig'as
malinstigi	mal'instig'i
malinstigis	mal'instig'is
malinstigado	mal'instig'ad'o
malinstigante	mal'instig'ant'e
malinstigita	mal'instig'it'a
malinstigitaj	mal'instig'it'a'j
malintegriĝo	mal'integr'iĝ'o
malinteligenta	mal'inteligent'a
malintensigi	mal'intens'ig'i
malintensigita	mal'intens'ig'it'a
malintensigitaj	mal'intens'ig'it'a'j
malintensiĝas	mal'intens'iĝ'as
malintensiĝis	mal'intens'iĝ'is
malinteresa	mal'interes'a
malinteresaj	mal'interes'a'j
malintereso	mal'interes'o
maljuna	mal'jun'a
maljunaj	mal'jun'a'j
maljunajn	mal'jun'a'j'n
maljunan	mal'jun'a'n
maljunas	mal'jun'as
maljune	mal'jun'e
maljunaĝo	mal'jun'aĝ'o
maljunaĝon	mal'jun'aĝ'o'n
maljuneco	mal'jun'ec'o
maljunecon	mal'jun'ec'o'n
maljunega	mal'jun'eg'a
maljunegaj	mal'jun'eg'a'j
maljunegajn	mal'jun'eg'a'j'n
maljunegan	mal'jun'eg'a'n
maljuniga	mal'jun'ig'a
maljunigan	mal'jun'ig'a'n
maljuniĝas	mal'jun'iĝ'as
maljuniĝi	mal'jun'iĝ'i
maljuniĝis	mal'jun'iĝ'is
maljuniĝo	mal'jun'iĝ'o
maljuniĝon	mal'jun'iĝ'o'n
maljuniĝos	mal'jun'iĝ'os
maljuniĝado	mal'jun'iĝ'ad'o
maljuniĝanta	mal'jun'iĝ'ant'a
maljuniĝante	mal'jun'iĝ'ant'e
maljuniĝinta	mal'jun'iĝ'int'a
maljunula	mal'jun'ul'a
maljunulo	mal'jun'ul'o
maljunuloj	mal'jun'ul'o'j
maljunulojn	mal'jun'ul'o'j'n
maljunulon	mal'jun'ul'o'n
maljunulejo	mal'jun'ul'ej'o
maljunulejoj	mal'jun'ul'ej'o'j
maljunuleto	mal'jun'ul'et'o
maljunulino	mal'jun'ul'in'o
maljunulinoj	mal'jun'ul'in'o'j
maljunulinon	mal'jun'ul'in'o'n
maljusta	mal'just'a
maljustaj	mal'just'a'j
maljustajn	mal'just'a'j'n
maljustan	mal'just'a'n
maljustas	mal'just'as
maljuste	mal'just'e
maljusto	mal'just'o
maljustoj	mal'just'o'j
maljuston	mal'just'o'n
maljustaĵo	mal'just'aĵ'o
maljustaĵoj	mal'just'aĵ'o'j
maljustaĵojn	mal'just'aĵ'o'j'n
maljustaĵon	mal'just'aĵ'o'n
maljusteco	mal'just'ec'o
maljustecoj	mal'just'ec'o'j
maljustecojn	mal'just'ec'o'j'n
maljustecon	mal'just'ec'o'n
maljustulo	mal'just'ul'o
malkapabla	mal'kapabl'a
malkapablaj	mal'kapabl'a'j
malkapablas	mal'kapabl'as
malkapablo	mal'kapabl'o
malkapabloj	mal'kapabl'o'j
malkapablon	mal'kapabl'o'n
malkapabluloj	mal'kapabl'ul'o'j
malkapablulojn	mal'kapabl'ul'o'j'n
malkara	mal'kar'a
malkaraj	mal'kar'a'j
malkaran	mal'kar'a'n
malkare	mal'kar'e
malkaŝa	mal'kaŝ'a
malkaŝaj	mal'kaŝ'a'j
malkaŝajn	mal'kaŝ'a'j'n
malkaŝan	mal'kaŝ'a'n
malkaŝas	mal'kaŝ'as
malkashe	mal'kaŝ'e
malkaŝe	mal'kaŝ'e
malkaŝi	mal'kaŝ'i
malkaŝis	mal'kaŝ'is
malkaŝo	mal'kaŝ'o
malkaŝos	mal'kaŝ'os
malkaŝu	mal'kaŝ'u
malkaŝus	mal'kaŝ'us
malkaŝado	mal'kaŝ'ad'o
malkaŝante	mal'kaŝ'ant'e
malkaŝema	mal'kaŝ'em'a
malkaŝemo	mal'kaŝ'em'o
malkaŝiĝas	mal'kaŝ'iĝ'as
malkaŝiĝis	mal'kaŝ'iĝ'is
malkaŝita	mal'kaŝ'it'a
malkaŝitaj	mal'kaŝ'it'a'j
malklara	mal'klar'a
malklaraj	mal'klar'a'j
malklarajn	mal'klar'a'j'n
malklaran	mal'klar'a'n
malklaras	mal'klar'as
malklare	mal'klar'e
malklaris	mal'klar'is
malklareco	mal'klar'ec'o
malklarecoj	mal'klar'ec'o'j
malklarecon	mal'klar'ec'o'n
malklarigas	mal'klar'ig'as
malklarigi	mal'klar'ig'i
malklarigis	mal'klar'ig'is
malklarigo	mal'klar'ig'o
malklarigante	mal'klar'ig'ant'e
malklarigita	mal'klar'ig'it'a
malklarigitaj	mal'klar'ig'it'a'j
malklariĝis	mal'klar'iĝ'is
malklarkontura	mal'klar'kontur'a
malklarkonturaj	mal'klar'kontur'a'j
malklera	mal'kler'a
malkleraj	mal'kler'a'j
malklereco	mal'kler'ec'o
malklerecon	mal'kler'ec'o'n
malklerulo	mal'kler'ul'o
malkleruloj	mal'kler'ul'o'j
malkodado	mal'kod'ad'o
malkohera	mal'koher'a
malkoloniigado	mal'koloni'ig'ad'o
malkomforta	mal'komfort'a
malkomfortaj	mal'komfort'a'j
malkomfortan	mal'komfort'a'n
malkomforte	mal'komfort'e
malkomforto	mal'komfort'o
malkomforton	mal'komfort'o'n
malkompakta	mal'kompakt'a
malkompetenta	mal'kompetent'a
malkompetentaj	mal'kompetent'a'j
malkompleta	mal'komplet'a
malkompleza	mal'komplez'a
malkomplezaj	mal'komplez'a'j
malkomplika	mal'komplik'a
malkomponi	mal'kompon'i
malkomponado	mal'kompon'ad'o
malkomponaĵo	mal'kompon'aĵ'o
malkomponiĝas	mal'kompon'iĝ'as
malkomponiĝo	mal'kompon'iĝ'o
malkompreno	mal'kompren'o
malkomprenebla	mal'kompren'ebl'a
malkonata	mal'kon'at'a
malkonataj	mal'kon'at'a'j
malkonciza	mal'konciz'a
malkondamno	mal'kondamn'o
malkondamnita	mal'kondamn'it'a
malkonektas	mal'konekt'as
malkonekti	mal'konekt'i
malkonektis	mal'konekt'is
malkonektita	mal'konekt'it'a
malkonfesas	mal'konfes'as
malkonfesi	mal'konfes'i
malkonfesis	mal'konfes'is
malkonfeso	mal'konfes'o
malkonfida	mal'konfid'a
malkonfido	mal'konfid'o
malkonfidon	mal'konfid'o'n
malkonfirmi	mal'konfirm'i
malkonfirmis	mal'konfirm'is
malkongrua	mal'kongru'a
malkongruaj	mal'kongru'a'j
malkongruajn	mal'kongru'a'j'n
malkongruan	mal'kongru'a'n
malkongruas	mal'kongru'as
malkongruo	mal'kongru'o
malkonkordo	mal'konkord'o
malkonkordoj	mal'konkord'o'j
malkonkordon	mal'konkord'o'n
malkonsekvenca	mal'konsekvenc'a
malkonsekvencaj	mal'konsekvenc'a'j
malkonsekvencajn	mal'konsekvenc'a'j'n
malkonsekvence	mal'konsekvenc'e
malkonsentas	mal'konsent'as
malkonsenti	mal'konsent'i
malkonsentis	mal'konsent'is
malkonsento	mal'konsent'o
malkonsentoj	mal'konsent'o'j
malkonsentojn	mal'konsent'o'j'n
malkonsenton	mal'konsent'o'n
malkonsentuloj	mal'konsent'ul'o'j
malkonsilas	mal'konsil'as
malkonsili	mal'konsil'i
malkonsilis	mal'konsil'is
malkonstrua	mal'konstru'a
malkonstruas	mal'konstru'as
malkonstrui	mal'konstru'i
malkonstruis	mal'konstru'is
malkonstruo	mal'konstru'o
malkonstruon	mal'konstru'o'n
malkonstruado	mal'konstru'ad'o
malkonstruante	mal'konstru'ant'e
malkonstruigiloj	mal'konstru'ig'il'o'j
malkonstruita	mal'konstru'it'a
malkonstruitaj	mal'konstru'it'a'j
malkontenta	mal'kontent'a
malkontentaj	mal'kontent'a'j
malkontentan	mal'kontent'a'n
malkontentas	mal'kontent'as
malkontente	mal'kontent'e
malkontentis	mal'kontent'is
malkontento	mal'kontent'o
malkontentoj	mal'kontent'o'j
malkontenton	mal'kontent'o'n
malkontenteco	mal'kontent'ec'o
malkontentecon	mal'kontent'ec'o'n
malkontentiga	mal'kontent'ig'a
malkontentigas	mal'kontent'ig'as
malkontentigis	mal'kontent'ig'is
malkontentigita	mal'kontent'ig'it'a
malkontentiĝis	mal'kontent'iĝ'is
malkontentuloj	mal'kontent'ul'o'j
malkontinua	mal'kontinu'a
malkontinuaj	mal'kontinu'a'j
malkontinueco	mal'kontinu'ec'o
malkontinuecoj	mal'kontinu'ec'o'j
malkonvena	mal'konven'a
malkonvenaj	mal'konven'a'j
malkonvenajn	mal'konven'a'j'n
malkonvenan	mal'konven'a'n
malkonvene	mal'konven'e
malkorekta	mal'korekt'a
malkorektaj	mal'korekt'a'j
malkorekte	mal'korekt'e
malkosta	mal'kost'a
malkovras	mal'kovr'as
malkovri	mal'kovr'i
malkovris	mal'kovr'is
malkovro	mal'kovr'o
malkovroj	mal'kovr'o'j
malkovrojn	mal'kovr'o'j'n
malkovron	mal'kovr'o'n
malkovros	mal'kovr'os
malkovru	mal'kovr'u
malkovrus	mal'kovr'us
malkovrado	mal'kovr'ad'o
malkovradon	mal'kovr'ad'o'n
malkovraĵoj	mal'kovr'aĵ'o'j
malkovrante	mal'kovr'ant'e
malkovrataj	mal'kovr'at'a'j
malkovrigis	mal'kovr'ig'is
malkovriĝas	mal'kovr'iĝ'as
malkovriĝis	mal'kovr'iĝ'is
malkovrinta	mal'kovr'int'a
malkovrinte	mal'kovr'int'e
malkovrinto	mal'kovr'int'o
malkovrintoj	mal'kovr'int'o'j
malkovrintino	mal'kovr'int'in'o
malkovrita	mal'kovr'it'a
malkovritaj	mal'kovr'it'a'j
malkovritajn	mal'kovr'it'a'j'n
malkovritan	mal'kovr'it'a'n
malkovrite	mal'kovr'it'e
malkredas	mal'kred'as
malkredo	mal'kred'o
malkreska	mal'kresk'a
malkreskas	mal'kresk'as
malkreski	mal'kresk'i
malkreskis	mal'kresk'is
malkresko	mal'kresk'o
malkreskoj	mal'kresk'o'j
malkreskojn	mal'kresk'o'j'n
malkreskon	mal'kresk'o'n
malkreskos	mal'kresk'os
malkreskado	mal'kresk'ad'o
malkreskanta	mal'kresk'ant'a
malkreskantaj	mal'kresk'ant'a'j
malkreskantajn	mal'kresk'ant'a'j'n
malkreskantan	mal'kresk'ant'a'n
malkreskante	mal'kresk'ant'e
malkreskigas	mal'kresk'ig'as
malkreskinta	mal'kresk'int'a
malkreskintaj	mal'kresk'int'a'j
malkreskintan	mal'kresk'int'a'n
malkreskita	mal'kresk'it'a
malkreskitaj	mal'kresk'it'a'j
malkroĉis	mal'kroĉ'is
malkruta	mal'krut'a
malkrutaj	mal'krut'a'j
malkulmino	mal'kulmin'o
malkulminoj	mal'kulmin'o'j
malkulminon	mal'kulmin'o'n
malkune	mal'kun'e
