oj	o'j
opone	opon'e
oponi	opon'i
oponis	opon'is
opono	opon'o
oponon	opon'o'n
oponado	opon'ad'o
oponantaj	opon'ant'a'j
oponanto	opon'ant'o
oponantoj	opon'ant'o'j
oponantojn	opon'ant'o'j'n
oponanton	opon'ant'o'n
oportuna	oportun'a
oportunaj	oportun'a'j
oportunajn	oportun'a'j'n
oportunan	oportun'a'n
oportunas	oportun'as
oportune	oportun'e
oportuno	oportun'o
oportunoj	oportun'o'j
oportunojn	oportun'o'j'n
oportunon	oportun'o'n
oportunaĵo	oportun'aĵ'o
oportunaĵoj	oportun'aĵ'o'j
oportuneco	oportun'ec'o
oportunecon	oportun'ec'o'n
oportunigi	oportun'ig'i
oportunisma	oportun'ism'a
oportunismaj	oportun'ism'a'j
oportunisme	oportun'ism'e
oportunismo	oportun'ism'o
oportunisto	oportun'ist'o
oportunistoj	oportun'ist'o'j
opozicia	opozici'a
opoziciaj	opozici'a'j
opoziciajn	opozici'a'j'n
opozician	opozici'a'n
opozicie	opozici'e
opoziciis	opozici'is
opozicio	opozici'o
opozicioj	opozici'o'j
opozicion	opozici'o'n
opozicianoj	opozici'an'o'j
opoziciantoj	opozici'ant'o'j
opoziciestro	opozici'estr'o
opoziciulo	opozici'ul'o
opoziciuloj	opozici'ul'o'j
opoziciulojn	opozici'ul'o'j'n
opreso	opres'o
optativo	optativ'o
optika	optik'a
optikaj	optik'a'j
optikajn	optik'a'j'n
optikan	optik'a'n
optike	optik'e
optiko	optik'o
optikon	optik'o'n
optikisto	optik'ist'o
optikistoj	optik'ist'o'j
optimisma	optimism'a
optimismaj	optimism'a'j
optimisman	optimism'a'n
optimisme	optimism'e
optimismo	optimism'o
optimismon	optimism'o'n
optimista	optimist'a
optimisto	optimist'o
optimistoj	optimist'o'j
optimuma	optimum'a
optimumaj	optimum'a'j
optimumajn	optimum'a'j'n
optimuman	optimum'a'n
optimume	optimum'e
optimumo	optimum'o
optimumigas	optimum'ig'as
optimumigi	optimum'ig'i
optimumigis	optimum'ig'is
optimumigo	optimum'ig'o
optimumigon	optimum'ig'o'n
optimumigado	optimum'ig'ad'o
optimumigita	optimum'ig'it'a
optimumigitaj	optimum'ig'it'a'j
optimumigitan	optimum'ig'it'a'n
opula	opul'a
ora	or'a
oraj	or'a'j
orajn	or'a'j'n
oran	or'a'n
oras	or'as
ore	or'e
ori	or'i
oro	or'o
oron	or'o'n
oraĵoj	or'aĵ'o'j
oraĵojn	or'aĵ'o'j'n
oraĵisto	or'aĵ'ist'o
oraĵistoj	or'aĵ'ist'o'j
orbazo	or'baz'o
orbriko	or'brik'o
oreca	or'ec'a
orepoko	or'epok'o
orfiŝo	or'fiŝ'o
orfiŝoj	or'fiŝ'o'j
orflava	or'flav'a
orflavaj	or'flav'a'j
orfolio	or'foli'o
orhara	or'har'a
orharaj	or'har'a'j
orita	or'it'a
oritaj	or'it'a'j
orkolora	or'kolor'a
orkoloraj	or'kolor'a'j
orkoloran	or'kolor'a'n
orkoloro	or'kolor'o
orlando	or'land'o
ormedalo	or'medal'o
ormedalon	or'medal'o'n
ormetiisto	or'meti'ist'o
orminejoj	or'min'ej'o'j
ormoneroj	or'mon'er'o'j
ornanopartikloj	or'nan'o'partikl'o'j
orserĉistoj	or'serĉ'ist'o'j
orumita	or'um'it'a
orumitaj	or'um'it'a'j
orumitan	or'um'it'a'n
orvaro	or'var'o
orakolo	orakol'o
orakoloj	orakol'o'j
orakolojn	orakol'o'j'n
orakolon	orakol'o'n
orakolejo	orakol'ej'o
oranĝa	oranĝ'a
oranĝaj	oranĝ'a'j
oranĝajn	oranĝ'a'j'n
oranĝan	oranĝ'a'n
oranĝe	oranĝ'e
oranĝo	oranĝ'o
oranĝoj	oranĝ'o'j
oranĝojn	oranĝ'o'j'n
oranĝon	oranĝ'o'n
oranĝarbo	oranĝ'arb'o
oranĝarboj	oranĝ'arb'o'j
oranĝeca	oranĝ'ec'a
oranĝecaj	oranĝ'ec'a'j
oranĝecajn	oranĝ'ec'a'j'n
oranĝkolora	oranĝ'kolor'a
oranĝkoloraj	oranĝ'kolor'a'j
oranĝkoloran	oranĝ'kolor'a'n
oranĝokolora	oranĝ'o'kolor'a
oranĝosuko	oranĝ'o'suk'o
oranĝosukon	oranĝ'o'suk'o'n
oranĝujoj	oranĝ'uj'o'j
oranĝerio	oranĝeri'o
orangutanoj	orangutan'o'j
orangutango	orangutang'o
orangutangoj	orangutang'o'j
oratora	orator'a
oratoro	orator'o
oratoroj	orator'o'j
oratoron	orator'o'n
oratorado	orator'ad'o
oratorio	oratori'o
oratorioj	oratori'o'j
orbasano	orbasan'o
orbita	orbit'a
orbitaj	orbit'a'j
orbitan	orbit'a'n
orbitas	orbit'as
orbiti	orbit'i
orbito	orbit'o
orbitoj	orbit'o'j
orbitojn	orbit'o'j'n
orbiton	orbit'o'n
orbitanta	orbit'ant'a
orbitantaj	orbit'ant'a'j
orbitofronta	orbit'o'front'a
orbitŝipo	orbit'ŝip'o
orbitala	orbital'a
orbitalaj	orbital'a'j
orbitalo	orbital'o
orbitaloj	orbital'o'j
orbitalojn	orbital'o'j'n
orcino	orcin'o
orcinoj	orcin'o'j
orda	ord'a
ordaj	ord'a'j
ordajn	ord'a'j'n
ordan	ord'a'n
orde	ord'e
ordo	ord'o
ordoj	ord'o'j
ordojn	ord'o'j'n
ordon	ord'o'n
ordos	ord'os
ordema	ord'em'a
ordemaj	ord'em'a'j
ordiga	ord'ig'a
ordigas	ord'ig'as
ordigi	ord'ig'i
ordigis	ord'ig'is
ordigo	ord'ig'o
ordigon	ord'ig'o'n
ordigos	ord'ig'os
ordigu	ord'ig'u
ordigado	ord'ig'ad'o
ordiganta	ord'ig'ant'a
ordigante	ord'ig'ant'e
ordigita	ord'ig'it'a
ordigitaj	ord'ig'it'a'j
ordigitajn	ord'ig'it'a'j'n
ordigitan	ord'ig'it'a'n
ordiĝas	ord'iĝ'as
ordena	orden'a
ordenaj	orden'a'j
ordenajn	orden'a'j'n
ordenan	orden'a'n
ordeno	orden'o
ordenoj	orden'o'j
ordenojn	orden'o'j'n
ordenon	orden'o'n
ordenanoj	orden'an'o'j
ordinas	ordin'as
ordinis	ordin'is
ordino	ordin'o
ordinoj	ordin'o'j
ordinado	ordin'ad'o
ordinita	ordin'it'a
ordinitaj	ordin'it'a'j
ordinara	ordinar'a
ordinaraj	ordinar'a'j
ordinarajn	ordinar'a'j'n
ordinaran	ordinar'a'n
ordinare	ordinar'e
ordinarlingve	ordinar'lingv'e
ordinarulo	ordinar'ul'o
ordinaruloj	ordinar'ul'o'j
ordona	ordon'a
ordonaj	ordon'a'j
ordonas	ordon'as
ordone	ordon'e
ordoni	ordon'i
ordonis	ordon'is
ordono	ordon'o
ordonoj	ordon'o'j
ordonojn	ordon'o'j'n
ordonon	ordon'o'n
ordonos	ordon'os
ordonu	ordon'u
ordonus	ordon'us
ordonanta	ordon'ant'a
ordonante	ordon'ant'e
ordonema	ordon'em'a
ordoninta	ordon'int'a
ordoninte	ordon'int'e
ordonita	ordon'it'a
ordonitaj	ordon'it'a'j
ordonite	ordon'it'e
ordonrajto	ordon'rajt'o
ordonrajton	ordon'rajt'o'n
ordovicio	ordovici'o
oregono	oregon'o
orelaj	orel'a'j
orelo	orel'o
oreloj	orel'o'j
orelojn	orel'o'j'n
orelon	orel'o'n
orelareo	orel'are'o
orelfokoj	orel'fok'o'j
orelkanalo	orel'kanal'o
orelplaĉa	orel'plaĉ'a
orelringo	orel'ring'o
orelringoj	orel'ring'o'j
orelringojn	orel'ring'o'j'n
orelringon	orel'ring'o'n
orenburga	orenburg'a
oresto	orest'o
orfa	orf'a
orfaj	orf'a'j
orfan	orf'a'n
orfe	orf'e
orfo	orf'o
orfoj	orf'o'j
orfojn	orf'o'j'n
orfon	orf'o'n
orfejo	orf'ej'o
orfejoj	orf'ej'o'j
orfejon	orf'ej'o'n
orfigitaj	orf'ig'it'a'j
orfiĝis	orf'iĝ'is
orfino	orf'in'o
orfeo	orfe'o
orfeistoj	orfe'ist'o'j
organa	organ'a
organaj	organ'a'j
organan	organ'a'n
organo	organ'o
organoj	organ'o'j
organojn	organ'o'j'n
organon	organ'o'n
organdonacanto	organ'donac'ant'o
organdonacantoj	organ'donac'ant'o'j
organdonacantojn	organ'donac'ant'o'j'n
organetoj	organ'et'o'j
organkomerco	organ'komerc'o
organodonaco	organ'o'donac'o
organsistemoj	organ'sistem'o'j
organtransplantado	organ'trans'plant'ad'o
organika	organik'a
organikaj	organik'a'j
organikajn	organik'a'j'n
organikan	organik'a'n
organike	organik'e
organisma	organism'a
organismo	organism'o
organismoj	organism'o'j
organismojn	organism'o'j'n
organismon	organism'o'n
organiza	organiz'a
organizaj	organiz'a'j
organizajn	organiz'a'j'n
organizan	organiz'a'n
organizas	organiz'as
organize	organiz'e
organizi	organiz'i
organizis	organiz'is
organizo	organiz'o
organizoj	organiz'o'j
organizojn	organiz'o'j'n
organizon	organiz'o'n
organizos	organiz'os
organizu	organiz'u
organizus	organiz'us
organizadis	organiz'ad'is
organizado	organiz'ad'o
organizadon	organiz'ad'o'n
organizajho	organiz'aĵ'o
organizaĵo	organiz'aĵ'o
organizaĵoj	organiz'aĵ'o'j
organizaĵojn	organiz'aĵ'o'j'n
organizaĵon	organiz'aĵ'o'n
organizanta	organiz'ant'a
organizante	organiz'ant'e
organizanto	organiz'ant'o
organizantoj	organiz'ant'o'j
organizantojn	organiz'ant'o'j'n
organizata	organiz'at'a
organizataj	organiz'at'a'j
organiziĝas	organiz'iĝ'as
organiziĝi	organiz'iĝ'i
organiziĝis	organiz'iĝ'is
organiziĝo	organiz'iĝ'o
organizinto	organiz'int'o
organizintoj	organiz'int'o'j
organizita	organiz'it'a
organizitaj	organiz'it'a'j
organizitajn	organiz'it'a'j'n
organizitan	organiz'it'a'n
organizite	organiz'it'e
organizacio	organizaci'o
organizacioj	organizaci'o'j
orgasmis	orgasm'is
orgasmo	orgasm'o
orgasmon	orgasm'o'n
orgena	orgen'a
orgeno	orgen'o
orgenoj	orgen'o'j
orgenojn	orgen'o'j'n
orgenon	orgen'o'n
orgenisto	orgen'ist'o
orgenistoj	orgen'ist'o'j
orgenkonstruo	orgen'konstru'o
orgenkonstruisto	orgen'konstru'ist'o
orgenmuziko	orgen'muzik'o
orgio	orgi'o
orgioj	orgi'o'j
orgojla	orgojl'a
orgojlaj	orgojl'a'j
orgojle	orgojl'e
orgojlo	orgojl'o
orgojlon	orgojl'o'n
orielo	oriel'o
orienta	orient'a
orientaj	orient'a'j
orientajn	orient'a'j'n
orientan	orient'a'n
orientas	orient'as
oriente	orient'e
orienten	orient'e'n
orienti	orient'i
orientis	orient'is
oriento	orient'o
orientoj	orient'o'j
orienton	orient'o'n
orientado	orient'ad'o
orientadon	orient'ad'o'n
orientafrika	orient'afrik'a
orientafriko	orient'afrik'o
orientanoj	orient'an'o'j
orientazia	orient'azi'a
orientaziaj	orient'azi'a'j
orientazio	orient'azi'o
orientberlino	orient'berlin'o
orientebla	orient'ebl'a
orienteŭropa	orient'eŭrop'a
orienteŭropaj	orient'eŭrop'a'j
orienteŭropo	orient'eŭrop'o
orienteŭropanoj	orient'eŭrop'an'o'j
orientfranka	orient'frank'a
orientgermana	orient'german'a
orientgermanaj	orient'german'a'j
orientgermanoj	orient'german'o'j
orientgotoj	orient'got'o'j
orienthinda	orient'hind'a
orienthindiaj	orient'hindi'a'j
orientiĝan	orient'iĝ'a'n
orientiĝas	orient'iĝ'as
orientiĝi	orient'iĝ'i
orientiĝis	orient'iĝ'is
orientiĝo	orient'iĝ'o
orientiĝoj	orient'iĝ'o'j
orientiĝojn	orient'iĝ'o'j'n
orientiĝon	orient'iĝ'o'n
orientiĝu	orient'iĝ'u
orientilo	orient'il'o
orientiloj	orient'il'o'j
orientilon	orient'il'o'n
orientita	orient'it'a
orientitaj	orient'it'a'j
orientitajn	orient'it'a'j'n
orientitan	orient'it'a'n
orientookcidento	orient'o'okcident'o
orientokcidenta	orient'okcident'a
orientokcidentaj	orient'okcident'a'j
orientokcidente	orient'okcident'e
orientpakistano	orient'pakistan'o
orientromia	orient'romi'a
orientulo	orient'ul'o
orientalisto	orientalist'o
origamio	origami'o
origano	origan'o
origina	origin'a
originaj	origin'a'j
originajn	origin'a'j'n
originan	origin'a'n
originas	origin'as
origine	origin'e
origini	origin'i
originis	origin'is
origino	origin'o
originoj	origin'o'j
originojn	origin'o'j'n
originon	origin'o'n
originanta	origin'ant'a
originantaj	origin'ant'a'j
originante	origin'ant'e
originejo	origin'ej'o
originejoj	origin'ej'o'j
originiĝis	origin'iĝ'is
origininta	origin'int'a
originita	origin'it'a
originala	original'a
originalaj	original'a'j
originalajn	original'a'j'n
originalan	original'a'n
originale	original'e
originalo	original'o
originaloj	original'o'j
originalojn	original'o'j'n
originalon	original'o'n
originalaĵo	original'aĵ'o
originalaĵoj	original'aĵ'o'j
originaleco	original'ec'o
originalecon	original'ec'o'n
originallingvo	original'lingv'o
originalteksto	original'tekst'o
originaltekston	original'tekst'o'n
originalversio	original'versi'o
orikteropo	orikterop'o
orikteropoj	orikterop'o'j
orinoko	orinok'o
oriono	orion'o
oritio	oriti'o
orkestra	orkestr'a
orkestraj	orkestr'a'j
orkestrajn	orkestr'a'j'n
orkestran	orkestr'a'n
orkestro	orkestr'o
orkestroj	orkestr'o'j
orkestrojn	orkestr'o'j'n
orkestron	orkestr'o'n
orkestrestro	orkestr'estr'o
orkido	orkid'o
orkidacoj	orkid'ac'o'j
orkideo	orkide'o
orkideoj	orkide'o'j
orkideojn	orkide'o'j'n
orlo	orl'o
orleano	orlean'o
ornama	ornam'a
ornamaj	ornam'a'j
ornamajn	ornam'a'j'n
ornaman	ornam'a'n
ornamas	ornam'as
orname	ornam'e
ornami	ornam'i
ornamis	ornam'is
ornamo	ornam'o
ornamoj	ornam'o'j
ornamojn	ornam'o'j'n
ornamon	ornam'o'n
ornamos	ornam'os
ornamu	ornam'u
ornamado	ornam'ad'o
ornamadoj	ornam'ad'o'j
ornamadojn	ornam'ad'o'j'n
ornamadon	ornam'ad'o'n
ornamajho	ornam'aĵ'o
ornamaĵo	ornam'aĵ'o
ornamaĵoj	ornam'aĵ'o'j
ornamaĵojn	ornam'aĵ'o'j'n
ornamaĵon	ornam'aĵ'o'n
ornamante	ornam'ant'e
ornamata	ornam'at'a
ornamita	ornam'it'a
ornamitaj	ornam'it'a'j
ornamitajn	ornam'it'a'j'n
ornamitan	ornam'it'a'n
ornamite	ornam'it'e
ornamplanto	ornam'plant'o
ornamplantoj	ornam'plant'o'j
ornamriĉa	ornam'riĉ'a
ornamripaj	ornam'rip'a'j
ornamripoj	ornam'rip'o'j
ornamriparo	ornam'ripar'o
ornato	ornat'o
ornatoj	ornat'o'j
ornatojn	ornat'o'j'n
ornitologo	ornitolog'o
ornitologoj	ornitolog'o'j
ornitologia	ornitologi'a
ornitologio	ornitologi'o
ornitorinko	ornitorink'o
orogenezo	orogenez'o
orogenezoj	orogenez'o'j
orografia	orografi'a
orografie	orografi'e
orografio	orografi'o
oroonoko	oroonok'o
orta	ort'a
ortaj	ort'a'j
orte	ort'e
orto	ort'o
ortoj	ort'o'j
ortangula	ort'angul'a
ortangulaj	ort'angul'a'j
ortangulan	ort'angul'a'n
ortangule	ort'angul'e
ortangulo	ort'angul'o
ortega	ort'eg'a
ortalo	ortal'o
ortodoksa	ortodoks'a
ortodoksaj	ortodoks'a'j
ortodoksajn	ortodoks'a'j'n
ortodoksan	ortodoks'a'n
ortodoksoj	ortodoks'o'j
ortodokseco	ortodoks'ec'o
ortodoksecon	ortodoks'ec'o'n
ortodoksismo	ortodoks'ism'o
ortodoksuloj	ortodoks'ul'o'j
ortodoksio	ortodoksi'o
ortogonala	ortogonal'a
ortogonalaj	ortogonal'a'j
ortografia	ortografi'a
ortografiaj	ortografi'a'j
ortografiajn	ortografi'a'j'n
ortografian	ortografi'a'n
ortografie	ortografi'e
ortografio	ortografi'o
ortografioj	ortografi'o'j
ortografion	ortografi'o'n
ortopedia	ortopedi'a
osformo	os'form'o
osaka	osak'a
osako	osak'o
oscedas	osced'as
oscedi	osced'i
oscedis	osced'is
oscedo	osced'o
oscedanta	osced'ant'a
oscedante	osced'ant'e
oscila	oscil'a
oscilas	oscil'as
oscili	oscil'i
osciloj	oscil'o'j
oscilado	oscil'ad'o
osciladoj	oscil'ad'o'j
osciladojn	oscil'ad'o'j'n
osciladon	oscil'ad'o'n
oscilanta	oscil'ant'a
oscilatoro	oscilator'o
oscilatoroj	oscilator'o'j
oscilatoron	oscilator'o'n
osciloskopo	osciloskop'o
osciloskopoj	osciloskop'o'j
oseta	oset'a
osetaj	oset'a'j
osetoj	oset'o'j
osetio	oset'i'o
oske	osk'e
oskaro	oskar'o
oskaron	oskar'o'n
osmana	osman'a
osmanida	osman'id'a
osmoza	osmoz'a
osmozo	osmoz'o
osta	ost'a
ostaj	ost'a'j
ostajn	ost'a'j'n
ostan	ost'a'n
osto	ost'o
ostoj	ost'o'j
ostojn	ost'o'j'n
oston	ost'o'n
ostamedola	ost'a'medol'a
ostaro	ost'ar'o
osteca	ost'ec'a
ostejo	ost'ej'o
osteto	ost'et'o
ostetoj	ost'et'o'j
ostostrukturo	ost'o'struktur'o
ostoza	ost'oz'a
ostrekto	ost'rekt'o
ostrektoj	ost'rekt'o'j
ostaĝo	ostaĝ'o
ostaĝoj	ostaĝ'o'j
ostaĝojn	ostaĝ'o'j'n
ostaĝon	ostaĝ'o'n
ostendo	ostend'o
osteoporozo	ostoporoz'o
ostoporozo	ostoporoz'o
ostro	ostr'o
ostroj	ostr'o'j
ostrojn	ostr'o'j'n
ostron	ostr'o'n
ostracismo	ostracism'o
ostrogotoj	ostrogot'o'j
ota	ot'a
oto	ot'o
otavo	otav'o
otelo	otel'o
otida	otid'a
otidoj	otid'o'j
otomana	otoman'a
otomanaj	otoman'a'j
otomanajn	otoman'a'j'n
otomanan	otoman'a'n
otomano	otoman'o
otomanoj	otoman'o'j
otomanojn	otoman'o'j'n
ova	ov'a
ovo	ov'o
ovoj	ov'o'j
ovojn	ov'o'j'n
ovon	ov'o'n
ovaĵo	ov'aĵ'o
ovaĵon	ov'aĵ'o'n
ovaro	ov'ar'o
ovforma	ov'form'a
ovformaj	ov'form'a'j
ovoblanko	ov'o'blank'o
ovoĉelo	ov'o'ĉel'o
ovodemetas	ov'o'de'met'as
ovodemeti	ov'o'de'met'i
ovodemetado	ov'o'de'met'ad'o
ovodemetadon	ov'o'de'met'ad'o'n
ovoflavo	ov'o'flav'o
ovoforma	ov'o'form'a
ovoformaj	ov'o'form'a'j
ovoŝelo	ov'o'ŝel'o
ovumado	ov'um'ad'o
ovacion	ovaci'o'n
ovala	oval'a
ovalaj	oval'a'j
ovalajn	oval'a'j'n
ovalan	oval'a'n
ovalo	oval'o
ovalforma	oval'form'a
ovaria	ovari'a
ovarian	ovari'a'n
ovario	ovari'o
ovarioj	ovari'o'j
ovarion	ovari'o'n
ovidio	ovidi'o
oviedo	ovied'o
ovolo	ovol'o
ovoloj	ovol'o'j
ovolojn	ovol'o'j'n
ovolon	ovol'o'n
ozo	oz'o
ozon	oz'o'n
oziriso	oziris'o
ozona	ozon'a
ozono	ozon'o
ozonon	ozon'o'n
ozonperdo	ozon'perd'o
