habelo	habel'o
hindujo	hind'uj'o
hindujon	hind'uj'o'n
hindua	hindu'a
hinduaj	hindu'a'j
hinduajn	hindu'a'j'n
hinduan	hindu'a'n
hinduo	hindu'o
hinduoj	hindu'o'j
hinduojn	hindu'o'j'n
hinduisma	hindu'ism'a
hinduismaj	hindu'ism'a'j
hinduismo	hindu'ism'o
hinduismon	hindu'ism'o'n
hinduistoj	hindu'ist'o'j
hindutemploj	hindu'templ'o'j
hindukuŝo	hindukuŝ'o
hindustana	hindustan'a
hindustano	hindustan'o
hipertrofio	hiper'trofi'o
hiperbola	hiperbol'a
hiperbolo	hiperbol'o
hiperebeno	hipereben'o
hiphopa	hiphop'a
hiphopo	hiphop'o
hipioj	hipi'o'j
hipnota	hipnot'a
hipnotaj	hipnot'a'j
hipnoto	hipnot'o
hipnotigita	hipnot'ig'it'a
hipodromo	hipodrom'o
hipogeo	hipoge'o
hipokampo	hipokamp'o
hipokampoj	hipokamp'o'j
hipokrata	hipokrat'a
hipokrato	hipokrat'o
hipokrita	hipokrit'a
hipokritaj	hipokrit'a'j
hipokritan	hipokrit'a'n
hipokrite	hipokrit'e
hipokrito	hipokrit'o
hipokriteco	hipokrit'ec'o
hipokritecon	hipokrit'ec'o'n
hipokritulo	hipokrit'ul'o
hipokrituloj	hipokrit'ul'o'j
hipolito	hipolit'o
hipoliton	hipolit'o'n
hipopotamo	hipopotam'o
hipopotamoj	hipopotam'o'j
hipostazo	hipostaz'o
hipoteko	hipotek'o
hipotekoj	hipotek'o'j
hipotekon	hipotek'o'n
hipotenuzo	hipotenuz'o
hipoteza	hipotez'a
hipotezaj	hipotez'a'j
hipotezajn	hipotez'a'j'n
hipotezan	hipotez'a'n
hipotezas	hipotez'as
hipoteze	hipotez'e
hipotezi	hipotez'i
hipotezis	hipotez'is
hipotezo	hipotez'o
hipotezoj	hipotez'o'j
hipotezojn	hipotez'o'j'n
hipotezon	hipotez'o'n
hipotezita	hipotez'it'a
hipotezitaj	hipotez'it'a'j
hipotezite	hipotez'it'e
hipoteztestado	hipotez'test'ad'o
hirta	hirt'a
hirtaj	hirt'a'j
hirtan	hirt'a'n
hirtigis	hirt'ig'is
hirtiĝis	hirt'iĝ'is
hirudo	hirud'o
hirudoj	hirud'o'j
hirunda	hirund'a
hirundo	hirund'o
hirundoj	hirund'o'j
hisi	his'i
hisis	his'is
hisita	his'it'a
hispana	hispan'a
hispanaj	hispan'a'j
hispanajn	hispan'a'j'n
hispanan	hispan'a'n
hispane	hispan'e
hispano	hispan'o
hispanoj	hispan'o'j
hispanojn	hispan'o'j'n
hispanon	hispan'o'n
hispanamerika	hispan'amerik'a
hispanamerikaj	hispan'amerik'a'j
hispanameriko	hispan'amerik'o
hispania	hispan'i'a
hispaniaj	hispan'i'a'j
hispanio	hispan'i'o
hispanion	hispan'i'o'n
hispanino	hispan'in'o
hispanlingva	hispan'lingv'a
hispanlingvaj	hispan'lingv'a'j
hispanlingvan	hispan'lingv'a'n
hispanlingve	hispan'lingv'e
hispanlingvanoj	hispan'lingv'an'o'j
hispanparolanta	hispan'parol'ant'a
hispanparolantaj	hispan'parol'ant'a'j
hispanujo	hispan'uj'o
hista	hist'a
histo	hist'o
histoj	hist'o'j
histojn	hist'o'j'n
histon	hist'o'n
histodamaĝo	hist'o'damaĝ'o
histologio	hist'olog'i'o
histamina	histamin'a
histamino	histamin'o
histeria	histeri'a
histeriaj	histeri'a'j
histerie	histeri'e
histerio	histeri'o
histerion	histeri'o'n
historia	histori'a
historiaj	histori'a'j
historiajn	histori'a'j'n
historian	histori'a'n
historie	histori'e
historio	histori'o
historioj	histori'o'j
historiojn	histori'o'j'n
historion	histori'o'n
historiaĵoj	histori'aĵ'o'j
historieco	histori'ec'o
historiesploro	histori'esplor'o
historieta	histori'et'a
historieto	histori'et'o
historietoj	histori'et'o'j
historietojn	histori'et'o'j'n
historieton	histori'et'o'n
historiismo	histori'ism'o
historiisto	histori'ist'o
historiistoj	histori'ist'o'j
historiistojn	histori'ist'o'j'n
historiiston	histori'ist'o'n
historiistino	histori'ist'in'o
historiografia	historiograf'i'a
historiografiaj	historiograf'i'a'j
historiografio	historiograf'i'o
historiografion	historiograf'i'o'n
histriko	histrik'o
histrikoj	histrik'o'j
hitlera	hitler'a
hitlero	hitler'o
hitleron	hitler'o'n
hitleranoj	hitler'an'o'j
hobia	hobi'a
hobiaj	hobi'a'j
hobie	hobi'e
hobio	hobi'o
hobioj	hobi'o'j
hobiojn	hobi'o'j'n
hobion	hobi'o'n
hobiistoj	hobi'ist'o'j
hobiuloj	hobi'ul'o'j
hobojo	hoboj'o
hobojoj	hoboj'o'j
hobojon	hoboj'o'n
hodiau	hodiaŭ
hodiaŭ	hodiaŭ
hodiaua	hodiaŭ'a
hodiaŭa	hodiaŭ'a
hodiauaj	hodiaŭ'a'j
hodiaŭaj	hodiaŭ'a'j
hodiaŭajn	hodiaŭ'a'j'n
hodiaŭan	hodiaŭ'a'n
hodiaŭe	hodiaŭ'e
hodiaŭo	hodiaŭ'o
hodiaŭon	hodiaŭ'o'n
hoka	hok'a
hokan	hok'a'n
hoko	hok'o
hokoj	hok'o'j
hokojn	hok'o'j'n
hokon	hok'o'n
hoketo	hok'et'o
hoketon	hok'et'o'n
hokita	hok'it'a
hokoforma	hok'o'form'a
hokajdo	hokajd'o
hokeo	hoke'o
hokeon	hoke'o'n
hokedisko	hoke'disk'o
hokediskon	hoke'disk'o'n
holanda	holand'a
holandaj	holand'a'j
holando	holand'o
holandanoj	holand'an'o'j
holdo	hold'o
holivuda	holivud'a
holivudo	holivud'o
holoceno	holocen'o
holografia	holografi'a
holografian	holografi'a'n
holografio	holografi'o
hologramo	hologram'o
hologramoj	hologram'o'j
holokaŭsto	holokaŭst'o
holokaŭston	holokaŭst'o'n
holomorfa	holomorf'a
holoturioj	holoturi'o'j
homa	hom'a
homaj	hom'a'j
homajn	hom'a'j'n
homan	hom'a'n
home	hom'e
homo	hom'o
homoj	hom'o'j
homojn	hom'o'j'n
homon	hom'o'n
homarajtaj	hom'a'rajt'a'j
homajrajtojmalobservoj	hom'aj'rajt'oj'mal'observ'o'j
homama	hom'am'a
homamaj	hom'am'a'j
homamo	hom'am'o
homamon	hom'am'o'n
homamaso	hom'amas'o
homamasoj	hom'amas'o'j
homamasojn	hom'amas'o'j'n
homamason	hom'amas'o'n
homamasfinancado	hom'amas'financ'ad'o
homamasiĝo	hom'amas'iĝ'o
homanimo	hom'anim'o
homanimoj	hom'anim'o'j
homanimon	hom'anim'o'n
homara	hom'ar'a
homaraj	hom'ar'a'j
homaran	hom'ar'a'n
homaro	hom'ar'o
homaroj	hom'ar'o'j
homaron	hom'ar'o'n
homarana	hom'ar'an'a
homarane	hom'ar'an'e
homarano	hom'ar'an'o
homaranoj	hom'ar'an'o'j
homaranisma	hom'ar'an'ism'a
homaranismo	hom'ar'an'ism'o
homaranismon	hom'ar'an'ism'o'n
hombuĉado	hom'buĉ'ad'o
homcerbo	hom'cerb'o
homeca	hom'ec'a
homecaj	hom'ec'a'j
homecan	hom'ec'a'n
homeco	hom'ec'o
homecon	hom'ec'o'n
homedoj	hom'ed'o'j
homekipa	hom'ekip'a
homekipas	hom'ekip'as
homekipi	hom'ekip'i
homekipis	hom'ekip'is
homekipo	hom'ekip'o
homekipita	hom'ekip'it'a
homekipitaj	hom'ekip'it'a'j
hometo	hom'et'o
hometoj	hom'et'o'j
hometon	hom'et'o'n
homfarita	hom'far'it'a
homfaritaj	hom'far'it'a'j
homfaritajn	hom'far'it'a'j'n
homfiguro	hom'figur'o
homfiguroj	hom'figur'o'j
homfigurojn	hom'figur'o'j'n
homformaj	hom'form'a'j
homforto	hom'fort'o
homfortoj	hom'fort'o'j
homfratoj	hom'frat'o'j
homgrupo	hom'grup'o
homgrupoj	hom'grup'o'j
homgrupon	hom'grup'o'n
homido	hom'id'o
homidoj	hom'id'o'j
homiĝo	hom'iĝ'o
homino	hom'in'o
hominda	hom'ind'a
homkompreno	hom'kompren'o
homkomputila	hom'komput'il'a
homkoro	hom'kor'o
homloĝloko	hom'loĝ'lok'o
homlupo	hom'lup'o
hommanĝantoj	hom'manĝ'ant'o'j
hommaŝina	hom'maŝin'a
hommortigo	hom'mort'ig'o
homnaturo	hom'natur'o
homnaturon	hom'natur'o'n
homofobio	hom'o'fobi'o
homofero	hom'ofer'o
hompenso	hom'pens'o
hompersono	hom'person'o
homplena	hom'plen'a
homplenaj	hom'plen'a'j
homrajta	hom'rajt'a
homrajtaj	hom'rajt'a'j
homrajtan	hom'rajt'a'n
homrajto	hom'rajt'o
homrajtoj	hom'rajt'o'j
homrajtojn	hom'rajt'o'j'n
homscienco	hom'scienc'o
homsimio	hom'simi'o
homsimioj	hom'simi'o'j
homsimila	hom'simil'a
homsimilaj	hom'simil'a'j
homspeco	hom'spec'o
homspirito	hom'spirit'o
homeopatiaj	homeopat'i'a'j
homeopatio	homeopat'i'o
homera	homer'a
homeraj	homer'a'j
homero	homer'o
homeron	homer'o'n
homofonaj	homofon'a'j
homogena	homogen'a
homogenaj	homogen'a'j
homogenajn	homogen'a'j'n
homogenan	homogen'a'n
homogene	homogen'e
homogeneco	homogen'ec'o
homogenecon	homogen'ec'o'n
homogenigo	homogen'ig'o
homologa	homolog'a
homologaj	homolog'a'j
homologajn	homolog'a'j'n
homologio	homolog'i'o
homomorfio	homomorfi'o
homomorfioj	homomorfi'o'j
homonima	homonim'a
homonimo	homonim'o
homonimoj	homonim'o'j
homonimojn	homonim'o'j'n
honduro	hondur'o
honesta	honest'a
honestaj	honest'a'j
honestajn	honest'a'j'n
honestan	honest'a'n
honestas	honest'as
honeste	honest'e
honesto	honest'o
honeston	honest'o'n
honesteco	honest'ec'o
honestecon	honest'ec'o'n
honestulo	honest'ul'o
honestuloj	honest'ul'o'j
honkonga	honkong'a
honkongaj	honkong'a'j
honkongo	honkong'o
honkongon	honkong'o'n
honora	honor'a
honoraj	honor'a'j
honorajn	honor'a'j'n
honoran	honor'a'n
honoras	honor'as
honore	honor'e
honori	honor'i
honoris	honor'is
honoro	honor'o
honoroj	honor'o'j
honorojn	honor'o'j'n
honoron	honor'o'n
honoros	honor'os
honoru	honor'u
honorus	honor'us
honorado	honor'ad'o
honoranta	honor'ant'a
honorante	honor'ant'e
honorata	honor'at'a
honorataj	honor'at'a'j
honorgrado	honor'grad'o
honorgradon	honor'grad'o'n
honoriga	honor'ig'a
honorigas	honor'ig'as
honorigi	honor'ig'i
honorigis	honor'ig'is
honorigo	honor'ig'o
honorigoj	honor'ig'o'j
honorigon	honor'ig'o'n
honorigita	honor'ig'it'a
honorinda	honor'ind'a
honorindaj	honor'ind'a'j
honorindan	honor'ind'a'n
honorindulo	honor'ind'ul'o
honorita	honor'it'a
honoritaj	honor'it'a'j
honorofica	honor'ofic'a
honorofice	honor'ofic'e
honorario	honorari'o
honorarioj	honorari'o'j
honorariojn	honorari'o'j'n
honorarion	honorari'o'n
honta	hont'a
hontaj	hont'a'j
hontas	hont'as
honte	hont'e
honti	hont'i
hontis	hont'is
honto	hont'o
honton	hont'o'n
hontu	hont'u
hontus	hont'us
hontante	hont'ant'e
hontema	hont'em'a
honteme	hont'em'e
hontemo	hont'em'o
hontiga	hont'ig'a
hontigas	hont'ig'as
hontige	hont'ig'e
hontigi	hont'ig'i
hontigis	hont'ig'is
hontigo	hont'ig'o
hontigon	hont'ig'o'n
hontigita	hont'ig'it'a
hontinda	hont'ind'a
hontindaj	hont'ind'a'j
hontindajn	hont'ind'a'j'n
hontindan	hont'ind'a'n
hontindas	hont'ind'as
hontinde	hont'ind'e
hontindaĵo	hont'ind'aĵ'o
hope	hop'e
hopi	hop'i
hopioj	hopi'o'j
hoplito	hoplit'o
hoplitoj	hoplit'o'j
hora	hor'a
horaj	hor'a'j
hore	hor'e
horo	hor'o
horoj	hor'o'j
horojn	hor'o'j'n
horon	hor'o'n
horaro	hor'ar'o
horaroj	hor'ar'o'j
horarojn	hor'ar'o'j'n
horaron	hor'ar'o'n
horduono	hor'du'on'o
horduonon	hor'du'on'o'n
horeto	hor'et'o
horkvarono	hor'kvar'on'o
horzono	hor'zon'o
horzonoj	hor'zon'o'j
horacio	horaci'o
horda	hord'a
hordo	hord'o
hordoj	hord'o'j
hordon	hord'o'n
hordea	horde'a
hordeo	horde'o
hordeon	horde'o'n
horizonta	horizont'a
horizontaj	horizont'a'j
horizonte	horizont'e
horizonto	horizont'o
horizontoj	horizont'o'j
horizontojn	horizont'o'j'n
horizonton	horizont'o'n
horizontlinio	horizont'lini'o
horizontlinioj	horizont'lini'o'j
horizontala	horizontal'a
horizontalaj	horizontal'a'j
horizontalajn	horizontal'a'j'n
horizontalan	horizontal'a'n
horizontale	horizontal'e
horizontalo	horizontal'o
horloĝa	horloĝ'a
horlogho	horloĝ'o
horloĝo	horloĝ'o
horloĝoj	horloĝ'o'j
horloĝojn	horloĝ'o'j'n
horloĝon	horloĝ'o'n
horloĝciklo	horloĝ'cikl'o
horloĝeton	horloĝ'et'o'n
horloĝisto	horloĝ'ist'o
hormona	hormon'a
hormonaj	hormon'a'j
hormono	hormon'o
hormonoj	hormon'o'j
hormonojn	hormon'o'j'n
hormonon	hormon'o'n
horora	horor'a
hororaj	horor'a'j
hororajn	horor'a'j'n
hororan	horor'a'n
horore	horor'e
hororo	horor'o
hororoj	horor'o'j
hororon	horor'o'n
hororaĵoj	horor'aĵ'o'j
hororfilmojn	horor'film'o'j'n
hororiga	horor'ig'a
horoskopo	horoskop'o
horoskopoj	horoskop'o'j
horoskopon	horoskop'o'n
hortensia	hortensi'a
hortensio	hortensi'o
hortikultura	hortikultur'a
hortikulturaj	hortikultur'a'j
hortikulturo	hortikultur'o
hortikulturisto	hortikultur'ist'o
hortikulturistoj	hortikultur'ist'o'j
horuso	horus'o
hospico	hospic'o
hospicoj	hospic'o'j
hospitala	hospital'a
hospitalaj	hospital'a'j
hospitalajn	hospital'a'j'n
hospitalan	hospital'a'n
hospitalen	hospital'e'n
hospitalo	hospital'o
hospitaloj	hospital'o'j
hospitalojn	hospital'o'j'n
hospitalon	hospital'o'n
hospitaligitaj	hospital'ig'it'a'j
hostio	hosti'o
hostioj	hosti'o'j
hostiojn	hosti'o'j'n
hostion	hosti'o'n
hotela	hotel'a
hotelaj	hotel'a'j
hotelan	hotel'a'n
hotelo	hotel'o
hoteloj	hotel'o'j
hotelojn	hotel'o'j'n
hotelon	hotel'o'n
hotelĉambro	hotel'ĉambr'o
hotelĉambron	hotel'ĉambr'o'n
hotelestro	hotel'estr'o
hoteleto	hotel'et'o
hubuloj	hub'ul'o'j
hubejo	hubej'o
huberto	hubert'o
hufo	huf'o
hufoj	huf'o'j
hufojn	huf'o'j'n
hufon	huf'o'n
hufofero	huf'o'fer'o
hufuloj	huf'ul'o'j
hufumo	huf'um'o
hufumoj	huf'um'o'j
hugo	hug'o
hugon	hug'o'n
hugenotoj	hugenot'o'j
huligano	huligan'o
huliganoj	huligan'o'j
hume	hum'e
humo	hum'o
humon	hum'o'n
humana	human'a
humanaj	human'a'j
humanajn	human'a'j'n
humanan	human'a'n
humane	human'e
humaneca	human'ec'a
humanecan	human'ec'a'n
humaneco	human'ec'o
humanecon	human'ec'o'n
humanisma	human'ism'a
humanismaj	human'ism'a'j
humanisman	human'ism'a'n
humanismo	human'ism'o
humanismon	human'ism'o'n
humanista	human'ist'a
humanisto	human'ist'o
humanistoj	human'ist'o'j
humanitara	humanitar'a
humanitaraj	humanitar'a'j
humanitarajn	humanitar'a'j'n
humanitaran	humanitar'a'n
humanoida	humanoid'a
humanoidaj	humanoid'a'j
humanoidan	humanoid'a'n
humanoidoj	humanoid'o'j
humero	humer'o
humida	humid'a
humidaj	humid'a'j
humidajn	humid'a'j'n
humidan	humid'a'n
humide	humid'e
humido	humid'o
humidon	humid'o'n
humideco	humid'ec'o
humidecon	humid'ec'o'n
humidejoj	humid'ej'o'j
humidenhavo	humid'en'hav'o
humila	humil'a
humilaj	humil'a'j
humilan	humil'a'n
humile	humil'e
humilo	humil'o
humileco	humil'ec'o
humilecon	humil'ec'o'n
humiliga	humil'ig'a
humiligaj	humil'ig'a'j
humiligan	humil'ig'a'n
humiligas	humil'ig'as
humilige	humil'ig'e
humiligi	humil'ig'i
humiligis	humil'ig'is
humiligo	humil'ig'o
humiligoj	humil'ig'o'j
humiligojn	humil'ig'o'j'n
humiligon	humil'ig'o'n
humiligado	humil'ig'ad'o
humiligita	humil'ig'it'a
humiligitaj	humil'ig'it'a'j
humiliĝas	humil'iĝ'as
humiliĝi	humil'iĝ'i
humiliĝis	humil'iĝ'is
humiliĝo	humil'iĝ'o
humiluloj	humil'ul'o'j
humora	humor'a
humoraj	humor'a'j
humoro	humor'o
humoroj	humor'o'j
humorojn	humor'o'j'n
humoron	humor'o'n
humura	humur'a
humuraj	humur'a'j
humurajn	humur'a'j'n
humuran	humur'a'n
humure	humur'e
humuro	humur'o
humuroj	humur'o'j
humuron	humur'o'n
humuraĵo	humur'aĵ'o
humuraĵoj	humur'aĵ'o'j
humuristo	humur'ist'o
humurplena	humur'plen'a
humursento	humur'sent'o
humursenton	humur'sent'o'n
huna	hun'a
hunaj	hun'a'j
hunan	hun'a'n
hunoj	hun'o'j
hunojn	hun'o'j'n
hunano	hun'an'o
hunda	hund'a
hundaj	hund'a'j
hundan	hund'a'n
hunde	hund'e
hundo	hund'o
hundoj	hund'o'j
hundojn	hund'o'j'n
hundon	hund'o'n
hundaĉo	hund'aĉ'o
hundaro	hund'ar'o
hundeto	hund'et'o
hundeton	hund'et'o'n
hundido	hund'id'o
hundidoj	hund'id'o'j
hundidojn	hund'id'o'j'n
hundidon	hund'id'o'n
hundino	hund'in'o
hundinon	hund'in'o'n
hundodometon	hund'o'dom'et'o'n
hungara	hungar'a
hungaraj	hungar'a'j
hungarajn	hungar'a'j'n
hungaran	hungar'a'n
hungare	hungar'e
hungaro	hungar'o
hungaroj	hungar'o'j
hungarojn	hungar'o'j'n
hungardevena	hungar'de'ven'a
hungaria	hungar'i'a
hungarian	hungar'i'a'n
hungario	hungar'i'o
hungarion	hungar'i'o'n
hungarino	hungar'in'o
hungarlando	hungar'land'o
hungarlingva	hungar'lingv'a
hungarlingvaj	hungar'lingv'a'j
hungarlingve	hungar'lingv'e
hungarujo	hungar'uj'o
hupo	hup'o
hupado	hup'ad'o
hura	hura
hurais	hura'is
hurao	hura'o
huraado	hura'ad'o
huraistino	hura'ist'in'o
hurdo	hurd'o
hurdoj	hurd'o'j
hurlas	hurl'as
hurli	hurl'i
hurlis	hurl'is
hurlo	hurl'o
hurlado	hurl'ad'o
hurlante	hurl'ant'e
husana	hus'an'a
husanaj	hus'an'a'j
husanoj	hus'an'o'j
husaroj	husar'o'j
